name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
Beech Woods Heated Tees,golf,pitch,42.4546686,-83.2947529,,,MI,,false,true,false,openstreetmap
Bonnie Brook Golf Range,golf,golf_course,42.4413952,-83.2757091,,,MI,,false,true,false,openstreetmap
Club Champion,golf,pitch,43.0010926,-85.5882671,2048 East Beltline Avenue Northeast,,MI,49525,false,true,false,openstreetmap
Driving Range Tee Box,golf,pitch,42.7933014,-83.0577655,,,MI,,false,true,false,openstreetmap
Golf Galaxy,golf,pitch,42.6257194,-82.9720676,,,MI,,false,true,false,openstreetmap
Greenfield Golf Center,golf,pitch,42.2900865,-83.1755341,,,MI,,false,true,false,openstreetmap
Greystone #1 2,golf,pitch,42.7934997,-83.0564491,,,MI,,false,true,false,openstreetmap
Greystone #1 2,golf,pitch,42.7962501,-83.0555294,,,MI,,false,true,false,openstreetmap
Greystone #1 2,golf,pitch,42.7957919,-83.0557778,,,MI,,false,true,false,openstreetmap
Greystone #1 3,golf,pitch,42.794108,-83.0560566,,,MI,,false,true,false,openstreetmap
Greystone #1 3,golf,pitch,42.796324,-83.0554389,,,MI,,false,true,false,openstreetmap
Greystone #2 1,golf,pitch,42.7974172,-83.0545619,,,MI,,false,true,false,openstreetmap
Greystone #2 1,golf,pitch,42.7970809,-83.0550595,,,MI,,false,true,false,openstreetmap
Greystone #2 1,golf,pitch,42.7980517,-83.0548103,,,MI,,false,true,false,openstreetmap
Greystone #2 1,golf,pitch,42.7981047,-83.054895,,,MI,,false,true,false,openstreetmap
Greystone #2 1,golf,pitch,42.7982532,-83.0545502,,,MI,,false,true,false,openstreetmap
Greystone #2 3,golf,pitch,42.7972618,-83.0550027,,,MI,,false,true,false,openstreetmap
Greystone #2 3,golf,pitch,42.7982736,-83.0549755,,,MI,,false,true,false,openstreetmap
Greystone #2 4,golf,pitch,42.7975073,-83.055042,,,MI,,false,true,false,openstreetmap
Greystone #2 4,golf,pitch,42.7983986,-83.0549982,,,MI,,false,true,false,openstreetmap
Greystone #2 5,golf,pitch,42.7976262,-83.0549893,,,MI,,false,true,false,openstreetmap
Greystone #3 1,golf,pitch,42.7991201,-83.0556338,,,MI,,false,true,false,openstreetmap
Greystone #3 1,golf,pitch,42.7962432,-83.0567621,,,MI,,false,true,false,openstreetmap
Greystone #3 2,golf,pitch,42.7989608,-83.0556749,,,MI,,false,true,false,openstreetmap
