name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
Bill Wallach Soccer Fields,soccer,pitch,41.2857989,-72.6993673,,,CT,,false,true,false,openstreetmap
Bob Labbe Field,soccer,pitch,41.6152644,-72.076844,,,CT,,false,true,false,openstreetmap
Brennan Field,soccer,pitch,41.2512517,-72.9686613,,,CT,,false,true,false,openstreetmap
CCSU Soccer Field,soccer,pitch,41.6955124,-72.7606013,,,CT,,false,true,false,openstreetmap
Field #1,soccer,pitch,41.9869589,-72.6557035,,,CT,,false,true,false,openstreetmap
Field #2,soccer,pitch,41.9861387,-72.6560931,,,CT,,false,true,false,openstreetmap
Field #3,soccer,pitch,41.985004,-72.6545771,,,CT,,false,true,false,openstreetmap
Field #4,soccer,pitch,41.9844811,-72.6476756,,,CT,,false,true,false,openstreetmap
Field #5,soccer,pitch,41.9843333,-72.6462309,,,CT,,false,true,false,openstreetmap
Field 1,soccer,pitch,41.6994292,-72.8549498,,,CT,,true,false,false,openstreetmap
Field 1 (1A & 1B),soccer,pitch,41.7865605,-72.1978651,,,CT,,false,true,false,openstreetmap
Field 13,soccer,pitch,41.6974199,-72.8532175,,,CT,,false,true,false,openstreetmap
Field 2,soccer,pitch,41.311389,-72.5365044,,,CT,,false,true,false,openstreetmap
Field 2,soccer,pitch,41.7866802,-72.1987955,,,CT,,false,true,false,openstreetmap
Field 2,soccer,pitch,41.6997539,-72.8550341,,,CT,,true,false,false,openstreetmap
Field 3,soccer,pitch,41.3111452,-72.5353789,,,CT,,false,true,false,openstreetmap
Field 3,soccer,pitch,41.6998774,-72.8541344,,,CT,,true,false,false,openstreetmap
Field 3 (3A & 3B),soccer,pitch,41.7846671,-72.1977914,,,CT,,false,true,false,openstreetmap
Field 4,soccer,pitch,41.6995471,-72.8540497,,,CT,,true,false,false,openstreetmap
Field 4 (4A & 4B),soccer,pitch,41.7850321,-72.1993806,,,CT,,false,true,false,openstreetmap
Field 5,soccer,pitch,41.6996137,-72.8523432,,,CT,,false,true,false,openstreetmap
Field 6,soccer,pitch,41.6996266,-72.8510038,,,CT,,false,true,false,openstreetmap
