name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
2,soccer,pitch,39.0354746,-77.1206039,,,MD,,false,true,false,openstreetmap
Annapolis High School Athletic Fields,soccer,pitch,38.9764139,-76.56765,,,MD,,false,true,false,openstreetmap
Annapolis High School Athletic Fields,soccer,pitch,38.976575,-76.5673367,,,MD,,false,true,false,openstreetmap
Annapolis High School Athletic Fields,soccer,pitch,38.9749325,-76.5676931,,,MD,,false,true,false,openstreetmap
Bates Middle School Soccer Field,soccer,pitch,38.9731676,-76.5074938,,,MD,,false,true,false,openstreetmap
Bauer soccer field,soccer,pitch,39.0947941,-77.1069126,,,MD,,false,true,false,openstreetmap
Bell Branch Soccer Field BB1,soccer,pitch,38.9868661,-76.6709851,,,MD,,false,true,false,openstreetmap
Bell Branch Soccer Field BB3,soccer,pitch,38.9894363,-76.6755871,,,MD,,false,true,false,openstreetmap
Bell Branch Turf Field 1A,soccer,pitch,38.9889154,-76.6771095,,,MD,,false,true,false,openstreetmap
Bell Branch Turf Field 1B,soccer,pitch,38.9894065,-76.6771081,,,MD,,false,true,false,openstreetmap
Bell Branch Turf Field 2A,soccer,pitch,38.9889154,-76.6781113,,,MD,,false,true,false,openstreetmap
Bell Branch Turf Field 2B,soccer,pitch,38.9894084,-76.6781072,,,MD,,false,true,false,openstreetmap
Big Pines Park,soccer,pitch,39.0847828,-77.2297443,,,MD,,false,true,false,openstreetmap
Blue Sky Park,soccer,pitch,39.2388855,-77.2605627,,,MD,,false,true,false,openstreetmap
Bonvegna Field,soccer,pitch,39.2777133,-76.5701592,,,MD,,false,true,false,openstreetmap
Bryson Field,soccer,pitch,39.3796502,-77.1673723,,,MD,,false,true,false,openstreetmap
Burdick Field,soccer,pitch,39.3938093,-76.6130795,,,MD,,false,true,false,openstreetmap
Covenant Park,soccer,sports_centre,39.2465806,-76.8710073,,,MD,,false,true,false,openstreetmap
Field #1,soccer,pitch,39.32333,-77.2760035,,,MD,,false,true,false,openstreetmap
Field #2,soccer,pitch,39.322993,-77.2748646,,,MD,,false,true,false,openstreetmap
Field #3,soccer,pitch,39.3226645,-77.273836,,,MD,,false,true,false,openstreetmap
Field #4,soccer,pitch,39.2099914,-77.2464985,,,MD,,false,true,false,openstreetmap
Field 1,soccer,pitch,39.2470696,-76.8758419,,,MD,,false,true,false,openstreetmap
Field 1,soccer,pitch,39.151397,-77.3013993,,,MD,,false,true,false,openstreetmap
Field 1,soccer,pitch,38.3399355,-76.5399383,,,MD,,false,true,false,openstreetmap
Field 10,soccer,pitch,39.1553477,-77.310139,,,MD,,false,true,false,openstreetmap
Field 12,soccer,pitch,39.1541379,-77.3107043,,,MD,,false,true,false,openstreetmap
Field 13,soccer,pitch,39.154822,-77.3118978,,,MD,,false,true,false,openstreetmap
Field 14,soccer,pitch,39.1530688,-77.3129031,,,MD,,false,true,false,openstreetmap
Field 15,soccer,pitch,39.1527782,-77.3139499,,,MD,,false,true,false,openstreetmap
Field 16,soccer,pitch,39.1516356,-77.3139474,,,MD,,false,true,false,openstreetmap
Field 17,soccer,pitch,39.1509246,-77.3127718,,,MD,,false,true,false,openstreetmap
Field 18,soccer,pitch,39.1488579,-77.3096508,,,MD,,false,true,false,openstreetmap
Field 19,soccer,pitch,39.1482108,-77.3085875,,,MD,,false,true,false,openstreetmap
Field 1A,soccer,pitch,39.1718017,-77.0932593,,,MD,,false,true,false,openstreetmap
Field 1B,soccer,pitch,39.1713403,-77.0934415,,,MD,,false,true,false,openstreetmap
Field 2,soccer,pitch,39.3365992,-77.3647545,,,MD,,false,true,false,openstreetmap
Field 2,soccer,pitch,38.3395232,-76.5400135,,,MD,,false,true,false,openstreetmap
Field 2,soccer,pitch,39.1525682,-77.3024003,,,MD,,false,true,false,openstreetmap
Field 20,soccer,pitch,39.1481383,-77.3075127,,,MD,,false,true,false,openstreetmap
Field 21,soccer,pitch,39.1484246,-77.3063896,,,MD,,false,true,false,openstreetmap
Field 22,soccer,pitch,39.1489067,-77.3053259,,,MD,,false,true,false,openstreetmap
Field 23,soccer,pitch,39.1497196,-77.3038629,,,MD,,false,true,false,openstreetmap
Field 24,soccer,pitch,39.1502497,-77.3029546,,,MD,,false,true,false,openstreetmap
Field 2A,soccer,pitch,39.1715303,-77.0921192,,,MD,,false,true,false,openstreetmap
Field 2B,soccer,pitch,39.1710643,-77.0923168,,,MD,,false,true,false,openstreetmap
Field 3,soccer,pitch,39.2475814,-76.8744456,,,MD,,false,true,false,openstreetmap
Field 3,soccer,pitch,39.1536835,-77.3038179,,,MD,,false,true,false,openstreetmap
Field 3,soccer,pitch,39.3358949,-77.3654653,,,MD,,false,true,false,openstreetmap
Field 3,soccer,pitch,38.3391844,-76.5403004,,,MD,,false,true,false,openstreetmap
Field 4,soccer,pitch,39.2474977,-76.8733838,,,MD,,false,true,false,openstreetmap
Field 4,soccer,pitch,39.1539495,-77.3049764,,,MD,,false,true,false,openstreetmap
Field 4,soccer,pitch,38.3388181,-76.5404908,,,MD,,false,true,false,openstreetmap
Field 5,soccer,pitch,39.1551256,-77.3054623,,,MD,,false,true,false,openstreetmap
Field 5,soccer,pitch,39.2459991,-76.872497,,,MD,,false,true,false,openstreetmap
Field 5,soccer,pitch,38.3385933,-76.5407537,,,MD,,false,true,false,openstreetmap
Field 5,soccer,pitch,39.1743999,-77.088938,,,MD,,false,true,false,openstreetmap
Field 6,soccer,pitch,39.2455965,-76.8713667,,,MD,,false,true,false,openstreetmap
Field 6,soccer,pitch,39.15513,-77.3066692,,,MD,,false,true,false,openstreetmap
Field 6,soccer,pitch,38.3384145,-76.540971,,,MD,,false,true,false,openstreetmap
Field 6,soccer,pitch,39.5211557,-77.4015461,,,MD,,false,true,false,openstreetmap
Field 6,soccer,pitch,39.1742598,-77.0880934,,,MD,,false,true,false,openstreetmap
Field 7,soccer,pitch,39.244444,-76.8725447,,,MD,,false,true,false,openstreetmap
Field 7,soccer,pitch,39.1539295,-77.3070171,,,MD,,false,true,false,openstreetmap
