name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
5v5 A,soccer,pitch,42.6232859,-71.5035026,,,MA,,false,true,false,openstreetmap
5v5 B,soccer,pitch,42.6233131,-71.5039157,,,MA,,false,true,false,openstreetmap
5v5 C,soccer,pitch,42.6237225,-71.5034526,,,MA,,false,true,false,openstreetmap
5v5 D,soccer,pitch,42.6237492,-71.5038636,,,MA,,false,true,false,openstreetmap
A,soccer,pitch,42.4461462,-71.6486025,,,MA,,false,true,false,openstreetmap
Adams Field,soccer,pitch,42.6310729,-71.9126461,,,MA,,false,true,false,openstreetmap
Almy Field,soccer,pitch,42.2588894,-71.1842946,,,MA,,false,true,false,openstreetmap
Alumni Field,soccer,pitch,42.5046243,-70.8940385,,,MA,,false,true,false,openstreetmap
Alumni Field,soccer,pitch,42.5619364,-71.2775782,,,MA,,false,true,false,openstreetmap
Argenziano Field,soccer,pitch,42.3783813,-71.0991985,,,MA,,false,true,false,openstreetmap
Athletic Field & Track,soccer,pitch,42.3157355,-71.7910866,,,MA,,false,true,false,openstreetmap
B1,soccer,pitch,42.446231,-71.6495766,,,MA,,false,true,false,openstreetmap
B2,soccer,pitch,42.4458424,-71.6495559,,,MA,,false,true,false,openstreetmap
Barber Field,soccer,pitch,42.312184,-71.5310621,,,MA,,false,true,false,openstreetmap
Bliss Soccer Fields,soccer,pitch,41.9021124,-71.2463902,,,MA,,false,true,false,openstreetmap
Bond Road Soccer Fields,soccer,pitch,42.1204185,-71.9463006,,,MA,,false,true,false,openstreetmap
Brigham Soccer Field,soccer,pitch,42.5879723,-70.8292569,,,MA,,false,true,false,openstreetmap
Burlington Soccer,soccer,pitch,42.4808711,-71.1927646,,,MA,,false,true,false,openstreetmap
Bus Barn,soccer,pitch,42.3368533,-71.3003394,,,MA,,false,true,false,openstreetmap
C Field,soccer,pitch,42.3560486,-71.1001228,,,MA,,false,true,false,openstreetmap
C1,soccer,pitch,42.4462547,-71.6478041,,,MA,,false,true,false,openstreetmap
C2,soccer,pitch,42.44624,-71.6474709,,,MA,,false,true,false,openstreetmap
C3,soccer,pitch,42.4462822,-71.647072,,,MA,,false,true,false,openstreetmap
Cabbage Patch,soccer,pitch,42.463432,-71.0659543,,,MA,,false,true,false,openstreetmap
Cansbrooke Soccer Field,soccer,pitch,42.3610101,-71.4858371,,,MA,,false,true,false,openstreetmap
Capuano Field,soccer,pitch,42.3828262,-71.0863928,,,MA,,false,true,false,openstreetmap
Chadwick Field,soccer,pitch,42.6954291,-71.014567,,,MA,,false,true,false,openstreetmap
Chauncey Fields,soccer,pitch,42.2984787,-71.6096079,,,MA,,false,true,false,openstreetmap
Chauncey Fields,soccer,pitch,42.2975797,-71.6068787,,,MA,,false,true,false,openstreetmap
Class of 1985 Field,soccer,pitch,42.359204,-71.2178413,,,MA,,false,true,false,openstreetmap
Clipper Community Complex,soccer,pitch,42.1543812,-70.8419676,,,MA,,false,true,false,openstreetmap
Cole North,soccer,pitch,42.289981,-71.3918877,,,MA,,false,true,false,openstreetmap
Cole South,soccer,pitch,42.2882001,-71.3912641,,,MA,,false,true,false,openstreetmap
Concord Middle School Soccer Field 1,soccer,pitch,42.439723,-71.3970349,,,MA,,false,true,false,openstreetmap
Concord Middle School Soccer Field 2,soccer,pitch,42.4391554,-71.3979756,,,MA,,false,true,false,openstreetmap
