name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
5,soccer,pitch,42.3060444,-85.1154746,,,MI,,false,true,false,openstreetmap
Airport Community Schools Soccer Field,soccer,pitch,42.0448155,-83.372557,,,MI,,false,true,false,openstreetmap
Alpine Soccer Complex,soccer,pitch,45.0400087,-84.6814144,,,MI,,false,true,false,openstreetmap
Bad Axe Soccer Complex,soccer,sports_centre,43.8069972,-83.0120241,,,MI,,false,true,false,openstreetmap
Bay College Soccer Fields,soccer,pitch,45.7725555,-87.0886553,,,MI,,false,true,false,openstreetmap
Bay College Soccer Fields,soccer,pitch,45.7742219,-87.088083,,,MI,,false,true,false,openstreetmap
Beacon Field,soccer,pitch,42.7378118,-84.5574057,,,MI,,false,true,false,openstreetmap
Beacon Field Southwest,soccer,pitch,42.6967057,-84.5805662,,,MI,,false,true,false,openstreetmap
Black River Public School Soccer Field,soccer,pitch,42.7776677,-86.0983236,,,MI,,false,true,false,openstreetmap
Browning Elementary School,soccer,pitch,42.6080021,-83.0051955,,,MI,,false,true,false,openstreetmap
Cleary University Soccer Field,soccer,pitch,42.6084458,-83.9223922,,,MI,,false,true,false,openstreetmap
Congress Park Soccer Field,soccer,pitch,42.9611534,-85.6463011,,,MI,,false,true,false,openstreetmap
Davison Soccer Stadium,soccer,pitch,43.0254501,-83.5057239,,,MI,,false,true,false,openstreetmap
Deer Run Soccer Complex,soccer,sports_centre,42.7945018,-83.7839758,,,MI,,false,true,false,openstreetmap
Field #1,soccer,pitch,42.4089305,-83.4936125,,,MI,,false,true,false,openstreetmap
Field #1,soccer,pitch,42.3992162,-83.5130456,,,MI,,false,true,false,openstreetmap
Field #10,soccer,pitch,42.3960855,-83.5166213,,,MI,,false,true,false,openstreetmap
Field #11,soccer,pitch,42.3971749,-83.5195363,,,MI,,false,true,false,openstreetmap
Field #12,soccer,pitch,42.3971744,-83.5185218,,,MI,,false,true,false,openstreetmap
Field #13 - N,soccer,pitch,42.398677,-83.5186641,,,MI,,false,true,false,openstreetmap
Field #13 - S,soccer,pitch,42.3981828,-83.5186576,,,MI,,false,true,false,openstreetmap
Field #14 - NE,soccer,pitch,42.3986696,-83.5193803,,,MI,,false,true,false,openstreetmap
Field #14 - NW,soccer,pitch,42.3986693,-83.5197893,,,MI,,false,true,false,openstreetmap
Field #14 - SE,soccer,pitch,42.3981735,-83.5193685,,,MI,,false,true,false,openstreetmap
Field #14 - SW,soccer,pitch,42.3981735,-83.5197724,,,MI,,false,true,false,openstreetmap
Field #15 - N,soccer,pitch,42.4003558,-83.5150906,,,MI,,false,true,false,openstreetmap
Field #15 - S,soccer,pitch,42.4000269,-83.5150794,,,MI,,false,true,false,openstreetmap
Field #2,soccer,pitch,42.4089216,-83.4926428,,,MI,,false,true,false,openstreetmap
Field #2,soccer,pitch,42.3991453,-83.5140878,,,MI,,false,true,false,openstreetmap
Field #3,soccer,pitch,42.408941,-83.4915721,,,MI,,false,true,false,openstreetmap
Field #3 - N,soccer,pitch,42.4008054,-83.5143783,,,MI,,false,true,false,openstreetmap
Field #3 - S,soccer,pitch,42.4003679,-83.5143712,,,MI,,false,true,false,openstreetmap
Field #4 - E,soccer,pitch,42.4008648,-83.5128992,,,MI,,false,true,false,openstreetmap
Field #4 - W,soccer,pitch,42.4008544,-83.5134975,,,MI,,false,true,false,openstreetmap
Field #8,soccer,pitch,42.4080905,-83.4915754,,,MI,,false,true,false,openstreetmap
Field #8,soccer,pitch,42.3990915,-83.5152744,,,MI,,false,true,false,openstreetmap
Field #9 - N,soccer,pitch,42.3979668,-83.5165901,,,MI,,false,true,false,openstreetmap
Field #9 - S,soccer,pitch,42.3974748,-83.5166048,,,MI,,false,true,false,openstreetmap
Field 1,soccer,pitch,42.2903794,-83.5297728,,,MI,,false,true,false,openstreetmap
