name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
#1,soccer,pitch,44.1884524,-94.0414805,,,MN,,false,true,false,openstreetmap
1,soccer,pitch,44.8975089,-93.6093076,,,MN,,false,true,false,openstreetmap
1,soccer,pitch,45.1673655,-93.2293331,,,MN,,false,true,false,openstreetmap
1,soccer,pitch,44.7844003,-93.2346577,,,MN,,false,true,false,openstreetmap
10,soccer,pitch,45.1649485,-93.228469,,,MN,,false,true,false,openstreetmap
11,soccer,pitch,45.1638863,-93.2293595,,,MN,,false,true,false,openstreetmap
12,soccer,pitch,45.1638937,-93.2284281,,,MN,,false,true,false,openstreetmap
13,soccer,pitch,45.1649991,-93.2264855,,,MN,,false,true,false,openstreetmap
14,soccer,pitch,45.1649369,-93.225529,,,MN,,false,true,false,openstreetmap
15,soccer,pitch,45.1638653,-93.2264826,,,MN,,false,true,false,openstreetmap
16,soccer,pitch,45.1638559,-93.2255164,,,MN,,false,true,false,openstreetmap
17,soccer,pitch,45.1627331,-93.2293743,,,MN,,false,true,false,openstreetmap
18,soccer,pitch,45.1627232,-93.22838,,,MN,,false,true,false,openstreetmap
19,soccer,pitch,45.1616668,-93.2293973,,,MN,,false,true,false,openstreetmap
2,soccer,pitch,44.8971326,-93.6088525,,,MN,,false,true,false,openstreetmap
2,soccer,pitch,45.167379,-93.228379,,,MN,,false,true,false,openstreetmap
2,soccer,pitch,44.7842161,-93.2335702,,,MN,,false,true,false,openstreetmap
20,soccer,pitch,45.1616686,-93.2283807,,,MN,,false,true,false,openstreetmap
21,soccer,pitch,45.1627818,-93.2264247,,,MN,,false,true,false,openstreetmap
22,soccer,pitch,45.1627723,-93.2255342,,,MN,,false,true,false,openstreetmap
23,soccer,pitch,45.161684,-93.2265078,,,MN,,false,true,false,openstreetmap
24,soccer,pitch,45.1616975,-93.2255224,,,MN,,false,true,false,openstreetmap
25,soccer,pitch,45.167074,-93.2243012,,,MN,,false,true,false,openstreetmap
26,soccer,pitch,45.1670878,-93.2232451,,,MN,,false,true,false,openstreetmap
27,soccer,pitch,45.1659897,-93.2242933,,,MN,,false,true,false,openstreetmap
28,soccer,pitch,45.1660009,-93.2232284,,,MN,,false,true,false,openstreetmap
29,soccer,pitch,45.1628087,-93.2242661,,,MN,,false,true,false,openstreetmap
3,soccer,pitch,44.8974087,-93.6085917,,,MN,,false,true,false,openstreetmap
3,soccer,pitch,45.1663276,-93.2293001,,,MN,,false,true,false,openstreetmap
30,soccer,pitch,45.1628444,-93.2232523,,,MN,,false,true,false,openstreetmap
31,soccer,pitch,45.1616475,-93.2242849,,,MN,,false,true,false,openstreetmap
32,soccer,pitch,45.1616427,-93.2232442,,,MN,,false,true,false,openstreetmap
4,soccer,pitch,45.1663186,-93.2283852,,,MN,,false,true,false,openstreetmap
46,soccer,pitch,45.1600604,-93.2293394,,,MN,,false,true,false,openstreetmap
47,soccer,pitch,45.1600625,-93.2282916,,,MN,,false,true,false,openstreetmap
48,soccer,pitch,45.1600561,-93.2271022,,,MN,,false,true,false,openstreetmap
49,soccer,pitch,45.1600457,-93.2260403,,,MN,,false,true,false,openstreetmap
5,soccer,pitch,45.1673217,-93.2264565,,,MN,,false,true,false,openstreetmap
51,soccer,pitch,45.1586346,-93.2171625,,,MN,,false,true,false,openstreetmap
52,soccer,pitch,45.1599634,-93.2217946,,,MN,,false,true,false,openstreetmap
52,soccer,pitch,45.1578114,-93.2168465,,,MN,,false,true,false,openstreetmap
53,soccer,pitch,45.159965,-93.2208738,,,MN,,false,true,false,openstreetmap
53,soccer,pitch,45.1579943,-93.2156828,,,MN,,false,true,false,openstreetmap
54,soccer,pitch,45.159823,-93.2187824,,,MN,,false,true,false,openstreetmap
54,soccer,pitch,45.1588261,-93.2159416,,,MN,,false,true,false,openstreetmap
55,soccer,pitch,45.1597205,-93.2177165,,,MN,,false,true,false,openstreetmap
57,soccer,pitch,45.1586878,-93.2218219,,,MN,,false,true,false,openstreetmap
58,soccer,pitch,45.1586811,-93.2209797,,,MN,,false,true,false,openstreetmap
59,soccer,pitch,45.1586962,-93.2199929,,,MN,,false,true,false,openstreetmap
6,soccer,pitch,45.167316,-93.2254977,,,MN,,false,true,false,openstreetmap
60,soccer,pitch,45.1575826,-93.2278762,,,MN,,false,true,false,openstreetmap
61,soccer,pitch,45.1576255,-93.2257587,,,MN,,false,true,false,openstreetmap
62,soccer,pitch,45.1570342,-93.2257354,,,MN,,false,true,false,openstreetmap
65,soccer,pitch,45.1575572,-93.2218768,,,MN,,false,true,false,openstreetmap
66,soccer,pitch,45.1576006,-93.2209856,,,MN,,false,true,false,openstreetmap
7,soccer,pitch,45.1662005,-93.2264802,,,MN,,false,true,false,openstreetmap
7,soccer,pitch,44.8975261,-93.6074409,,,MN,,false,true,false,openstreetmap
8,soccer,pitch,44.7420795,-93.1944381,,,MN,,false,true,false,openstreetmap
8,soccer,pitch,44.741765,-93.1944401,,,MN,,false,true,false,openstreetmap
8,soccer,pitch,44.7423927,-93.1944374,,,MN,,false,true,false,openstreetmap
8,soccer,pitch,44.7427087,-93.1944364,,,MN,,false,true,false,openstreetmap
8,soccer,pitch,45.16619,-93.2254977,,,MN,,false,true,false,openstreetmap
8,soccer,pitch,44.8977724,-93.6084087,,,MN,,false,true,false,openstreetmap
8,soccer,pitch,44.7405931,-93.1944635,,,MN,,false,true,false,openstreetmap
8,soccer,pitch,44.7409072,-93.1944799,,,MN,,false,true,false,openstreetmap
