name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
1A,soccer,pitch,40.8656703,-74.7276181,,,NJ,,false,true,false,openstreetmap
1B,soccer,pitch,40.8651386,-74.7275565,,,NJ,,false,true,false,openstreetmap
2A,soccer,pitch,40.8652337,-74.7263526,,,NJ,,false,true,false,openstreetmap
2B,soccer,pitch,40.8657395,-74.7264082,,,NJ,,false,true,false,openstreetmap
3A,soccer,pitch,40.8644151,-74.7274456,,,NJ,,false,true,false,openstreetmap
3B,soccer,pitch,40.8638804,-74.7273869,,,NJ,,false,true,false,openstreetmap
4A,soccer,pitch,40.864474,-74.7262903,,,NJ,,false,true,false,openstreetmap
4B,soccer,pitch,40.8639813,-74.7262365,,,NJ,,false,true,false,openstreetmap
5-A-Side Pitch,soccer,pitch,40.5352156,-74.6209831,,,NJ,,false,true,false,openstreetmap
Ackerman Field,soccer,pitch,40.9425617,-73.9588772,,,NJ,,false,true,false,openstreetmap
Army Turf Field,soccer,pitch,40.8657345,-74.4121653,,,NJ,,false,true,false,openstreetmap
Barry Barclay Field,soccer,pitch,40.3700068,-74.5321724,,,NJ,,false,true,false,openstreetmap
Barry Barclay Field,soccer,pitch,40.3698454,-74.532924,,,NJ,,false,true,false,openstreetmap
Becton Dickinson Field,soccer,pitch,40.6965217,-74.413026,,,NJ,,false,true,false,openstreetmap
Bobby's Run Elementary School,soccer,pitch,39.9724174,-74.7871258,,,NJ,,false,true,false,openstreetmap
Boy's Soccer and Boy's Lacrosse Practice Field,soccer,pitch,39.7601006,-75.2933103,,,NJ,,false,true,false,openstreetmap
Chyzowych Soccer Field,soccer,pitch,40.7386705,-74.2683996,,,NJ,,false,true,false,openstreetmap
College of Saint Elizabeth,soccer,pitch,40.7774111,-74.4420079,,,NJ,,false,true,false,openstreetmap
Competition Soccer Field,soccer,pitch,41.0850629,-74.1786227,,,NJ,,false,true,false,openstreetmap
Crestview Soccer Field,soccer,pitch,39.440066,-74.4996189,,,NJ,,false,true,false,openstreetmap
Crystal Lake Fields,soccer,pitch,39.9033427,-75.0482655,,,NJ,,false,true,false,openstreetmap
Crystal Lake Fields,soccer,pitch,39.9041443,-75.0484888,,,NJ,,false,true,false,openstreetmap
D.J. Bentz Memorial Soccer Complex,soccer,sports_centre,39.6616699,-75.0795997,,,NJ,,false,true,false,openstreetmap
Dioguardi Field,soccer,pitch,40.8684258,-74.1969372,,,NJ,,false,true,false,openstreetmap
Doc Cramner Sports Complex,soccer,pitch,39.6943557,-74.2837945,,,NJ,,false,true,false,openstreetmap
Egan Field,soccer,pitch,40.8304411,-74.2889179,,,NJ,,false,true,false,openstreetmap
Elm Street Small Side Soccer Field,soccer,pitch,40.7834731,-74.4038811,,,NJ,,false,true,false,openstreetmap
Emmett Travel Field,soccer,pitch,40.7840653,-74.4039139,,,NJ,,false,true,false,openstreetmap
Essex County Soccer Field,soccer,pitch,40.7344739,-74.1443404,,,NJ,,false,true,false,openstreetmap
Evergreen Park Soccer Field,soccer,pitch,40.4062331,-74.1176692,,,NJ,,false,true,false,openstreetmap
F10,soccer,pitch,40.2561676,-74.6629972,,,NJ,,false,true,false,openstreetmap
F11,soccer,pitch,40.256378,-74.6621845,,,NJ,,false,true,false,openstreetmap
F12,soccer,pitch,40.2581517,-74.6631575,,,NJ,,false,true,false,openstreetmap
F13,soccer,pitch,40.2586589,-74.6635293,,,NJ,,false,true,false,openstreetmap
FDU Soccer Field,soccer,pitch,40.9027931,-74.0267576,,,NJ,,false,true,false,openstreetmap
Field #1,soccer,pitch,40.8750947,-74.160887,,,NJ,,false,true,false,openstreetmap
Field #2,soccer,pitch,40.8752446,-74.1600771,,,NJ,,false,true,false,openstreetmap
Field #3,soccer,pitch,40.8742007,-74.1604815,,,NJ,,false,true,false,openstreetmap
Field 1,soccer,pitch,40.2818654,-74.7473566,,,NJ,,false,true,false,openstreetmap
Field 1,soccer,pitch,40.1525935,-74.6309026,,,NJ,,false,true,false,openstreetmap
Field 10,soccer,pitch,40.2814501,-74.7436485,,,NJ,,false,true,false,openstreetmap
Field 2,soccer,pitch,40.8654881,-74.7263804,,,NJ,,false,true,false,openstreetmap
Field 2,soccer,pitch,40.2814962,-74.7479612,,,NJ,,false,true,false,openstreetmap
Field 2,soccer,pitch,40.1523383,-74.6301107,,,NJ,,false,true,false,openstreetmap
Field 2 (11v11),soccer,pitch,39.6619503,-75.0803674,,,NJ,,false,true,false,openstreetmap
Field 3,soccer,pitch,40.8641475,-74.7274163,,,NJ,,false,true,false,openstreetmap
Field 3,soccer,pitch,40.2811264,-74.7485588,,,NJ,,false,true,false,openstreetmap
Field 3,soccer,pitch,40.1520777,-74.6292325,,,NJ,,false,true,false,openstreetmap
Field 3 (Micro),soccer,pitch,39.6628305,-75.0805113,,,NJ,,false,true,false,openstreetmap
Field 4,soccer,pitch,40.8642276,-74.7262634,,,NJ,,false,true,false,openstreetmap
Field 4,soccer,pitch,40.2818829,-74.7488758,,,NJ,,false,true,false,openstreetmap
Field 4,soccer,pitch,40.153508,-74.6276065,,,NJ,,false,true,false,openstreetmap
Field 4 (8v8),soccer,pitch,39.6607841,-75.0797383,,,NJ,,false,true,false,openstreetmap
Field 5,soccer,pitch,40.2841039,-74.7445795,,,NJ,,false,true,false,openstreetmap
Field 5,soccer,pitch,40.1531689,-74.6264875,,,NJ,,false,true,false,openstreetmap
Field 5,soccer,pitch,40.8621608,-74.7270224,,,NJ,,false,true,false,openstreetmap
Field 6,soccer,pitch,40.8620829,-74.7258754,,,NJ,,false,true,false,openstreetmap
Field 6,soccer,pitch,40.2846734,-74.7443854,,,NJ,,false,true,false,openstreetmap
Field 6 (Micro),soccer,pitch,39.660624,-75.0792209,,,NJ,,false,true,false,openstreetmap
Field 7,soccer,pitch,40.2852427,-74.744199,,,NJ,,false,true,false,openstreetmap
Field 7,soccer,pitch,40.8612885,-74.726891,,,NJ,,false,true,false,openstreetmap
Field 8,soccer,pitch,40.2858133,-74.7440136,,,NJ,,false,true,false,openstreetmap
Field 9,soccer,pitch,40.2839486,-74.742897,,,NJ,,false,true,false,openstreetmap
Field C,soccer,pitch,39.7485895,-75.3188425,,,NJ,,false,true,false,openstreetmap
Field D,soccer,pitch,39.747609,-75.3186678,,,NJ,,false,true,false,openstreetmap
Field F,soccer,pitch,39.7485715,-75.3198839,,,NJ,,false,true,false,openstreetmap
Field G,soccer,pitch,39.7477762,-75.3198368,,,NJ,,false,true,false,openstreetmap
Field M,soccer,pitch,39.7474576,-75.3228933,,,NJ,,false,true,false,openstreetmap
Football / Soccer Field,soccer,pitch,40.8373555,-74.5688327,,,NJ,,false,true,false,openstreetmap
Forest Hills Soccer Field,soccer,pitch,39.893997,-74.2023392,,,NJ,,false,true,false,openstreetmap
Freshman Sports,soccer,pitch,40.9289452,-74.7350639,,,NJ,,false,true,false,openstreetmap
Friendship Field,soccer,pitch,40.1522624,-74.66935,,,NJ,,false,true,false,openstreetmap
