name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
96 PUMAS,soccer,sports_centre,34.1838043,-82.0795604,,,SC,,false,true,false,openstreetmap
Atwater Field,soccer,pitch,34.2824742,-81.6232457,,,SC,,false,true,false,openstreetmap
Avalon Soccer Field,soccer,pitch,33.7666773,-78.9153166,,,SC,,false,true,false,openstreetmap
Brannan Field,soccer,stadium,34.9452253,-80.9839235,,,SC,,false,true,false,openstreetmap
Brushy Creek Soccer Complex,soccer,sports_centre,34.8830628,-82.3063968,,,SC,,false,true,false,openstreetmap
Carolina Park Soccer Fields,soccer,sports_centre,32.8999201,-79.7752743,,,SC,,false,true,false,openstreetmap
Championship Sports Field,soccer,pitch,34.6831326,-82.8604143,,,SC,,false,true,false,openstreetmap
Chaplin Park Soccer Field,soccer,pitch,32.1954746,-80.7005057,,,SC,,false,true,false,openstreetmap
Country Walk Neighborhood Soccer Field,soccer,pitch,34.6795468,-82.7994081,,,SC,,false,true,false,openstreetmap
Eagle Field,soccer,pitch,34.9436282,-81.0121296,,,SC,,false,true,false,openstreetmap
Eugene E Stone III Soccer Stadium,soccer,stadium,34.9215433,-82.4410411,,,SC,,false,true,false,openstreetmap
Eugene E. Stone III Stadium,soccer,stadium,33.9877862,-81.0248237,,,SC,,false,true,false,openstreetmap
Field #1,soccer,pitch,34.7823457,-82.3389461,,,SC,,false,true,false,openstreetmap
Field #1 Sportsclub,soccer,pitch,34.8123729,-82.1974436,,,SC,,false,true,false,openstreetmap
Field #10 Carter,soccer,pitch,34.8135906,-82.1930442,,,SC,,false,true,false,openstreetmap
Field #11 Hartness International,soccer,pitch,34.8101763,-82.1948971,,,SC,,false,true,false,openstreetmap
Field #12 Resurgent Capital,soccer,pitch,34.8106213,-82.1942348,,,SC,,false,true,false,openstreetmap
Field #13 Monster Energy Drink,soccer,pitch,34.8111691,-82.1934989,,,SC,,false,true,false,openstreetmap
Field #14 Hughes Investment,soccer,pitch,34.8116196,-82.1928261,,,SC,,false,true,false,openstreetmap
Field #15,soccer,pitch,34.8121163,-82.1921338,,,SC,,false,true,false,openstreetmap
Field #19 Mac Foundation,soccer,pitch,34.8125748,-82.1914619,,,SC,,false,true,false,openstreetmap
Field #2,soccer,pitch,34.7813376,-82.3380893,,,SC,,false,true,false,openstreetmap
Field #2 Marriott,soccer,pitch,34.8128736,-82.1966941,,,SC,,false,true,false,openstreetmap
Field #3,soccer,pitch,34.7808822,-82.3389097,,,SC,,false,true,false,openstreetmap
