name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
Alice Sweet Thomas Park,tennis,sports_centre,39.8412955,-105.1297396,,,CO,,false,true,false,openstreetmap
Apex Tennis Center Pro Shop,tennis,pitch,39.8134399,-105.1136515,,,CO,,false,true,false,openstreetmap
Arapahoe Tennis Club,tennis,sports_centre,39.6363465,-104.9312572,,,CO,,false,true,false,openstreetmap
Bradburn Community Tennis Court,tennis,pitch,39.9113393,-105.0392467,,,CO,,false,true,false,openstreetmap
Columbine Country Club,tennis,pitch,39.601724,-105.039848,,,CO,,false,true,false,openstreetmap
Columbine Country Club,tennis,pitch,39.601445,-105.0388798,,,CO,,false,true,false,openstreetmap
Columbine Tennis Court 1,tennis,pitch,40.0330235,-105.2675642,,,CO,,false,true,false,openstreetmap
Columbine Tennis Court 2,tennis,pitch,40.033021,-105.2673962,,,CO,,false,true,false,openstreetmap
Cook Creek Park Court #1,tennis,pitch,39.5504699,-104.8885217,,,CO,,false,true,false,openstreetmap
Cook Creek Park Court #2,tennis,pitch,39.5502452,-104.8889091,,,CO,,false,true,false,openstreetmap
Country Highlands Tennis Court,tennis,pitch,39.9158576,-105.0171031,,,CO,,false,true,false,openstreetmap
Crestmoor Community Association,tennis,pitch,39.7138309,-104.9182096,,,CO,,false,true,false,openstreetmap
Farr Park Tennis Courts,tennis,pitch,40.3943443,-104.7010736,,,CO,,false,true,false,openstreetmap
Harkendorff Tennis Courts,tennis,pitch,37.3537326,-108.5689139,,,CO,,false,true,false,openstreetmap
Hempel family tennis courts,tennis,sports_centre,40.3423536,-105.5712911,,,CO,,false,true,false,openstreetmap
Homestead Farm Tennis Courts,tennis,sports_centre,39.585057,-104.9262369,,,CO,,false,true,false,openstreetmap
Indoor Tennis,tennis,pitch,39.7179164,-104.9638432,,,CO,,false,true,false,openstreetmap
Ken-Caryl Ranch House,tennis,sports_centre,39.5773426,-105.1168985,,,CO,,false,true,false,openstreetmap
Lisbon Park Tennis Courts,tennis,pitch,39.772949,-104.7455277,,,CO,,false,true,false,openstreetmap
Olivean Apartments Tennis Court,tennis,pitch,39.9073187,-105.0868263,,,CO,,false,true,false,openstreetmap
Portal Park Tennis Court,tennis,sports_centre,38.8844572,-104.8015604,,,CO,,false,true,false,openstreetmap
Powell Tennis Courts,tennis,pitch,39.5726512,-104.976118,,,CO,,false,true,false,openstreetmap
Private Tennis,tennis,pitch,39.6738474,-105.0824529,,,CO,,false,true,false,openstreetmap
