name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
Alton Foundation Court,tennis,pitch,38.9016084,-90.115774,,,IL,,false,true,false,openstreetmap
Beadles-Morse Courts,tennis,sports_centre,40.4935929,-88.9915868,,,IL,,false,true,false,openstreetmap
Burgess Tennis Complex,tennis,sports_centre,38.8951609,-89.4082712,,,IL,,false,true,false,openstreetmap
Chicago Park District,tennis,pitch,42.0064441,-87.6586833,,,IL,,false,true,false,openstreetmap
Chicago Park District,tennis,pitch,42.0064553,-87.6581642,,,IL,,false,true,false,openstreetmap
Chicago Park District,tennis,pitch,42.0064519,-87.6583328,,,IL,,false,true,false,openstreetmap
Chicago Park District,tennis,pitch,42.0064479,-87.6585106,,,IL,,false,true,false,openstreetmap
Chicago Park District,tennis,sports_centre,41.8772648,-87.7738369,,,IL,,false,true,false,openstreetmap
Country Club Tennis Courts,tennis,pitch,41.9492432,-88.7313049,,,IL,,false,true,false,openstreetmap
Country Club of Peoria,tennis,sports_centre,40.7443566,-89.5615904,,,IL,,false,true,false,openstreetmap
Courts Plus,tennis,sports_centre,41.8952403,-87.9601931,,,IL,,false,true,false,openstreetmap
Cousley Court,tennis,pitch,38.9016178,-90.1155726,,,IL,,false,true,false,openstreetmap
David Markin Tennis Courts,tennis,sports_centre,40.6960946,-89.6187089,,,IL,,false,true,false,openstreetmap
Dorner Drive Playing Fields,tennis,sports_centre,40.1013909,-88.2213149,,,IL,,false,true,false,openstreetmap
Douglass Tennis Courts,tennis,sports_centre,41.8603486,-87.6970781,,,IL,,false,true,false,openstreetmap
EIU South Tennis Court,tennis,pitch,39.4768851,-88.1735463,,,IL,,false,true,false,openstreetmap
EIU South Tennis Court,tennis,pitch,39.4768866,-88.1737156,,,IL,,false,true,false,openstreetmap
EIU South Tennis Court,tennis,pitch,39.4768836,-88.1733722,,,IL,,false,true,false,openstreetmap
Federal Steel Court,tennis,pitch,38.9012242,-90.1157522,,,IL,,false,true,false,openstreetmap
Flames Outdoor Tennis Courts,tennis,sports_centre,41.8635345,-87.6484543,,,IL,,false,true,false,openstreetmap
Glen Oak Tennis Courts,tennis,sports_centre,40.7174063,-89.5762624,,,IL,,false,true,false,openstreetmap
Glen Oak Tennis Courts,tennis,sports_centre,40.7177115,-89.5751325,,,IL,,false,true,false,openstreetmap
Groppel Court,tennis,pitch,38.9016313,-90.1152445,,,IL,,false,true,false,openstreetmap
Halsey Court,tennis,pitch,38.9020154,-90.1155265,,,IL,,false,true,false,openstreetmap
Hexberg Tennis Center,tennis,sports_centre,38.9530008,-90.3498311,,,IL,,false,true,false,openstreetmap
IL Bell Court,tennis,pitch,38.9012151,-90.1159559,,,IL,,false,true,false,openstreetmap
Jack Oremus Tennis Complex,tennis,sports_centre,41.6045565,-88.0840022,,,IL,,false,true,false,openstreetmap
Joal Stanfield Memorial Tennis Complex,tennis,sports_centre,40.6109128,-89.4514279,,,IL,,false,true,false,openstreetmap
LCHS Tennis Courts,tennis,pitch,40.1378651,-89.3533297,,,IL,,false,true,false,openstreetmap
Lincoln Park Lighted Tennis Courts,tennis,sports_centre,41.5009703,-90.5471529,,,IL,,false,true,false,openstreetmap
Lindsay Tennis Center,tennis,sports_centre,40.1025909,-88.2840558,,,IL,,false,true,false,openstreetmap
Lower Tennis Courts,tennis,sports_centre,41.5057309,-90.5497635,,,IL,,false,true,false,openstreetmap
Maple Park Tennis Court,tennis,pitch,42.0716636,-87.6906434,,,IL,,false,true,false,openstreetmap
OTHS Tennis Complex,tennis,pitch,38.584472,-89.9006618,,,IL,,false,true,false,openstreetmap
Parkland College,tennis,sports_centre,40.1349805,-88.2889483,,,IL,,false,true,false,openstreetmap
Public Tennis Court,tennis,pitch,41.7837391,-88.0359498,,,IL,,false,true,false,openstreetmap
Raquetball Center,tennis,pitch,42.2952931,-89.6299952,,,IL,,false,true,false,openstreetmap
Score Tennis and Fitness,tennis,sports_centre,41.7712127,-87.8859218,,,IL,,false,true,false,openstreetmap
Simpson Court,tennis,pitch,38.9019996,-90.1158746,,,IL,,false,true,false,openstreetmap
Simpson Tennis Center,tennis,sports_centre,38.9018145,-90.1154623,,,IL,,false,true,false,openstreetmap
Springfield Park District,tennis,pitch,39.8011733,-89.6333858,,,IL,,false,true,false,openstreetmap
Springfield Park District,tennis,pitch,39.8011697,-89.6331737,,,IL,,false,true,false,openstreetmap
Tennis Center,tennis,sports_centre,41.8377152,-87.9509229,,,IL,,false,true,false,openstreetmap
Tennis Court,tennis,pitch,42.1705441,-87.9664622,,,IL,,false,true,false,openstreetmap
Tennis Court,tennis,pitch,42.1707208,-87.9664611,,,IL,,false,true,false,openstreetmap
Tennis Court,tennis,pitch,38.0892987,-89.0530912,,,IL,,false,true,false,openstreetmap
Tennis Court,tennis,pitch,42.1601448,-87.7969382,,,IL,,false,true,false,openstreetmap
Tennis Court,tennis,pitch,42.1600457,-87.7969423,,,IL,,false,true,false,openstreetmap
Tennis Court,tennis,pitch,42.1600897,-87.7967012,,,IL,,false,true,false,openstreetmap
Tennis Court,tennis,pitch,42.1601929,-87.7966977,,,IL,,false,true,false,openstreetmap
Tennis courts,tennis,pitch,42.2282671,-87.9728473,,,IL,,false,true,false,openstreetmap
United Township High School Tennis,tennis,sports_centre,41.4929178,-90.4326009,,,IL,,false,true,false,openstreetmap
Upper Tennis Courts,tennis,sports_centre,41.5001546,-90.5534113,,,IL,,false,true,false,openstreetmap
