name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
Abandoned Tenis court,tennis,pitch,39.2447866,-75.8964336,,,MD,,false,true,false,openstreetmap
Accokeek tennis court,tennis,pitch,38.6889246,-76.9784605,,,MD,,false,true,false,openstreetmap
Annapolis High School Tennis Courts,tennis,pitch,38.9757937,-76.5641772,,,MD,,false,true,false,openstreetmap
Back Hard Court,tennis,pitch,39.675212,-77.7138974,,,MD,,false,true,false,openstreetmap
Baltimore Fitness and Tennis,tennis,sports_centre,39.3819302,-76.7347993,,,MD,,false,true,false,openstreetmap
CCBC Essex Tennis Courts,tennis,pitch,39.3569068,-76.4795713,,,MD,,false,true,false,openstreetmap
CCBC Tennis Court #2,tennis,pitch,39.2687555,-76.5137802,,,MD,,false,true,false,openstreetmap
CCBC Tennis Court #3,tennis,pitch,39.2687312,-76.5136057,,,MD,,false,true,false,openstreetmap
CCBC Tennis Court #4,tennis,pitch,39.2687075,-76.5134339,,,MD,,false,true,false,openstreetmap
CCBC Tennis Court #5,tennis,pitch,39.2665918,-76.5117723,,,MD,,false,true,false,openstreetmap
CCBC Tennis Court #6,tennis,pitch,39.2665689,-76.5116053,,,MD,,false,true,false,openstreetmap
CCBC Tennis court #1,tennis,pitch,39.2687788,-76.5139561,,,MD,,false,true,false,openstreetmap
City of Greenbelt,tennis,pitch,39.0038621,-76.8804693,,,MD,,false,true,false,openstreetmap
City of Greenbelt,tennis,pitch,39.0039163,-76.8803125,,,MD,,false,true,false,openstreetmap
City of Greenbelt,tennis,pitch,39.0035431,-76.8802883,,,MD,,false,true,false,openstreetmap
City of Greenbelt,tennis,pitch,39.0035966,-76.8801316,,,MD,,false,true,false,openstreetmap
City of Greenbelt,tennis,pitch,39.0029273,-76.8799734,,,MD,,false,true,false,openstreetmap
City of Greenbelt,tennis,pitch,39.0029807,-76.8798181,,,MD,,false,true,false,openstreetmap
City of Greenbelt,tennis,pitch,39.003274,-76.8799838,,,MD,,false,true,false,openstreetmap
City of Greenbelt,tennis,pitch,39.0032212,-76.880139,,,MD,,false,true,false,openstreetmap
Coppermine,tennis,sports_centre,39.380357,-76.6585498,,,MD,,false,true,false,openstreetmap
Doc Davis Intramural Complex Tennis Center,tennis,fitness_centre,38.3444565,-75.5996258,,,MD,,false,true,false,openstreetmap
Eldwick Swim and Tennis Club,tennis,pitch,39.0403041,-77.2030257,,,MD,,false,true,false,openstreetmap
Eldwick Swim and Tennis Club,tennis,pitch,39.040361,-77.202861,,,MD,,false,true,false,openstreetmap
Eppley Tennis Courts,tennis,sports_centre,38.9945031,-76.9474285,,,MD,,false,true,false,openstreetmap
Front Har Tru Court,tennis,pitch,39.6772812,-77.7141961,,,MD,,false,true,false,openstreetmap
Handball,tennis,pitch,39.2494507,-76.8524321,,,MD,,false,true,false,openstreetmap
Handball,tennis,pitch,38.9162897,-76.6695486,,,MD,,false,true,false,openstreetmap
Hermitage Hills Community Tennis Court,tennis,pitch,38.9927038,-76.6507046,,,MD,,false,true,false,openstreetmap
Homeland Raquet Club,tennis,fitness_centre,39.4250864,-76.6772572,,,MD,,false,true,false,openstreetmap
Hood College Tennis Center,tennis,pitch,39.4240514,-77.4198072,,,MD,,false,true,false,openstreetmap
Indoor Tennis Center,tennis,sports_centre,38.3394054,-75.6028385,,,MD,,false,true,false,openstreetmap
Leisure World of Maryland Corporation,tennis,pitch,39.1081494,-77.0702073,,,MD,,false,true,false,openstreetmap
Leisure World of Maryland Corporation,tennis,pitch,39.1081243,-77.0700411,,,MD,,false,true,false,openstreetmap
Leisure World of Maryland Corporation,tennis,pitch,39.108502,-77.0703028,,,MD,,false,true,false,openstreetmap
Leisure World of Maryland Corporation,tennis,pitch,39.1084699,-77.0701318,,,MD,,false,true,false,openstreetmap
Manor Oaks Tennis Courts,tennis,pitch,39.1661561,-77.0553012,,,MD,,false,true,false,openstreetmap
Middlebridge Village HOA,tennis,pitch,39.0733583,-77.0421041,,,MD,,false,true,false,openstreetmap
North Farm Tennis Courts,tennis,pitch,39.0555948,-77.1452925,,,MD,,false,true,false,openstreetmap
Owen Brown Tennis Courts,tennis,pitch,39.1874483,-76.841558,,,MD,,false,true,false,openstreetmap
Parkview Trail Community Tennis Club,tennis,pitch,39.3113022,-76.7805315,,,MD,,false,true,false,openstreetmap
Prince George's Community College,tennis,pitch,38.8856657,-76.8291665,,,MD,,false,true,false,openstreetmap
Prince George's Community College,tennis,pitch,38.8853145,-76.8290998,,,MD,,false,true,false,openstreetmap
Prince George's Community College,tennis,pitch,38.8853781,-76.8289549,,,MD,,false,true,false,openstreetmap
Prince George's Community College,tennis,pitch,38.8854481,-76.8288088,,,MD,,false,true,false,openstreetmap
Prince George's Community College,tennis,pitch,38.8855149,-76.8286639,,,MD,,false,true,false,openstreetmap
Prince George's Community College,tennis,pitch,38.8857978,-76.8288785,,,MD,,false,true,false,openstreetmap
Prince George's Community College,tennis,pitch,38.8857279,-76.8290193,,,MD,,false,true,false,openstreetmap
Racquetball Court,tennis,pitch,39.4752649,-77.3594779,,,MD,,false,true,false,openstreetmap
Shaughnessy Tennis Courts,tennis,sports_centre,39.392478,-76.5784484,,,MD,,false,true,false,openstreetmap
Tennis,tennis,pitch,39.45443,-77.417493,,,MD,,false,true,false,openstreetmap
Tennis Barn,tennis,sports_centre,39.4974642,-76.3235933,,,MD,,false,true,false,openstreetmap
Tennis Court,tennis,pitch,39.161366,-77.0647053,,,MD,,false,true,false,openstreetmap
Tennis Court (former),tennis,pitch,39.2528854,-76.7758137,,,MD,,false,true,false,openstreetmap
Tennis Practice Wall,tennis,pitch,39.1247894,-77.1987947,,,MD,,false,true,false,openstreetmap
Tosé Family Courts,tennis,pitch,39.1068381,-76.6780057,,,MD,,false,true,false,openstreetmap
Westfields Community Tennis,tennis,pitch,39.5752911,-77.7303115,,,MD,,false,true,false,openstreetmap
Westside Park Tennis Courts,tennis,pitch,39.1540181,-76.9051832,,,MD,,false,true,false,openstreetmap
Wood middle school tennis court,tennis,pitch,39.0935442,-77.106461,,,MD,,false,true,false,openstreetmap
practice wall,tennis,pitch,39.125479,-77.0719818,,,MD,,false,true,false,openstreetmap
Jacoby Tennis Courts,tennis,pitch,38.9929333,-77.1266833,6101 Wilson Lane,Bethesda,MD,20817,false,true,false,openstreetmap
Pauline Betz Addie Tennis Center,tennis,sports_centre,39.0245074,-77.1590877,7801 Democracy Boulevard,Bethesda,MD,20817,false,true,false,openstreetmap
Seven Locks Swim & Tennis Club,tennis,pitch,39.0187617,-77.1603808,9929 Seven Locks Road,Bethesda,MD,20817,false,true,false,openstreetmap
Montgomery TennisPlex,tennis,sports_centre,39.1520189,-77.3056167,18010 Central Park Circle,Boyds,MD,20841,false,true,false,openstreetmap
Meadowbrook Park Tennis Courts,tennis,sports_centre,38.9866677,-77.0616135,7901 Meadowbrook Lane,Chevy Chase,MD,20815,false,true,false,openstreetmap
Long Reach Tennis Club,tennis,sports_centre,39.2035657,-76.8136932,6180 Old Dobbin Lane,Columbia,MD,21046,false,true,false,openstreetmap
Lonnie D. Athey Center Courts,tennis,pitch,39.6488688,-78.9349812,,Frostburg,MD,21532,false,true,false,openstreetmap
Cabin John Hitting Walls,tennis,pitch,39.0305314,-77.1502399,10610 Westlake Drive,Potomac,MD,20817,false,true,false,openstreetmap
Flower Valley Bath and Racquet Club,tennis,pitch,39.1036501,-77.0896074,Flower Valley Drive,Rockville,MD,20853,false,true,false,openstreetmap
Flower Valley Bath and Racquet Club,tennis,pitch,39.1041336,-77.0895363,Flower Valley Drive,Rockville,MD,20853,false,true,false,openstreetmap
TennisTopia,tennis,pitch,39.0751477,-77.1385402,827 Rockville Pike,Rockville,MD,20852,false,true,false,openstreetmap
Argyle Country Club,tennis,pitch,39.0967251,-77.0473588,14600 Argyle Club Lane,Silver Spring,MD,20906,false,true,false,openstreetmap
Dennis/Sligo Creek Parkway,tennis,pitch,39.0268238,-77.0291945,10200 Sligo Creek Parkway,Silver Spring,MD,20910,false,true,false,openstreetmap
The Management Group Associates,tennis,pitch,39.1044828,-77.0530582,2501 Longmead Crossing Drive,Silver Spring,MD,20906,false,true,false,openstreetmap
White Oak Middle School Tennis Courts,tennis,pitch,39.0572488,-76.9951794,12201 New Hampshire Avenue,Silver Spring,MD,20904,false,true,false,openstreetmap
Woodside Park,tennis,pitch,38.9994774,-77.033575,1399 Spring Street,Silver Spring,MD,20910,false,true,false,openstreetmap
Watkins Tennis Bubble,tennis,pitch,38.8881368,-76.7906888,301 Watkins Park Drive,Upper Marlboro,MD,20774,false,true,false,openstreetmap
