name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
1,baseball,pitch,33.5614707,-112.2348482,,,AZ,,false,true,false,openstreetmap
2,baseball,pitch,33.5623338,-112.2341292,,,AZ,,false,true,false,openstreetmap
3,baseball,pitch,33.5623196,-112.2328803,,,AZ,,false,true,false,openstreetmap
4,baseball,pitch,33.5613801,-112.2327367,,,AZ,,false,true,false,openstreetmap
5,baseball,pitch,33.5605208,-112.233451,,,AZ,,false,true,false,openstreetmap
6,baseball,pitch,33.5605364,-112.2347152,,,AZ,,false,true,false,openstreetmap
Aaron Hill Baseball Field,baseball,pitch,34.1546284,-114.2829663,,,AZ,,false,true,false,openstreetmap
Alvin A Ellis Field,baseball,pitch,33.3724289,-112.5768345,,,AZ,,false,true,false,openstreetmap
Asante Field East,baseball,pitch,33.6967109,-112.4193073,,,AZ,,false,true,false,openstreetmap
Asante Field West,baseball,pitch,33.6973485,-112.4201317,,,AZ,,false,true,false,openstreetmap
BF,baseball,pitch,32.6887827,-114.4916722,,,AZ,,false,true,false,openstreetmap
Baseball,baseball,pitch,33.6827306,-112.2645866,,,AZ,,false,true,false,openstreetmap
Baseball Diamond,baseball,pitch,34.5476181,-112.2440335,,,AZ,,false,true,false,openstreetmap
Baseball Field,baseball,pitch,32.3083155,-111.236915,,,AZ,,false,true,false,openstreetmap
BaseballField #1,baseball,pitch,33.3676691,-111.6857856,,,AZ,,false,true,false,openstreetmap
BaseballField #2,baseball,pitch,33.3676664,-111.684881,,,AZ,,false,true,false,openstreetmap
BaseballField #3,baseball,pitch,33.3668689,-111.6858103,,,AZ,,false,true,false,openstreetmap
BaseballField #4,baseball,pitch,33.3668711,-111.6848786,,,AZ,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,33.3274855,-111.9576675,,,AZ,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,32.1848398,-110.9804688,,,AZ,,false,true,false,openstreetmap
Batting Cages,baseball,pitch,32.1754676,-110.9357049,,,AZ,,false,true,false,openstreetmap
Batting Cages,baseball,pitch,33.3643119,-112.5885432,,,AZ,,false,true,false,openstreetmap
Beaver Dam High School Baseball Field,baseball,pitch,36.9100919,-113.9278526,,,AZ,,false,true,false,openstreetmap
Big League Dreams,baseball,pitch,33.3552524,-111.6940909,,,AZ,,false,true,false,openstreetmap
Brazell Stadium,baseball,stadium,33.5122291,-112.1329684,,,AZ,,false,true,false,openstreetmap
Brock Field,baseball,pitch,31.5545461,-110.365578,,,AZ,,false,true,false,openstreetmap
Chicago Cubs Spring Training Home,baseball,sports_centre,33.4315616,-111.8836826,,,AZ,,false,true,false,openstreetmap
Chinle High Baseball Field,baseball,pitch,36.1596435,-109.581839,,,AZ,,false,true,false,openstreetmap
Cholla Field,baseball,pitch,33.3080891,-111.6729316,,,AZ,,false,true,false,openstreetmap
Diamond Canyon,baseball,pitch,33.8471654,-112.1014992,,,AZ,,false,true,false,openstreetmap
Dreamcatcher Park,baseball,pitch,33.6284835,-112.3729122,,,AZ,,false,true,false,openstreetmap
E. J. Robson Softball Field Field of Dreams,baseball,pitch,33.4760497,-112.3939148,,,AZ,,false,true,false,openstreetmap
Eagle Baseball Field,baseball,pitch,34.6177714,-112.4558476,,,AZ,,false,true,false,openstreetmap
East Field,baseball,pitch,33.3962284,-112.0372328,,,AZ,,false,true,false,openstreetmap
Field #1,baseball,pitch,33.620016,-111.7376087,,,AZ,,false,true,false,openstreetmap
Field #2,baseball,pitch,33.6190044,-111.7373704,,,AZ,,false,true,false,openstreetmap
Field #3,baseball,pitch,33.6189803,-111.7361882,,,AZ,,false,true,false,openstreetmap
Field #4,baseball,pitch,33.6179959,-111.7362112,,,AZ,,false,true,false,openstreetmap
Field 1,baseball,pitch,33.6146193,-112.2423728,,,AZ,,false,true,false,openstreetmap
Field 1,baseball,pitch,32.3454767,-111.094597,,,AZ,,false,true,false,openstreetmap
Field 1,baseball,pitch,34.4642455,-114.3394794,,,AZ,,false,true,false,openstreetmap
Field 10,baseball,pitch,32.1743433,-110.9350826,,,AZ,,false,true,false,openstreetmap
Field 2,baseball,pitch,33.6147409,-112.2411857,,,AZ,,false,true,false,openstreetmap
Field 2,baseball,pitch,32.3457549,-111.0931578,,,AZ,,false,true,false,openstreetmap
Field 2,baseball,pitch,34.4641219,-114.3406161,,,AZ,,false,true,false,openstreetmap
Field 3,baseball,pitch,33.6157811,-112.2413522,,,AZ,,false,true,false,openstreetmap
