name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
1,baseball,pitch,39.6247687,-105.0058571,,,CO,,false,true,false,openstreetmap
1,baseball,pitch,39.6220814,-104.9967607,,,CO,,false,true,false,openstreetmap
2,baseball,pitch,39.6247149,-105.0044423,,,CO,,false,true,false,openstreetmap
2,baseball,pitch,39.623504,-104.9997781,,,CO,,false,true,false,openstreetmap
3,baseball,pitch,39.6258075,-105.0044155,,,CO,,false,true,false,openstreetmap
Academy Baseball Field,baseball,pitch,39.9131309,-105.0324686,,,CO,,false,true,false,openstreetmap
Adams Field,baseball,pitch,40.4850796,-106.8389724,,,CO,,false,true,false,openstreetmap
Aspen Field,baseball,pitch,37.2779998,-107.8710778,,,CO,,false,true,false,openstreetmap
Aspen Field,baseball,pitch,37.278993,-107.8710584,,,CO,,false,true,false,openstreetmap
Aspen Field,baseball,pitch,37.2780418,-107.8723677,,,CO,,false,true,false,openstreetmap
BB1,baseball,pitch,39.7310021,-105.0432361,,,CO,,false,true,false,openstreetmap
BIP #2,baseball,pitch,39.9039857,-105.0769951,,,CO,,false,true,false,openstreetmap
Baker Field,baseball,pitch,39.2457515,-106.2987389,,,CO,,false,true,false,openstreetmap
Ballfield 1,baseball,pitch,39.5979504,-104.9590932,,,CO,,false,true,false,openstreetmap
Ballfield 2,baseball,pitch,39.5995692,-104.9587163,,,CO,,false,true,false,openstreetmap
Ballfield 3,baseball,pitch,39.599093,-104.9595102,,,CO,,false,true,false,openstreetmap
Ballfield 4,baseball,pitch,39.5999825,-104.9602226,,,CO,,false,true,false,openstreetmap
Ballfield 5,baseball,pitch,39.5998486,-104.9592002,,,CO,,false,true,false,openstreetmap
Ballfield 6,baseball,pitch,39.6008918,-104.9597205,,,CO,,false,true,false,openstreetmap
Ballfield 7,baseball,pitch,39.6006703,-104.9613877,,,CO,,false,true,false,openstreetmap
Barnum Field No. 3,baseball,pitch,39.7245342,-105.0241074,,,CO,,false,true,false,openstreetmap
Baseball BB1,baseball,pitch,39.7804553,-105.0076353,,,CO,,false,true,false,openstreetmap
Baseball Field,baseball,pitch,39.3675369,-104.6040542,,,CO,,false,true,false,openstreetmap
Baseball Field,baseball,pitch,39.0672236,-104.8434278,,,CO,,false,true,false,openstreetmap
Baseball Field,baseball,pitch,40.4272476,-104.7964982,,,CO,,false,true,false,openstreetmap
Baseball/Softball (Infield),baseball,pitch,39.732495,-105.1326755,,,CO,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,40.3886649,-105.0750141,,,CO,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,39.5937907,-104.6816973,,,CO,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,39.5942953,-104.68427,,,CO,,false,true,false,openstreetmap
Batting Cages,baseball,sports_centre,39.6957766,-105.0762581,,,CO,,false,true,false,openstreetmap
Batting Cages,baseball,pitch,39.7179902,-104.8451036,,,CO,,false,true,false,openstreetmap
Bear Creek Field,baseball,pitch,37.9337436,-107.8070507,,,CO,,false,true,false,openstreetmap
Behn Family Field,baseball,pitch,39.4376889,-104.7588151,,,CO,,false,true,false,openstreetmap
Belleview Park Field,baseball,pitch,39.6253987,-105.000254,,,CO,,false,true,false,openstreetmap
Biff Warren Baseball Complex,baseball,sports_centre,40.1096768,-105.1961108,,,CO,,false,true,false,openstreetmap
Bohn Field,baseball,pitch,40.2184665,-105.268102,,,CO,,false,true,false,openstreetmap
Broadlands West Baseball Field,baseball,pitch,39.953451,-105.0515727,,,CO,,false,true,false,openstreetmap
Buchanan Park Fields,baseball,pitch,39.6859518,-105.3645837,,,CO,,false,true,false,openstreetmap
Capra Field,baseball,pitch,39.804957,-104.9198362,,,CO,,false,true,false,openstreetmap
Central High Field,baseball,pitch,38.2499419,-104.6224531,,,CO,,false,true,false,openstreetmap
Central Park - North End Baseball Field,baseball,pitch,39.8032202,-104.8740111,,,CO,,false,true,false,openstreetmap
Chatfield,baseball,pitch,39.586189,-105.1330278,,,CO,,false,true,false,openstreetmap
Chatfield,baseball,pitch,39.5859933,-105.1318035,,,CO,,false,true,false,openstreetmap
Cleo Mudrock East,baseball,pitch,39.9736605,-105.1381516,,,CO,,false,true,false,openstreetmap
Cleo Mudrock West,baseball,pitch,39.973645,-105.1395732,,,CO,,false,true,false,openstreetmap
Copper Mesa Baseball Diamond,baseball,pitch,39.5188906,-104.946632,,,CO,,false,true,false,openstreetmap
Cornerstone Batting Cages,baseball,pitch,39.6265212,-105.0051551,5098 South Windermere Street,,CO,80110,false,true,false,openstreetmap
Coronado Baseball Diamond,baseball,pitch,39.5720405,-105.0893116,,,CO,,false,true,false,openstreetmap
Creede Ball Field,baseball,pitch,37.844578,-106.9246481,,,CO,,false,true,false,openstreetmap
Crestmoor Park,baseball,pitch,39.7136814,-104.9169577,,,CO,,false,true,false,openstreetmap
Crestmoor Park,baseball,pitch,39.7142377,-104.9169719,,,CO,,false,true,false,openstreetmap
Crow Valley Ballfield,baseball,pitch,40.6447322,-104.3392503,,,CO,,false,true,false,openstreetmap
Dacono Softball,baseball,pitch,40.0801563,-104.9326978,,,CO,,false,true,false,openstreetmap
Dante Bichette Ball Field,baseball,pitch,39.6039141,-105.1065671,,,CO,,false,true,false,openstreetmap
Double Angel Batting Cages,baseball,sports_centre,39.4985355,-104.813028,,,CO,,false,true,false,openstreetmap
Dry Creek Elementary Baseball Field,baseball,pitch,39.5810296,-104.8984407,,,CO,,false,true,false,openstreetmap
E1,baseball,pitch,39.6071536,-105.1451136,,,CO,,false,true,false,openstreetmap
E2,baseball,pitch,39.6060167,-105.1450484,,,CO,,false,true,false,openstreetmap
E3,baseball,pitch,39.605937,-105.1463815,,,CO,,false,true,false,openstreetmap
Evergreen Highlands Baseball/Softball Field,baseball,pitch,39.5935431,-105.2816604,,,CO,,false,true,false,openstreetmap
Falcon Field,baseball,pitch,39.0160938,-104.8875834,,,CO,,false,true,false,openstreetmap
Field 1,baseball,pitch,39.9824639,-105.1259113,,,CO,,false,true,false,openstreetmap
Field 1,baseball,pitch,39.71883,-104.8896409,,,CO,,false,true,false,openstreetmap
Field 2,baseball,pitch,39.9813053,-105.1259103,,,CO,,false,true,false,openstreetmap
Field 2,baseball,pitch,39.7198612,-104.8888556,,,CO,,false,true,false,openstreetmap
Field 3,baseball,pitch,39.981302,-105.1245168,,,CO,,false,true,false,openstreetmap
Field 3,baseball,pitch,39.7184296,-104.8911458,,,CO,,false,true,false,openstreetmap
Field 4,baseball,pitch,39.9825061,-105.1244722,,,CO,,false,true,false,openstreetmap
Fishhack Field,baseball,pitch,39.7303478,-104.9579633,,,CO,,false,true,false,openstreetmap
Forbes Field,baseball,pitch,40.4257631,-104.7138924,,,CO,,false,true,false,openstreetmap
Francis Warner Field,baseball,pitch,37.9347169,-107.8068032,,,CO,,false,true,false,openstreetmap
Garland Baseball (No. 2),baseball,pitch,39.6957694,-104.9162248,,,CO,,false,true,false,openstreetmap
Garland Softball (No. 1),baseball,pitch,39.6946784,-104.9159556,,,CO,,false,true,false,openstreetmap
Heritage Park,baseball,pitch,39.9659057,-105.1509169,,,CO,,false,true,false,openstreetmap
Highland Hills Sports Complex,baseball,sports_centre,39.8536905,-105.0120427,,,CO,,false,true,false,openstreetmap
Ingram Field,baseball,pitch,39.8048543,-104.9167301,,,CO,,false,true,false,openstreetmap
Iris Fields,baseball,pitch,40.0372988,-105.2785894,,,CO,,false,true,false,openstreetmap
Jackson Field,baseball,pitch,40.4091873,-104.6864646,,,CO,,false,true,false,openstreetmap
Jim Clapper Field,baseball,pitch,39.9043066,-105.0760965,,,CO,,false,true,false,openstreetmap
Jim Darden Baseball Field,baseball,pitch,39.7519273,-105.2307541,,,CO,,false,true,false,openstreetmap
Junior Varsity Baseball Field,baseball,pitch,39.5993466,-104.7973675,,,CO,,false,true,false,openstreetmap
Keli McGregor Field,baseball,pitch,39.712213,-105.0616325,,,CO,,false,true,false,openstreetmap
Klumker Field,baseball,pitch,40.4840339,-106.8368072,,,CO,,false,true,false,openstreetmap
Leitner Field,baseball,pitch,39.2466244,-106.2975385,,,CO,,false,true,false,openstreetmap
Levinson Field,baseball,pitch,39.0719416,-108.6116505,,,CO,,false,true,false,openstreetmap
Limon Municipal Baseball Field,baseball,pitch,39.2661526,-103.6786777,,,CO,,false,true,false,openstreetmap
Lisbon Park baseball field,baseball,pitch,39.7736898,-104.7465533,,,CO,,false,true,false,openstreetmap
Minton Ballfield,baseball,pitch,39.7567004,-105.6838542,,,CO,,false,true,false,openstreetmap
Montrose Highschool Baseball Field,baseball,pitch,38.4721605,-107.8715256,,,CO,,false,true,false,openstreetmap
Moore Field,baseball,pitch,39.8048633,-104.9213595,,,CO,,false,true,false,openstreetmap
Mustang Field,baseball,pitch,38.8586289,-104.8903653,,,CO,,false,true,false,openstreetmap
North End Baseball Field,baseball,pitch,38.8590881,-104.8309855,,,CO,,false,true,false,openstreetmap
North High School Baseball Field,baseball,pitch,39.7590341,-105.0201331,,,CO,,false,true,false,openstreetmap
North Rotary Field,baseball,pitch,37.3545873,-108.5669445,540 Roger Smith Avenue,,CO,,false,true,false,openstreetmap
Pioneer Park Field 1,baseball,pitch,39.8450821,-105.1331481,,,CO,,false,true,false,openstreetmap
