name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
A,baseball,pitch,34.0271032,-83.3840928,,,GA,,false,true,false,openstreetmap
A-Ball Field,baseball,pitch,32.544046,-84.8555342,,,GA,,false,true,false,openstreetmap
A.B. Weathersby Field,baseball,pitch,33.9489793,-83.3913246,,,GA,,false,true,false,openstreetmap
AA Field,baseball,pitch,33.8353697,-84.3721626,,,GA,,false,true,false,openstreetmap
AAA Field,baseball,pitch,33.8352207,-84.3730405,,,GA,,false,true,false,openstreetmap
AB1,baseball,pitch,33.863178,-84.2151292,,,GA,,false,true,false,openstreetmap
AB2,baseball,pitch,33.8623628,-84.216381,,,GA,,false,true,false,openstreetmap
Acworth Sports Complex,baseball,pitch,34.049566,-84.662329,,,GA,,false,true,false,openstreetmap
All Tournament Players Park,baseball,pitch,34.0450706,-84.5276434,,,GA,,false,true,false,openstreetmap
All Tournament Players Park,baseball,pitch,34.0457003,-84.5273562,,,GA,,false,true,false,openstreetmap
Anderson Field,baseball,pitch,33.8734165,-84.3324181,,,GA,,false,true,false,openstreetmap
B,baseball,pitch,34.0268254,-83.3857625,,,GA,,false,true,false,openstreetmap
B-Ball Field,baseball,pitch,32.5440244,-84.8565242,,,GA,,false,true,false,openstreetmap
Babe Ruth Field,baseball,pitch,32.5452834,-84.855986,,,GA,,false,true,false,openstreetmap
Bailey Softball Park,baseball,pitch,34.0348484,-84.5820335,230 Kennesaw State University Road,,GA,,false,true,false,openstreetmap
Ball Field,baseball,pitch,33.5298164,-84.9251733,,,GA,,false,true,false,openstreetmap
Baseball Complex,baseball,sports_centre,32.9851264,-82.7910775,,,GA,,false,true,false,openstreetmap
Baseball Diamond,baseball,pitch,30.9748308,-83.2134181,,,GA,,false,true,false,openstreetmap
Baseball Diamond,baseball,pitch,30.9599679,-83.2625091,,,GA,,false,true,false,openstreetmap
Baseball Diamond,baseball,pitch,30.9596188,-83.2633659,,,GA,,false,true,false,openstreetmap
Baseball Diamond 1,baseball,pitch,34.1358916,-84.1398637,,,GA,,false,true,false,openstreetmap
