name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
1,baseball,pitch,41.7047093,-88.1994761,,,IL,,false,true,false,openstreetmap
1,baseball,pitch,41.9679917,-87.646653,,,IL,,false,true,false,openstreetmap
1,baseball,pitch,41.6777761,-88.2224598,,,IL,,false,true,false,openstreetmap
1,baseball,pitch,41.9628719,-87.64869,,,IL,,false,true,false,openstreetmap
1,baseball,pitch,42.0077907,-87.780884,,,IL,,false,true,false,openstreetmap
1,baseball,pitch,40.8062126,-89.5677098,,,IL,,false,true,false,openstreetmap
1 | Ball Field,baseball,pitch,37.7337252,-88.5293484,,,IL,,false,true,false,openstreetmap
2,baseball,pitch,41.703642,-88.1994667,,,IL,,false,true,false,openstreetmap
2,baseball,pitch,41.9674289,-87.6466948,,,IL,,false,true,false,openstreetmap
2,baseball,pitch,41.9628807,-87.6480789,,,IL,,false,true,false,openstreetmap
2,baseball,pitch,41.7678212,-89.6853007,,,IL,,false,true,false,openstreetmap
2,baseball,pitch,41.4388096,-90.1451209,,,IL,,false,true,false,openstreetmap
2,baseball,pitch,41.6779983,-88.2205341,,,IL,,false,true,false,openstreetmap
2,baseball,pitch,40.806796,-89.5677262,,,IL,,false,true,false,openstreetmap
2 | Ball Field,baseball,pitch,37.7341482,-88.5284932,,,IL,,false,true,false,openstreetmap
3,baseball,pitch,41.703631,-88.2008922,,,IL,,false,true,false,openstreetmap
3,baseball,pitch,41.9690084,-87.6461994,,,IL,,false,true,false,openstreetmap
3,baseball,pitch,41.9636305,-87.6485115,,,IL,,false,true,false,openstreetmap
3,baseball,pitch,41.4382857,-90.1448635,,,IL,,false,true,false,openstreetmap
3,baseball,pitch,42.0072796,-87.780156,,,IL,,false,true,false,openstreetmap
3,baseball,pitch,41.7857296,-87.7631474,,,IL,,false,true,false,openstreetmap
3,baseball,pitch,41.6775035,-88.2163844,,,IL,,false,true,false,openstreetmap
3 | Ball Field,baseball,pitch,37.7341395,-88.5277055,,,IL,,false,true,false,openstreetmap
4,baseball,pitch,41.7046982,-88.2008896,,,IL,,false,true,false,openstreetmap
4,baseball,pitch,41.9684053,-87.6458157,,,IL,,false,true,false,openstreetmap
4,baseball,pitch,41.9643421,-87.6489699,,,IL,,false,true,false,openstreetmap
4,baseball,pitch,42.0065929,-87.78012,,,IL,,false,true,false,openstreetmap
4,baseball,pitch,41.4382992,-90.1454669,,,IL,,false,true,false,openstreetmap
4,baseball,pitch,40.8081729,-89.5676234,,,IL,,false,true,false,openstreetmap
4 | Ball Field,baseball,pitch,37.7339985,-88.5269414,,,IL,,false,true,false,openstreetmap
5,baseball,pitch,41.9680039,-87.6454803,,,IL,,false,true,false,openstreetmap
5,baseball,pitch,41.703704,-88.2023043,,,IL,,false,true,false,openstreetmap
5,baseball,pitch,40.8082939,-89.5663484,,,IL,,false,true,false,openstreetmap
5 | Tee-Ball Field,baseball,pitch,37.7334487,-88.5265269,,,IL,,false,true,false,openstreetmap
6,baseball,pitch,41.704476,-88.2023179,,,IL,,false,true,false,openstreetmap
6,baseball,pitch,40.8074448,-89.5662419,,,IL,,false,true,false,openstreetmap
7,baseball,pitch,41.7063563,-88.2025995,,,IL,,false,true,false,openstreetmap
8,baseball,pitch,41.7063573,-88.2015642,,,IL,,false,true,false,openstreetmap
A,baseball,pitch,38.9468113,-90.198367,,,IL,,false,true,false,openstreetmap
A,baseball,pitch,41.7347077,-88.3883121,,,IL,,false,true,false,openstreetmap
AL Field,baseball,pitch,42.2320202,-88.3421,,,IL,,false,true,false,openstreetmap
Abe Martin Field,baseball,pitch,37.7044935,-89.2208948,,,IL,,false,true,false,openstreetmap
Aberdeen Park,baseball,pitch,42.3263898,-88.9135707,,,IL,,false,true,false,openstreetmap
Al Grosche Field,baseball,pitch,42.385749,-87.8291727,,,IL,,false,true,false,openstreetmap
Alfred D. Boyer Stadium,baseball,stadium,40.4729939,-90.6865811,,,IL,,false,true,false,openstreetmap
Alpiner Park,baseball,park,41.1206241,-87.8746322,,,IL,,false,true,false,openstreetmap
Alumni Field,baseball,pitch,41.7686883,-88.1441767,,,IL,,false,true,false,openstreetmap
Americal Legion Field,baseball,pitch,41.8151799,-88.0156831,,,IL,,false,true,false,openstreetmap
Andrews Field,baseball,pitch,41.7740323,-88.2956876,,,IL,,false,true,false,openstreetmap
B,baseball,pitch,38.9467101,-90.1968971,,,IL,,false,true,false,openstreetmap
B,baseball,pitch,41.7356906,-88.3891478,,,IL,,false,true,false,openstreetmap
Ball Field #2,baseball,pitch,37.8147561,-89.2374032,,,IL,,false,true,false,openstreetmap
Barrett Rochman Field,baseball,pitch,37.7162022,-89.2129694,,,IL,,false,true,false,openstreetmap
Baseball,baseball,pitch,39.0006924,-90.5155206,,,IL,,false,true,false,openstreetmap
Baseball Backstop,baseball,pitch,42.310963,-89.0232371,,,IL,,false,true,false,openstreetmap
Baseball Diamond,baseball,pitch,39.2752145,-89.8708645,,,IL,,false,true,false,openstreetmap
Baseball Fields,baseball,pitch,42.3766768,-88.2737895,,,IL,,false,true,false,openstreetmap
Baseball diamond,baseball,pitch,41.9749798,-88.1879547,,,IL,,false,true,false,openstreetmap
Baseball diamond,baseball,pitch,41.9742271,-88.1879883,,,IL,,false,true,false,openstreetmap
Baseball/Softball Field,baseball,pitch,40.8860231,-87.6130417,,,IL,,false,true,false,openstreetmap
Batting Cage,baseball,sports_centre,42.0904566,-88.8439682,,,IL,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,41.8282221,-88.2115822,,,IL,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,40.4571947,-87.6639364,,,IL,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,39.4875567,-88.1667291,,,IL,,false,true,false,openstreetmap
Batting Cages,baseball,pitch,37.7055501,-89.2211639,,,IL,,false,true,false,openstreetmap
Batting Cages,baseball,pitch,41.9150924,-87.9535956,,,IL,,false,true,false,openstreetmap
Batting Cages,baseball,pitch,39.9499211,-91.3497435,,,IL,,false,true,false,openstreetmap
Batting Cages,baseball,pitch,41.9011743,-88.2703043,,,IL,,false,true,false,openstreetmap
Bernard Dolan Field,baseball,pitch,41.7743552,-88.2951938,,,IL,,false,true,false,openstreetmap
Big Ball Park,baseball,pitch,41.8339903,-87.8154938,,,IL,,false,true,false,openstreetmap
Bill Schulz Field,baseball,pitch,40.7059663,-89.2761101,,,IL,,false,true,false,openstreetmap
Blemler Field,baseball,pitch,40.5213723,-88.9985555,,,IL,,false,true,false,openstreetmap
Blodgett Field,baseball,pitch,40.9419511,-90.3689054,,,IL,,false,true,false,openstreetmap
Borden Field,baseball,pitch,41.845865,-89.4994758,,,IL,,false,true,false,openstreetmap
Bradford Baseball field,baseball,pitch,41.1794459,-89.659418,,,IL,,false,true,false,openstreetmap
Bradley Knights Baseball Field,baseball,pitch,41.1383412,-87.8547002,,,IL,,false,true,false,openstreetmap
Brennan Field,baseball,pitch,41.6044882,-88.0767406,,,IL,,false,true,false,openstreetmap
Bronco,baseball,pitch,42.0680999,-87.8646938,,,IL,,false,true,false,openstreetmap
Brown County Little League,baseball,pitch,39.9908844,-90.772631,,,IL,,false,true,false,openstreetmap
Brussels Boy's Baseball Field,baseball,pitch,38.948325,-90.5879766,,,IL,,false,true,false,openstreetmap
Bryant Field,baseball,pitch,38.5015887,-90.2120598,,,IL,,false,true,false,openstreetmap
C,baseball,pitch,38.9460932,-90.1966738,,,IL,,false,true,false,openstreetmap
C,baseball,pitch,41.7362642,-88.3883373,,,IL,,false,true,false,openstreetmap
CHS Baseball Field,baseball,pitch,39.487103,-88.1661115,,,IL,,false,true,false,openstreetmap
CLC baseball field,baseball,pitch,37.8209164,-89.029521,,,IL,,false,true,false,openstreetmap
CNB Bank & Trust Field,baseball,pitch,39.2716178,-89.8916461,,,IL,,false,true,false,openstreetmap
COD Baseball Field,baseball,pitch,41.8395167,-88.0662612,,,IL,,false,true,false,openstreetmap
COD Softball Field,baseball,pitch,41.8407696,-88.0664811,,,IL,,false,true,false,openstreetmap
Cahokia Park Baseball Diamond,baseball,pitch,38.5582716,-90.1758124,,,IL,,false,true,false,openstreetmap
Calvin Fries Field,baseball,pitch,38.4472721,-90.1984916,,,IL,,false,true,false,openstreetmap
Carl L. Nierstheimer Legion Baseball Field,baseball,pitch,40.4872062,-89.0129345,,,IL,,false,true,false,openstreetmap
Carl William Stern - Memorial Field,baseball,pitch,37.8147201,-89.2389759,,,IL,,false,true,false,openstreetmap
Cary-Grove Field 1,baseball,pitch,42.2214742,-88.2440862,,,IL,,false,true,false,openstreetmap
Cary-Grove Field 2,baseball,pitch,42.2224992,-88.2437321,,,IL,,false,true,false,openstreetmap
Centennial Park Baseball Field,baseball,pitch,41.7711231,-88.1597372,,,IL,,false,true,false,openstreetmap
Children's Home Baseball Diamond,baseball,pitch,38.3263442,-88.9195529,,,IL,,false,true,false,openstreetmap
Cisco Field,baseball,pitch,39.2715048,-89.8900886,,,IL,,false,true,false,openstreetmap
Clarence Hicks Baseball Field,baseball,pitch,42.2439974,-89.1279749,,,IL,,false,true,false,openstreetmap
Claude Kracik Baseball Field,baseball,pitch,39.7227223,-89.6086497,,,IL,,false,true,false,openstreetmap
Coal CIty High Park,baseball,pitch,41.2844839,-88.3036199,,,IL,,false,true,false,openstreetmap
Colt,baseball,pitch,42.0692728,-87.8649969,,,IL,,false,true,false,openstreetmap
Cornjerkers Baseball Field,baseball,pitch,40.4566224,-87.664259,,,IL,,false,true,false,openstreetmap
Cornjerkers Softball Field,baseball,pitch,40.4565808,-87.6615124,,,IL,,false,true,false,openstreetmap
Covell Ball Park,baseball,pitch,40.4407437,-89.1069272,,,IL,,false,true,false,openstreetmap
Crowley East,baseball,pitch,42.0677197,-87.8330231,,,IL,,false,true,false,openstreetmap
Crowley Pinto,baseball,pitch,42.0682835,-87.8338918,,,IL,,false,true,false,openstreetmap
Crowley West,baseball,pitch,42.0677592,-87.8340543,,,IL,,false,true,false,openstreetmap
D,baseball,pitch,38.9459304,-90.1974656,,,IL,,false,true,false,openstreetmap
