name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
Allen Field,baseball,pitch,38.6618845,-87.1731611,,,IN,,false,true,false,openstreetmap
American Legion baseball field,baseball,pitch,38.7370741,-86.4736377,,,IN,,false,true,false,openstreetmap
Argel Field,baseball,park,40.6063327,-86.8724433,,,IN,,false,true,false,openstreetmap
Art Nehf Field,baseball,pitch,39.4803249,-87.3309351,,,IN,,false,true,false,openstreetmap
Baseball Field,baseball,pitch,41.420369,-87.5122908,,,IN,,false,true,false,openstreetmap
Baseball Field #1,baseball,pitch,41.0505105,-86.5967434,,,IN,,false,true,false,openstreetmap
Baseball Field #2,baseball,pitch,41.0512015,-86.5967424,,,IN,,false,true,false,openstreetmap
Baseball Field #3,baseball,pitch,41.0513357,-86.5978119,,,IN,,false,true,false,openstreetmap
Baseball Field #4,baseball,pitch,41.050513,-86.5980514,,,IN,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,38.2216763,-86.1225696,,,IN,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,38.2216246,-86.1225711,,,IN,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,38.3247748,-86.1427154,,,IN,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,38.3247764,-86.1427668,,,IN,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,38.3239105,-86.1460918,,,IN,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,38.357044,-85.8181156,,,IN,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,38.4573889,-85.6664574,,,IN,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,40.2756775,-87.2491368,,,IN,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,40.1510571,-87.3926892,,,IN,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,39.6905424,-87.4136388,,,IN,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,41.0421547,-86.5955246,,,IN,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,41.2224407,-86.4265127,,,IN,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,41.2214112,-86.4271762,,,IN,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,40.8721788,-86.8760525,,,IN,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,40.9375021,-87.1368149,,,IN,,false,true,false,openstreetmap
Batting Cages,baseball,pitch,39.0494346,-85.2481981,,,IN,,false,true,false,openstreetmap
Batting Cages,baseball,pitch,41.5414437,-87.4495238,,,IN,,false,true,false,openstreetmap
Batting Cages,baseball,pitch,41.1652631,-85.4700955,,,IN,,false,true,false,openstreetmap
Batting Cages,baseball,pitch,38.9974357,-85.6442963,,,IN,,false,true,false,openstreetmap
Batting Cages,baseball,pitch,38.1981157,-86.1198352,,,IN,,false,true,false,openstreetmap
Batting Cages,baseball,pitch,41.0116506,-85.757238,,,IN,,false,true,false,openstreetmap
Batting cages,baseball,pitch,41.5721449,-87.4990221,,,IN,,false,true,false,openstreetmap
Beckley Field,baseball,pitch,40.6599983,-86.2382691,,,IN,,false,true,false,openstreetmap
Bellmont Baseball Diamond,baseball,pitch,40.8356542,-84.9129924,,,IN,,false,true,false,openstreetmap
Bellmont Baseball Diamond,baseball,pitch,40.8363305,-84.9125755,,,IN,,false,true,false,openstreetmap
Bellmont Baseball Field,baseball,pitch,40.8334789,-84.9135925,,,IN,,false,true,false,openstreetmap
Bellmont Middle School Baseball Field,baseball,pitch,40.8340166,-84.9063794,,,IN,,false,true,false,openstreetmap
Ben Davis Giants,baseball,pitch,39.7826546,-86.2947525,,,IN,,false,true,false,openstreetmap
Blake Schmaltz Field,baseball,pitch,40.8682331,-86.4984011,,,IN,,false,true,false,openstreetmap
Block Field,baseball,pitch,41.6328825,-87.4509326,,,IN,,false,true,false,openstreetmap
Blue Devils Baseball Diamond,baseball,pitch,40.2731404,-86.0380048,,,IN,,false,true,false,openstreetmap
Bob Friend Field,baseball,pitch,40.4631416,-86.9087011,,,IN,,false,true,false,openstreetmap
Bob Warn Field,baseball,pitch,39.4790116,-87.4159094,,,IN,,false,true,false,openstreetmap
Bosse Field,baseball,stadium,37.9928769,-87.5621301,,,IN,,false,true,false,openstreetmap
Boys Minors Field,baseball,pitch,41.6231121,-86.245711,,,IN,,false,true,false,openstreetmap
Boys Pee Wee Field,baseball,pitch,41.6235428,-86.2456282,,,IN,,false,true,false,openstreetmap
Bremen High School Varsity Baseball Field,baseball,pitch,41.4394674,-86.1577315,,,IN,,false,true,false,openstreetmap
Brittlebank Fields,baseball,pitch,37.9334663,-87.9139,,,IN,,false,true,false,openstreetmap
Carlisle City Baseball Diamond,baseball,pitch,38.9597306,-87.3971112,,,IN,,false,true,false,openstreetmap
Chapel Hill Giants Baseball,baseball,pitch,39.7817931,-86.2962012,,,IN,,false,true,false,openstreetmap
Chesterton Senior High School Baseball Field,baseball,pitch,41.5924611,-87.0628866,,,IN,,false,true,false,openstreetmap
Chesterton Senior High School Baseball Field,baseball,pitch,41.5912882,-87.06289,,,IN,,false,true,false,openstreetmap
Clark Field,baseball,pitch,40.7501776,-86.3858315,,,IN,,false,true,false,openstreetmap
Columbia City Eagles Baseball,baseball,pitch,41.1413374,-85.4841917,,,IN,,false,true,false,openstreetmap
Community Field,baseball,pitch,40.4636977,-86.9069344,,,IN,,false,true,false,openstreetmap
Costello Field,baseball,pitch,38.6764776,-86.9199398,,,IN,,false,true,false,openstreetmap
Covington HS Baseball Field,baseball,pitch,40.1506821,-87.3921306,,,IN,,false,true,false,openstreetmap
Crain Field,baseball,pitch,40.7410889,-86.3737585,,,IN,,false,true,false,openstreetmap
Cris Rood Baseball Diamond,baseball,pitch,40.8076056,-85.8282847,,,IN,,false,true,false,openstreetmap
Darrell E. Scott Field,baseball,pitch,39.0558115,-85.2494882,,,IN,,false,true,false,openstreetmap
Diamond 1,baseball,pitch,41.5754598,-85.8378001,,,IN,,false,true,false,openstreetmap
Diamond 2,baseball,pitch,41.5762266,-85.8409433,,,IN,,false,true,false,openstreetmap
Diamond 3,baseball,pitch,41.5773004,-85.8390814,,,IN,,false,true,false,openstreetmap
Edgewood Athletic Association,baseball,pitch,39.6771009,-86.1454901,,,IN,,false,true,false,openstreetmap
Elmhurst Little League,baseball,sports_centre,41.0301643,-85.1781553,,,IN,,false,true,false,openstreetmap
Emory Bauer Field,baseball,pitch,41.4607236,-87.0324126,,,IN,,false,true,false,openstreetmap
Ermil Clark Field,baseball,pitch,39.2348429,-86.6378779,,,IN,,false,true,false,openstreetmap
Field 1,baseball,pitch,39.616273,-86.5258223,,,IN,,false,true,false,openstreetmap
Field 1,baseball,pitch,41.4176588,-87.3518697,,,IN,,false,true,false,openstreetmap
Field 10,baseball,pitch,41.4139129,-87.3456108,,,IN,,false,true,false,openstreetmap
Field 2,baseball,pitch,41.4188504,-87.3518499,,,IN,,false,true,false,openstreetmap
Field 3,baseball,pitch,41.4188365,-87.3502702,,,IN,,false,true,false,openstreetmap
Field 4,baseball,pitch,41.4152307,-87.3469226,,,IN,,false,true,false,openstreetmap
Field 5,baseball,pitch,41.4162935,-87.3468793,,,IN,,false,true,false,openstreetmap
Field 6,baseball,pitch,41.4173438,-87.3461207,,,IN,,false,true,false,openstreetmap
Field 6,baseball,pitch,39.2878743,-85.2115525,,,IN,,false,true,false,openstreetmap
Field 7,baseball,pitch,41.4164577,-87.3456121,,,IN,,false,true,false,openstreetmap
Field 7,baseball,pitch,39.2878734,-85.2105345,,,IN,,false,true,false,openstreetmap
Field 8,baseball,pitch,41.4156388,-87.3456107,,,IN,,false,true,false,openstreetmap
