name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
Baseball,baseball,pitch,39.0294089,-84.6397525,,,KY,,false,true,false,openstreetmap
Baseball Diamond,baseball,pitch,38.548553,-82.7339195,,,KY,,false,true,false,openstreetmap
Baseball Field,baseball,pitch,37.1602041,-87.6986161,,,KY,,false,true,false,openstreetmap
Baseball play area,baseball,pitch,37.1167334,-87.8800848,,,KY,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,38.2511345,-85.5396028,,,KY,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,38.2567072,-85.7641197,,,KY,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,38.6290838,-82.868934,,,KY,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,38.2252564,-85.2191361,,,KY,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,38.2227236,-85.2190959,,,KY,,false,true,false,openstreetmap
Batting Cages,baseball,pitch,37.0404618,-86.3520531,,,KY,,false,true,false,openstreetmap
Batting cage,baseball,sports_centre,36.9895875,-85.0646893,,,KY,,false,true,false,openstreetmap
Bill Aker Baseball Complex at Aker Field,baseball,stadium,39.0285093,-84.4648292,,,KY,,false,true,false,openstreetmap
Blue Field,baseball,pitch,37.7624707,-87.1596294,,,KY,,false,true,false,openstreetmap
Briar Creek Softball Field A,baseball,pitch,36.7297144,-84.1640851,,,KY,,false,true,false,openstreetmap
Briar Creek Softball Field B,baseball,pitch,36.7296894,-84.1628162,,,KY,,false,true,false,openstreetmap
Brooks Stadium,baseball,pitch,37.068118,-88.617043,,,KY,,false,true,false,openstreetmap
Bryson's BaseBall Field ,baseball,pitch,38.6802458,-82.9658048,,,KY,,false,true,false,openstreetmap
Bullitt East Baseball Field,baseball,pitch,38.0566225,-85.5335783,,,KY,,false,true,false,openstreetmap
Bullpen,baseball,pitch,36.9270487,-86.4167858,,,KY,,false,true,false,openstreetmap
Bullpen,baseball,pitch,36.9271396,-86.4154262,,,KY,,false,true,false,openstreetmap
CP-1,baseball,pitch,38.4731052,-82.6355034,,,KY,,false,true,false,openstreetmap
Commodore Field,baseball,pitch,37.2821263,-83.2103644,,,KY,,false,true,false,openstreetmap
Delver Baseball Field,baseball,pitch,37.5769606,-83.7181472,,,KY,,false,true,false,openstreetmap
Dixie Heights Baseball Field,baseball,pitch,39.022768,-84.5890931,,,KY,,false,true,false,openstreetmap
Don Hardin Legion Field,baseball,pitch,38.184994,-83.4270746,,,KY,,false,true,false,openstreetmap
FCHS Baseball Stadium,baseball,stadium,38.4229462,-83.7615732,,,KY,,false,true,false,openstreetmap
Field #1,baseball,pitch,38.1899426,-84.564955,,,KY,,false,true,false,openstreetmap
Field #2,baseball,pitch,38.1900724,-84.5640068,,,KY,,false,true,false,openstreetmap
Field #3,baseball,pitch,38.1891637,-84.5643211,,,KY,,false,true,false,openstreetmap
Field #4,baseball,pitch,38.1887529,-84.5653253,,,KY,,false,true,false,openstreetmap
Field #5,baseball,pitch,38.1882865,-84.5664352,,,KY,,false,true,false,openstreetmap
Field 1,baseball,pitch,38.2514286,-85.5416375,,,KY,,false,true,false,openstreetmap
Field 2,baseball,pitch,38.2505934,-85.5410776,,,KY,,false,true,false,openstreetmap
Field 3,baseball,pitch,38.2507396,-85.5398089,,,KY,,false,true,false,openstreetmap
Field 4,baseball,pitch,38.2514391,-85.5398914,,,KY,,false,true,false,openstreetmap
Field 7 Veterans Park,baseball,pitch,38.1924693,-85.5575001,,,KY,,false,true,false,openstreetmap
Field 8 Veterans Park,baseball,pitch,38.1914905,-85.5573778,,,KY,,false,true,false,openstreetmap
Field A1 - Jo. Bell Field,baseball,pitch,37.5611438,-85.247448,,,KY,,false,true,false,openstreetmap
Field A2,baseball,pitch,37.5615019,-85.247783,,,KY,,false,true,false,openstreetmap
Field A3,baseball,pitch,37.5596689,-85.2486031,,,KY,,false,true,false,openstreetmap
Field One,baseball,pitch,37.279851,-83.2092484,,,KY,,false,true,false,openstreetmap
Field Three,baseball,pitch,37.2813412,-83.2099578,,,KY,,false,true,false,openstreetmap
Field Two,baseball,pitch,37.2805697,-83.2097305,,,KY,,false,true,false,openstreetmap
Florence Lions Club,baseball,pitch,38.9784032,-84.6401604,,,KY,,false,true,false,openstreetmap
Florence Y'alls,baseball,pitch,38.9826403,-84.6384881,,,KY,,false,true,false,openstreetmap
Friendship Field,baseball,pitch,39.028421,-84.4646971,,,KY,,false,true,false,openstreetmap
GCHS Baseball Field,baseball,pitch,38.6286959,-82.8694261,,,KY,,false,true,false,openstreetmap
Gertrude Hood Field,baseball,pitch,37.7360074,-84.2929559,,,KY,,false,true,false,openstreetmap
Green Field,baseball,pitch,37.7615683,-87.1592909,,,KY,,false,true,false,openstreetmap
Greg Shelton Field,baseball,pitch,36.7170747,-86.5849376,,,KY,,false,true,false,openstreetmap
Hall Field,baseball,pitch,38.0502429,-84.4924881,,,KY,,false,true,false,openstreetmap
Harold J. Stahl Field,baseball,pitch,36.9626598,-86.4385559,,,KY,,false,true,false,openstreetmap
JP Kouns Field,baseball,pitch,38.3241752,-82.9320364,,,KY,,false,true,false,openstreetmap
Jackson County Highschool Baseball Field,baseball,pitch,37.4393881,-83.9845229,,,KY,,false,true,false,openstreetmap
Johnnie LeMaster Baseball Field,baseball,pitch,37.4745782,-82.521152,,,KY,,false,true,false,openstreetmap
Kirkland Baseball pitch,baseball,pitch,37.8656482,-84.6694916,,,KY,,false,true,false,openstreetmap
LHS Softball Field,baseball,pitch,38.0268541,-84.5245112,,,KY,,false,true,false,openstreetmap
LaRue County Baseball Field,baseball,pitch,37.5528805,-85.7322569,,,KY,,false,true,false,openstreetmap
LaRue County Softball,baseball,pitch,37.5546509,-85.7295878,,,KY,,false,true,false,openstreetmap
Legends Baseball Field,baseball,pitch,38.0657519,-84.4783174,,,KY,,false,true,false,openstreetmap
Little League Field #1,baseball,pitch,38.1836434,-83.4282953,,,KY,,false,true,false,openstreetmap
Lohaus Field,baseball,pitch,36.5111111,-88.8771067,,,KY,,false,true,false,openstreetmap
Madison Middle Baseball Diamond,baseball,pitch,37.7444267,-84.2954156,,,KY,,false,true,false,openstreetmap
Marshall County Baseball Field,baseball,pitch,36.9133122,-88.3360802,,,KY,,false,true,false,openstreetmap
Martin Park,baseball,sports_centre,37.5809165,-82.7485334,,,KY,,false,true,false,openstreetmap
Mason County Royals Baseball Field,baseball,stadium,38.633073,-83.7867542,,,KY,,false,true,false,openstreetmap
Matthew K. Ballard Athletic Fields,baseball,pitch,38.1839173,-83.4269613,,,KY,,false,true,false,openstreetmap
Morgan Field,baseball,pitch,38.2408587,-84.564555,,,KY,,false,true,false,openstreetmap
New Hope Baseball,baseball,pitch,37.624511,-85.5079963,,,KY,,false,true,false,openstreetmap
Oldham County High School Baseball Field,baseball,pitch,38.3899346,-85.4388761,,,KY,,false,true,false,openstreetmap
Owen Co9unty Park,baseball,pitch,38.5478897,-84.8336562,,,KY,,false,true,false,openstreetmap
Reagan Baseball Field,baseball,pitch,36.6231345,-88.3174149,,,KY,,false,true,false,openstreetmap
Red Field,baseball,pitch,37.7613012,-87.1604332,,,KY,,false,true,false,openstreetmap
Reese Baseball Field,baseball,pitch,37.5771321,-83.7202179,,,KY,,false,true,false,openstreetmap
Robert N. Wilson Field,baseball,pitch,38.2045023,-84.5466957,,,KY,,false,true,false,openstreetmap
Shelby Valley Baseball,baseball,sports_centre,37.3825354,-82.5387285,,,KY,,false,true,false,openstreetmap
Sheldon Clark Baseball Field,baseball,pitch,37.8609915,-82.5294482,,,KY,,false,true,false,openstreetmap
Shively Field at Cliff Hagan Stadium,baseball,stadium,38.0182777,-84.5024713,,,KY,,false,true,false,openstreetmap
Sim's Ball Park,baseball,pitch,37.8661141,-84.6564012,,,KY,,false,true,false,openstreetmap
Softball Field,baseball,pitch,37.6406387,-84.7806566,,,KY,,false,true,false,openstreetmap
Stan Spence Baseball Complex,baseball,sports_centre,38.7256962,-82.9618312,,,KY,,false,true,false,openstreetmap
T-ball Field,baseball,pitch,37.7491093,-83.0733399,,,KY,,false,true,false,openstreetmap
The Batting Cages,baseball,sports_centre,39.0201682,-84.5940687,3156 Dixie Highway,,KY,,false,true,false,openstreetmap
Thomas E. McDonough Intramural Fields,baseball,pitch,37.7374625,-84.2935695,,,KY,,false,true,false,openstreetmap
Ticket Window,baseball,pitch,38.2557831,-85.7441103,,,KY,,false,true,false,openstreetmap
Ticket Window,baseball,pitch,38.2559272,-85.7453254,,,KY,,false,true,false,openstreetmap
Ticket Window,baseball,pitch,38.2555845,-85.7448785,,,KY,,false,true,false,openstreetmap
Tigers Baseball Field,baseball,pitch,37.0980496,-87.883211,,,KY,,false,true,false,openstreetmap
Tom Berger Field,baseball,pitch,39.0675924,-84.533274,,,KY,,false,true,false,openstreetmap
Turkey Hughes Field,baseball,pitch,37.736272,-84.2999923,,,KY,,false,true,false,openstreetmap
UC Health Stadium,baseball,stadium,38.9825428,-84.6387549,,,KY,,false,true,false,openstreetmap
University of Kentucky,baseball,pitch,38.0181161,-84.5025562,,,KY,,false,true,false,openstreetmap
University of the Cumberlands Baseball Stadium,baseball,pitch,36.7356426,-84.1716369,,,KY,,false,true,false,openstreetmap
University of the Cumberlands Softball Stadium,baseball,pitch,36.7304409,-84.169888,,,KY,,false,true,false,openstreetmap
WEHS Baseball Field,baseball,pitch,37.0393519,-86.3403223,,,KY,,false,true,false,openstreetmap
WKU Softball,baseball,pitch,36.9803399,-86.4640389,,,KY,,false,true,false,openstreetmap
Wayne County School Baseball Field,baseball,pitch,36.8293148,-84.866353,,,KY,,false,true,false,openstreetmap
William A. Marquard Field,baseball,pitch,38.0781546,-84.4614302,,,KY,,false,true,false,openstreetmap
Williamsburg City Park Baseball Field Two,baseball,pitch,36.7376905,-84.1563422,,,KY,,false,true,false,openstreetmap
Williamsburg Little League Field,baseball,pitch,36.7379632,-84.1569731,,,KY,,false,true,false,openstreetmap
Yellow Field,baseball,pitch,37.7622081,-87.160775,,,KY,,false,true,false,openstreetmap
Youth Inc. Baseball Field,baseball,pitch,37.0980996,-87.8843963,,,KY,,false,true,false,openstreetmap
south eastern baseball field,baseball,pitch,37.9524818,-84.5034381,,,KY,,false,true,false,openstreetmap
south eastern baseball fields,baseball,sports_centre,37.9569279,-84.5047769,,,KY,,false,true,false,openstreetmap
south eastern baseball fields,baseball,pitch,37.9530337,-84.5048508,,,KY,,false,true,false,openstreetmap
Bowling Green Ballpark,baseball,stadium,36.9965634,-86.4411755,300 East 8th Avenue,Bowling Green,KY,42101,false,true,false,openstreetmap
Legends Field,baseball,stadium,38.0652533,-84.4785128,207 Legends Lane,Lexington,KY,,false,true,false,openstreetmap
Jim Patterson Stadium,baseball,stadium,38.2057396,-85.7624373,3015 South 2nd Street,Louisville,KY,40208,false,true,false,openstreetmap
Louisville Slugger Field,baseball,stadium,38.2564472,-85.7445288,401 East Main Street,Louisville,KY,40202,false,true,false,openstreetmap
Water Valley Baseball Field,baseball,pitch,36.567147,-88.8139739,199 School St,Water Valley,KY,42085,false,true,false,openstreetmap
