name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
10,baseball,pitch,30.4897763,-90.4048649,,,LA,,false,true,false,openstreetmap
11,baseball,pitch,30.4890922,-90.4039906,,,LA,,false,true,false,openstreetmap
12,baseball,pitch,30.4898318,-90.4040093,,,LA,,false,true,false,openstreetmap
13,baseball,pitch,30.4891361,-90.4030169,,,LA,,false,true,false,openstreetmap
14,baseball,pitch,30.4898636,-90.403041,,,LA,,false,true,false,openstreetmap
15,baseball,pitch,30.4882809,-90.4030813,,,LA,,false,true,false,openstreetmap
16,baseball,pitch,30.4873288,-90.4031272,,,LA,,false,true,false,openstreetmap
7,baseball,pitch,30.4890205,-90.4058063,,,LA,,false,true,false,openstreetmap
8,baseball,pitch,30.4897331,-90.4058433,,,LA,,false,true,false,openstreetmap
9,baseball,pitch,30.4890644,-90.4048382,,,LA,,false,true,false,openstreetmap
A. B. Netterville Field,baseball,pitch,30.4956935,-90.9157915,,,LA,,false,true,false,openstreetmap
Acadian Ball Park,baseball,pitch,30.0216595,-91.8260366,,,LA,,false,true,false,openstreetmap
Albrition Park,baseball,pitch,31.6882023,-93.3026019,,,LA,,false,true,false,openstreetmap
Alex Box Stadium,baseball,stadium,30.4063948,-91.1874791,,,LA,,false,true,false,openstreetmap
All Star,baseball,pitch,30.4642394,-90.4095505,,,LA,,false,true,false,openstreetmap
Barrow Stadium,baseball,pitch,30.0282157,-90.0424132,,,LA,,false,true,false,openstreetmap
Baseball Diamond,baseball,pitch,32.4934758,-93.7196139,,,LA,,false,true,false,openstreetmap
Baseball Diamond,baseball,pitch,32.4425066,-93.7579191,,,LA,,false,true,false,openstreetmap
Baseball Diamond,baseball,pitch,32.4714177,-93.7032097,,,LA,,false,true,false,openstreetmap
Baseball Diamond,baseball,pitch,32.4716195,-93.7039752,,,LA,,false,true,false,openstreetmap
Baseball Diamonds,baseball,pitch,29.953066,-89.9437081,,,LA,,false,true,false,openstreetmap
Baseball diamonds,baseball,sports_centre,30.3638734,-90.0165028,,,LA,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,31.0529131,-93.2040931,,,LA,,false,true,false,openstreetmap
Bedico,baseball,pitch,30.4621838,-90.4100812,,,LA,,false,true,false,openstreetmap
Bengal Stadium,baseball,pitch,30.4720497,-92.4375438,,,LA,,false,true,false,openstreetmap
