name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
1,baseball,pitch,39.0832793,-76.9205663,,,MD,,false,true,false,openstreetmap
1,baseball,pitch,39.4177748,-76.6248028,,,MD,,false,true,false,openstreetmap
1,baseball,pitch,39.4439586,-76.6367456,,,MD,,false,true,false,openstreetmap
2,baseball,pitch,39.082085,-76.920644,,,MD,,false,true,false,openstreetmap
3,baseball,pitch,39.3434115,-76.390317,,,MD,,false,true,false,openstreetmap
3,baseball,pitch,39.0832602,-76.9191149,,,MD,,false,true,false,openstreetmap
4,baseball,pitch,39.3427935,-76.391052,,,MD,,false,true,false,openstreetmap
4,baseball,pitch,39.0838198,-76.9188247,,,MD,,false,true,false,openstreetmap
Allen Heath Memorial Field,baseball,pitch,39.4420531,-76.3906793,,,MD,,false,true,false,openstreetmap
American Legion Field (90'),baseball,pitch,39.3807836,-77.1646704,,,MD,,false,true,false,openstreetmap
Annapolis High School Baseball Field,baseball,pitch,38.9757369,-76.5663248,,,MD,,false,true,false,openstreetmap
Armstrong Field,baseball,pitch,38.9906662,-77.1235466,,,MD,,false,true,false,openstreetmap
Babb Field,baseball,pitch,39.3325624,-76.619316,,,MD,,false,true,false,openstreetmap
Ball Diamond (60'),baseball,pitch,38.2562746,-76.4349037,,,MD,,false,true,false,openstreetmap
Ball Field #1,baseball,pitch,39.4699538,-76.2998586,,,MD,,false,true,false,openstreetmap
Ball Field #1,baseball,pitch,39.5468969,-76.2800195,,,MD,,false,true,false,openstreetmap
Ball Field #2,baseball,pitch,39.4692321,-76.2990056,,,MD,,false,true,false,openstreetmap
Ball Field #2,baseball,pitch,39.5480901,-76.2801554,,,MD,,false,true,false,openstreetmap
Ball Field #3,baseball,pitch,39.5491358,-76.2805971,,,MD,,false,true,false,openstreetmap
Ball Field #4,baseball,pitch,39.5498709,-76.2806707,,,MD,,false,true,false,openstreetmap
Ball Field #5,baseball,pitch,39.550865,-76.280582,,,MD,,false,true,false,openstreetmap
Baseball,baseball,pitch,39.1568196,-77.058465,,,MD,,false,true,false,openstreetmap
Baseball Diamond,baseball,pitch,38.983347,-77.1705928,,,MD,,false,true,false,openstreetmap
Baseball Diamond #4,baseball,pitch,39.3307964,-76.5744703,,,MD,,false,true,false,openstreetmap
Baseball Diamond (60'),baseball,pitch,38.3050603,-76.631168,,,MD,,false,true,false,openstreetmap
Baseball Diamond (60'),baseball,pitch,38.2673782,-76.4623582,,,MD,,false,true,false,openstreetmap
Baseball Diamond (90'),baseball,pitch,38.2557511,-76.4343722,,,MD,,false,true,false,openstreetmap
Baseball Field,baseball,pitch,39.1380559,-77.0867583,,,MD,,false,true,false,openstreetmap
Baseball Field #1,baseball,pitch,39.570977,-76.389538,,,MD,,false,true,false,openstreetmap
Baseball Field #2,baseball,pitch,39.5710851,-76.3884725,,,MD,,false,true,false,openstreetmap
Baseball Field #3,baseball,pitch,39.5713001,-76.3880505,,,MD,,false,true,false,openstreetmap
Baseball Field #4,baseball,pitch,39.5709966,-76.3869139,,,MD,,false,true,false,openstreetmap
Baseball Field #5,baseball,pitch,39.5702733,-76.387588,,,MD,,false,true,false,openstreetmap
Baseball Field #6,baseball,pitch,39.5699854,-76.3884522,,,MD,,false,true,false,openstreetmap
Baseball Field #7,baseball,pitch,39.5692791,-76.3890793,,,MD,,false,true,false,openstreetmap
Baseball Field #8,baseball,pitch,39.5693108,-76.3857986,,,MD,,false,true,false,openstreetmap
Baseball Field #9,baseball,pitch,39.570481,-76.3858943,,,MD,,false,true,false,openstreetmap
Baseball practice infield,baseball,pitch,39.3705636,-76.639916,,,MD,,false,true,false,openstreetmap
Bates Middle School Baseball Field,baseball,pitch,38.9718159,-76.5070397,,,MD,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,39.0449918,-76.6693549,,,MD,,false,true,false,openstreetmap
Batting Cages,baseball,pitch,39.224973,-76.8907403,,,MD,,false,true,false,openstreetmap
Bell Branch Baseball Field 1,baseball,pitch,38.9865898,-76.6713575,,,MD,,false,true,false,openstreetmap
Bell Branch Baseball Field 2,baseball,pitch,38.9883531,-76.6746213,,,MD,,false,true,false,openstreetmap
Bell Branch Baseball Field 3,baseball,pitch,38.9891834,-76.6760278,,,MD,,false,true,false,openstreetmap
Bennett Cerf - Westminster Little League Field,baseball,pitch,39.5867972,-76.9778517,,,MD,,false,true,false,openstreetmap
Blenchstone '62 Field,baseball,pitch,39.4318279,-76.6789945,,,MD,,false,true,false,openstreetmap
