name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
12,baseball,pitch,42.3070984,-85.1141893,,,MI,,false,true,false,openstreetmap
13,baseball,pitch,42.3070929,-85.1148181,,,MI,,false,true,false,openstreetmap
2,baseball,pitch,42.305925,-85.1133586,,,MI,,false,true,false,openstreetmap
4,baseball,pitch,42.305886,-85.1146217,,,MI,,false,true,false,openstreetmap
4 Bad Axe Baseball and Softball Fields,baseball,pitch,43.8004655,-82.9986608,,,MI,,false,true,false,openstreetmap
5,baseball,pitch,42.3061208,-85.1154345,,,MI,,false,true,false,openstreetmap
7,baseball,pitch,42.3067902,-85.114957,,,MI,,false,true,false,openstreetmap
8,baseball,pitch,42.3065601,-85.1140811,,,MI,,false,true,false,openstreetmap
9,baseball,pitch,42.3065052,-85.1134055,,,MI,,false,true,false,openstreetmap
Ackley Field,baseball,pitch,43.0107047,-84.3759506,,,MI,,false,true,false,openstreetmap
Al Henderson Memorial Field,baseball,pitch,45.0722271,-83.4198762,,,MI,,false,true,false,openstreetmap
Alanson Public School,baseball,pitch,45.4486235,-84.7952552,,,MI,,false,true,false,openstreetmap
Alanson Public School,baseball,pitch,45.4485589,-84.7940478,,,MI,,false,true,false,openstreetmap
Annapolis Baseball Field,baseball,pitch,42.2782846,-83.2469054,,,MI,,false,true,false,openstreetmap
Art Drenth Field,baseball,pitch,45.173118,-85.2393482,,,MI,,false,true,false,openstreetmap
"Ball Diamond ""A""",baseball,pitch,42.3431403,-83.3519622,,,MI,,false,true,false,openstreetmap
"Ball Diamond ""A""",baseball,pitch,42.3496765,-83.3726383,,,MI,,false,true,false,openstreetmap
"Ball Diamond ""A""",baseball,pitch,42.348667,-83.2778241,,,MI,,false,true,false,openstreetmap
"Ball Diamond ""A""",baseball,pitch,42.3438145,-83.3604997,,,MI,,false,true,false,openstreetmap
"Ball Diamond ""A""",baseball,pitch,42.3498182,-83.3160468,,,MI,,false,true,false,openstreetmap
"Ball Diamond ""A""",baseball,pitch,42.3457658,-83.3648525,,,MI,,false,true,false,openstreetmap
"Ball Diamond ""A""",baseball,pitch,42.3439709,-83.3337254,,,MI,,false,true,false,openstreetmap
"Ball Diamond ""A""",baseball,pitch,42.3492407,-83.3089073,,,MI,,false,true,false,openstreetmap
"Ball Diamond ""A""",baseball,pitch,42.3390112,-83.3452856,,,MI,,false,true,false,openstreetmap
"Ball Diamond ""B""",baseball,pitch,42.3490455,-83.3743542,,,MI,,false,true,false,openstreetmap
"Ball Diamond ""B""",baseball,pitch,42.3501876,-83.3072019,,,MI,,false,true,false,openstreetmap
"Ball Diamond ""B""",baseball,pitch,42.3501636,-83.3136334,,,MI,,false,true,false,openstreetmap
Ball Diamond #1,baseball,pitch,42.5371712,-83.3989132,,,MI,,false,true,false,openstreetmap
Ball Diamond #2,baseball,pitch,42.5381581,-83.3989232,,,MI,,false,true,false,openstreetmap
Ball Diamond #3,baseball,pitch,42.5381752,-83.3975954,,,MI,,false,true,false,openstreetmap
Ball Diamond A,baseball,pitch,42.4220593,-83.4768415,,,MI,,false,true,false,openstreetmap
Ball Diamond B,baseball,pitch,42.4243711,-83.4771555,,,MI,,false,true,false,openstreetmap
Ball Field,baseball,pitch,44.7364626,-83.9479717,,,MI,,false,true,false,openstreetmap
Baseball / Softball,baseball,pitch,42.7880829,-83.7322996,,,MI,,false,true,false,openstreetmap
Baseball Diamond,baseball,pitch,42.5670288,-83.1945546,,,MI,,false,true,false,openstreetmap
Baseball Diamond,baseball,pitch,46.4149771,-87.7669974,,,MI,,false,true,false,openstreetmap
Baseball Field,baseball,pitch,44.7349327,-83.9419865,,,MI,,false,true,false,openstreetmap
Baseball Field,baseball,pitch,45.0768143,-85.1755013,,,MI,,false,true,false,openstreetmap
Baseball Field at Bennett,baseball,pitch,42.6032989,-83.9340607,,,MI,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,45.1110102,-83.447688,,,MI,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,45.1102891,-83.4477933,,,MI,,false,true,false,openstreetmap
Batting Cages,baseball,pitch,42.9835574,-82.5268412,,,MI,,false,true,false,openstreetmap
Batting Cages,baseball,pitch,45.1347095,-83.4413076,,,MI,,false,true,false,openstreetmap
Bennett Field,baseball,pitch,43.0018546,-84.1955095,,,MI,,false,true,false,openstreetmap
