name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
1,baseball,pitch,44.8642962,-93.5575141,,,MN,,false,true,false,openstreetmap
1,baseball,pitch,44.7455416,-93.1891612,,,MN,,false,true,false,openstreetmap
10,baseball,pitch,44.7411127,-93.1901309,,,MN,,false,true,false,openstreetmap
11,baseball,pitch,44.7399791,-93.1916893,,,MN,,false,true,false,openstreetmap
12,baseball,pitch,44.7399821,-93.1901661,,,MN,,false,true,false,openstreetmap
1st National Field,baseball,pitch,44.4496436,-93.1774492,,,MN,,false,true,false,openstreetmap
2,baseball,pitch,44.7444933,-93.1882529,,,MN,,false,true,false,openstreetmap
2,baseball,pitch,44.8654102,-93.5574691,,,MN,,false,true,false,openstreetmap
3,baseball,pitch,44.866301,-93.5578349,,,MN,,false,true,false,openstreetmap
3,baseball,pitch,44.7447632,-93.189879,,,MN,,false,true,false,openstreetmap
4,baseball,pitch,44.8664969,-93.5558373,,,MN,,false,true,false,openstreetmap
5,baseball,pitch,44.8655002,-93.555979,,,MN,,false,true,false,openstreetmap
6,baseball,pitch,44.8644289,-93.5559113,,,MN,,false,true,false,openstreetmap
6,baseball,pitch,44.7431601,-93.1901132,,,MN,,false,true,false,openstreetmap
6,baseball,pitch,44.9727198,-93.3001413,,,MN,,false,true,false,openstreetmap
7,baseball,pitch,44.743099,-93.1884528,,,MN,,false,true,false,openstreetmap
9,baseball,pitch,44.7411194,-93.1916681,,,MN,,false,true,false,openstreetmap
A's Field,baseball,pitch,43.9999854,-96.3357196,,,MN,,false,true,false,openstreetmap
AES Field 1,baseball,pitch,45.2674169,-94.1122939,,,MN,,false,true,false,openstreetmap
AES Field 2,baseball,pitch,45.2660456,-94.1127315,,,MN,,false,true,false,openstreetmap
AES Field 3,baseball,pitch,45.265003,-94.1123448,,,MN,,false,true,false,openstreetmap
AHS Baseball Field,baseball,pitch,45.2652459,-94.1076729,,,MN,,false,true,false,openstreetmap
AMS Ball Field,baseball,pitch,45.2645279,-94.1197545,,,MN,,false,true,false,openstreetmap
Ailesbury Park Baseball Field,baseball,pitch,44.7429183,-93.0910033,,,MN,,false,true,false,openstreetmap
Airport 1,baseball,pitch,45.1586905,-93.2171007,,,MN,,false,true,false,openstreetmap
Airport 2,baseball,pitch,45.1577978,-93.2168835,,,MN,,false,true,false,openstreetmap
Airport 3,baseball,pitch,45.1579491,-93.2156148,,,MN,,false,true,false,openstreetmap
Airport 4,baseball,pitch,45.1588475,-93.2158347,,,MN,,false,true,false,openstreetmap
Albertville City Field 1,baseball,pitch,45.2369792,-93.6582861,,,MN,,false,true,false,openstreetmap
Albertville City Field 2,baseball,pitch,45.2359666,-93.6581302,,,MN,,false,true,false,openstreetmap
Albertville City Field 3,baseball,pitch,45.2359443,-93.6563754,,,MN,,false,true,false,openstreetmap
Alpha Community Baseball Diamond,baseball,pitch,43.641278,-94.869302,,,MN,,false,true,false,openstreetmap
Alumni Field,baseball,pitch,44.4616296,-95.7584307,,,MN,,false,true,false,openstreetmap
American Legion Field,baseball,pitch,44.4439593,-95.7987409,,,MN,,false,true,false,openstreetmap
American Legion Field #1,baseball,pitch,44.4493734,-93.1766291,,,MN,,false,true,false,openstreetmap
American Legion Field #2,baseball,pitch,44.449042,-93.1768866,,,MN,,false,true,false,openstreetmap
Anton Field 1,baseball,pitch,45.2188947,-93.686752,,,MN,,false,true,false,openstreetmap
Anton Field 2,baseball,pitch,45.2178507,-93.6862936,,,MN,,false,true,false,openstreetmap
Anton Field 3,baseball,pitch,45.2183015,-93.6853618,,,MN,,false,true,false,openstreetmap
Arnold Klaers Baseball Field,baseball,pitch,45.0571005,-93.6365189,,,MN,,false,true,false,openstreetmap
Art Lamppa Field,baseball,pitch,47.6641894,-92.1969472,,,MN,,false,true,false,openstreetmap
Babcock Field,baseball,pitch,44.4489038,-93.1734484,,,MN,,false,true,false,openstreetmap
Babe Nordmeier Field,baseball,pitch,44.2242615,-93.4471293,,,MN,,false,true,false,openstreetmap
Bagley High School,baseball,pitch,47.5316441,-95.3963792,,,MN,,false,true,false,openstreetmap
Baker Field,baseball,pitch,45.1085899,-95.0712915,,,MN,,false,true,false,openstreetmap
Ball Fields (4),baseball,pitch,44.1760061,-94.0176304,,,MN,,false,true,false,openstreetmap
