name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
Avon Elementary School Baseball Diamond,baseball,pitch,33.222542,-91.0484086,,,MS,,false,true,false,openstreetmap
B1- Chick-fil-A Field,baseball,pitch,34.4019975,-89.5780078,,,MS,,false,true,false,openstreetmap
B10 - Field 10,baseball,pitch,34.407497,-89.5776108,,,MS,,false,true,false,openstreetmap
B11 - Field 11,baseball,pitch,34.4061682,-89.5773798,,,MS,,false,true,false,openstreetmap
B12 - Field 12,baseball,pitch,34.406906,-89.5766822,,,MS,,false,true,false,openstreetmap
B13-Double Decker Field,baseball,pitch,34.4039935,-89.5776665,,,MS,,false,true,false,openstreetmap
B14-Ebbets Field,baseball,pitch,34.4052042,-89.5767233,,,MS,,false,true,false,openstreetmap
B2-Oxford University Bank Field,baseball,pitch,34.4014732,-89.5784776,,,MS,,false,true,false,openstreetmap
B3-Bank of Oxford Field,baseball,pitch,34.4018596,-89.5791099,,,MS,,false,true,false,openstreetmap
B4-Papa John's Field,baseball,pitch,34.4023783,-89.5786423,,,MS,,false,true,false,openstreetmap
B5 - Field 5,baseball,pitch,34.4033223,-89.579121,,,MS,,false,true,false,openstreetmap
B6 - Field 6,baseball,pitch,34.4035017,-89.5800581,,,MS,,false,true,false,openstreetmap
B7 - Field 7,baseball,pitch,34.4043358,-89.5798856,,,MS,,false,true,false,openstreetmap
B8 - Field 8,baseball,pitch,34.4041345,-89.5788356,,,MS,,false,true,false,openstreetmap
B9 - Field 9,baseball,pitch,34.4067922,-89.5783017,,,MS,,false,true,false,openstreetmap
Ball Park,baseball,pitch,31.8777661,-90.3952892,,,MS,,false,true,false,openstreetmap
Baseball Field,baseball,pitch,33.4421377,-90.4973814,,,MS,,false,true,false,openstreetmap
Baseball Field,baseball,pitch,32.2158761,-90.1497906,,,MS,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,33.5351883,-90.256511,,,MS,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,33.4640443,-89.7404586,,,MS,,false,true,false,openstreetmap
Brandon High School Softball,baseball,pitch,32.2435233,-89.9784395,,,MS,,false,true,false,openstreetmap
Bullpen,baseball,pitch,34.6670382,-88.56785,,,MS,,false,true,false,openstreetmap
