name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
#1,baseball,pitch,41.1863953,-96.0156249,,,NE,,false,true,false,openstreetmap
#1,baseball,pitch,41.1870031,-96.0329558,,,NE,,false,true,false,openstreetmap
#2,baseball,pitch,41.1853328,-96.015872,,,NE,,false,true,false,openstreetmap
#2,baseball,pitch,41.1877281,-96.032915,,,NE,,false,true,false,openstreetmap
#3,baseball,pitch,41.1853337,-96.0172091,,,NE,,false,true,false,openstreetmap
#3,baseball,pitch,41.1877476,-96.0339248,,,NE,,false,true,false,openstreetmap
#4,baseball,pitch,41.1863156,-96.017214,,,NE,,false,true,false,openstreetmap
#4,baseball,pitch,41.1869605,-96.0339501,,,NE,,false,true,false,openstreetmap
#5,baseball,pitch,41.1851925,-96.0129494,,,NE,,false,true,false,openstreetmap
1,baseball,pitch,40.862394,-96.6504918,,,NE,,false,true,false,openstreetmap
1,baseball,pitch,42.004736,-97.4161954,,,NE,,false,true,false,openstreetmap
2,baseball,pitch,40.8624116,-96.6494835,,,NE,,false,true,false,openstreetmap
2,baseball,pitch,42.0041409,-97.4169849,,,NE,,false,true,false,openstreetmap
3,baseball,pitch,40.863184,-96.6494991,,,NE,,false,true,false,openstreetmap
3,baseball,pitch,42.0047262,-97.4177835,,,NE,,false,true,false,openstreetmap
4,baseball,pitch,42.0049742,-97.4206756,,,NE,,false,true,false,openstreetmap
5,baseball,pitch,42.0057173,-97.4241458,,,NE,,false,true,false,openstreetmap
Al Veys Youth Sports Complex,baseball,sports_centre,41.1937664,-96.0109676,6506 South 60th Street,,NE,,false,true,false,openstreetmap
Anderson Field,baseball,pitch,41.2064134,-96.1249002,,,NE,,false,true,false,openstreetmap
Ashland Ball Fields,baseball,pitch,41.0433447,-96.3636128,,,NE,,false,true,false,openstreetmap
Ashland Ball Fields,baseball,pitch,41.0443914,-96.3637959,,,NE,,false,true,false,openstreetmap
Augie Nelson Field,baseball,pitch,40.5038095,-98.9428282,,,NE,,false,true,false,openstreetmap
Backstop East,baseball,pitch,41.1515218,-96.033895,,,NE,,false,true,false,openstreetmap
Backstop North,baseball,pitch,41.156988,-96.0464909,,,NE,,false,true,false,openstreetmap
Backstop South,baseball,pitch,41.1565835,-96.0468825,,,NE,,false,true,false,openstreetmap
Backstop West,baseball,pitch,41.1515328,-96.0351756,,,NE,,false,true,false,openstreetmap
Baldwin Field,baseball,pitch,41.1393822,-95.9097607,,,NE,,false,true,false,openstreetmap
Baseball Field,baseball,pitch,40.470669,-95.7371318,,,NE,,false,true,false,openstreetmap
Baseball Practice Field,baseball,pitch,41.1666062,-95.9370176,,,NE,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,41.1515477,-96.0361308,,,NE,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,41.2472435,-95.923729,,,NE,,false,true,false,openstreetmap
Batting Cages,baseball,pitch,41.1428562,-95.9300835,,,NE,,false,true,false,openstreetmap
Bellevue West Baseball,baseball,pitch,41.1648273,-95.937185,,,NE,,false,true,false,openstreetmap
Berry Hill Neighborhood Baseball diamond,baseball,pitch,42.0513004,-97.4512429,,,NE,,false,true,false,openstreetmap
Bill Wood Field,baseball,pitch,41.1514697,-100.7618299,,,NE,,false,true,false,openstreetmap
Chip Bowley Field,baseball,pitch,41.2404001,-95.9452018,,,NE,,false,true,false,openstreetmap
Christenson Field Diamond,baseball,pitch,40.283653,-96.7511952,,,NE,,false,true,false,openstreetmap
Don E. Nordberg Field,baseball,pitch,41.1066741,-97.6018557,,,NE,,false,true,false,openstreetmap
Don Roddy Field,baseball,pitch,41.1482915,-95.9065248,,,NE,,false,true,false,openstreetmap
Duncan Field,baseball,pitch,40.583301,-98.3749588,,,NE,,false,true,false,openstreetmap
Elkhorn North Baseball Field,baseball,pitch,41.300107,-96.1952758,,,NE,,false,true,false,openstreetmap
Felling Field,baseball,pitch,40.2008864,-100.6159822,,,NE,,false,true,false,openstreetmap
Fricke Field,baseball,pitch,41.1517076,-96.0373565,,,NE,,false,true,false,openstreetmap
Halleck West Field,baseball,pitch,41.1539514,-96.0397636,,,NE,,false,true,false,openstreetmap
Hawks Field,baseball,pitch,40.8229318,-96.7133379,,,NE,,false,true,false,openstreetmap
Hawks Field at Haymarket Park,baseball,stadium,40.8230114,-96.7133427,,,NE,,false,true,false,openstreetmap
Holy Cross Field,baseball,pitch,41.2364133,-96.003834,,,NE,,false,true,false,openstreetmap
Holy Cross Field,baseball,pitch,41.23697,-96.0038729,,,NE,,false,true,false,openstreetmap
