name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
50/70 Field,baseball,pitch,40.4108307,-74.3483811,,,NJ,,false,true,false,openstreetmap
Al Robin Field,baseball,pitch,40.9558493,-74.2593819,,,NJ,,false,true,false,openstreetmap
Allen Parker Memorial Field,baseball,pitch,40.0416402,-74.9047732,,,NJ,,false,true,false,openstreetmap
Arm & Hammer Park,baseball,stadium,40.2032977,-74.7609084,,,NJ,,false,true,false,openstreetmap
B1,baseball,pitch,40.2572334,-74.6334335,,,NJ,,false,true,false,openstreetmap
B2,baseball,pitch,40.2584578,-74.6346308,,,NJ,,false,true,false,openstreetmap
Babe Ruth Field,baseball,pitch,41.0608098,-74.7456136,,,NJ,,false,true,false,openstreetmap
Ballfield #1,baseball,pitch,40.9203866,-74.5792265,,,NJ,,false,true,false,openstreetmap
Ballfield #2,baseball,pitch,40.921314,-74.5777301,,,NJ,,false,true,false,openstreetmap
Ballfield 1,baseball,pitch,40.489897,-74.4274496,,,NJ,,false,true,false,openstreetmap
Ballfield 2,baseball,pitch,40.4897467,-74.425587,,,NJ,,false,true,false,openstreetmap
Ballfield 5,baseball,pitch,40.4905469,-74.4208664,,,NJ,,false,true,false,openstreetmap
Barbour Pond Field #1,baseball,pitch,40.9629771,-74.2291867,,,NJ,,false,true,false,openstreetmap
Barbour Pond Field #2,baseball,pitch,40.9631327,-74.2303512,,,NJ,,false,true,false,openstreetmap
Barrington Little League,baseball,pitch,39.86458,-75.0523884,,,NJ,,false,true,false,openstreetmap
Baseball Diamond,baseball,pitch,40.4064773,-74.5653432,,,NJ,,false,true,false,openstreetmap
Baseball Diamond,baseball,pitch,40.4055881,-74.5645234,,,NJ,,false,true,false,openstreetmap
Baseball Diamond,baseball,pitch,40.4047784,-74.5643775,,,NJ,,false,true,false,openstreetmap
Baseball Diamond,baseball,pitch,40.404632,-74.5628444,,,NJ,,false,true,false,openstreetmap
Baseball Diamond 1,baseball,pitch,40.5551464,-74.5321981,,,NJ,,false,true,false,openstreetmap
Baseball Diamond 2,baseball,pitch,40.5546329,-74.5316478,,,NJ,,false,true,false,openstreetmap
Baseball Field,baseball,pitch,40.6686806,-74.3156635,,,NJ,,false,true,false,openstreetmap
Baseball Field,baseball,pitch,40.6720317,-74.318564,,,NJ,,false,true,false,openstreetmap
Baseball Field,baseball,pitch,40.6244396,-74.576257,,,NJ,,false,true,false,openstreetmap
Baseball Field,baseball,pitch,40.624994,-74.5751285,,,NJ,,false,true,false,openstreetmap
Baseball Field,baseball,pitch,40.6237688,-74.5754099,,,NJ,,false,true,false,openstreetmap
Baseball Field,baseball,pitch,40.624416,-74.5743298,,,NJ,,false,true,false,openstreetmap
Baseball Field,baseball,pitch,40.2870221,-73.9896739,,,NJ,,false,true,false,openstreetmap
Baseball Field,baseball,pitch,40.2879952,-73.989525,,,NJ,,false,true,false,openstreetmap
Baseball Field,baseball,pitch,40.2892939,-73.9897004,,,NJ,,false,true,false,openstreetmap
