name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
Ahlschlager Park,baseball,pitch,34.5984901,-98.4167061,,,OK,,false,true,false,openstreetmap
Ahlschlager Park,baseball,pitch,34.5984936,-98.4159781,,,OK,,false,true,false,openstreetmap
Ahlschlager Park,baseball,pitch,34.5984638,-98.4151134,,,OK,,false,true,false,openstreetmap
Allie P. Reynolds Stadium,baseball,stadium,36.1286875,-97.0639812,,,OK,,false,true,false,openstreetmap
Alva Melot Field,baseball,pitch,35.2673906,-96.944982,,,OK,,false,true,false,openstreetmap
Ann Lacy Stadium,baseball,pitch,35.4979852,-97.5416072,,,OK,,false,true,false,openstreetmap
Astros' Ballpark,baseball,pitch,36.4018583,-97.9160629,,,OK,,false,true,false,openstreetmap
Ballfield at Epiphany Church,baseball,pitch,35.564818,-97.6448211,,,OK,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,36.7170176,-97.0775348,,,OK,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,36.7169698,-97.0775351,,,OK,,false,true,false,openstreetmap
Batting Cages,baseball,sports_centre,35.4584494,-97.599052,,,OK,,false,true,false,openstreetmap
Biff Thompson Field,baseball,pitch,35.4901215,-95.3191964,,,OK,,false,true,false,openstreetmap
Blue Fields,baseball,sports_centre,36.3138419,-95.8604229,,,OK,,false,true,false,openstreetmap
Cameron Softball Field,baseball,pitch,34.6059522,-98.4381315,,,OK,,false,true,false,openstreetmap
Centennial Baseball Park,baseball,pitch,35.5477511,-98.5813579,,,OK,,false,true,false,openstreetmap
Chickasaw Bricktown Ballpark,baseball,sports_centre,35.4645895,-97.5087114,,,OK,,false,true,false,openstreetmap
Couch Park Baseball Field,baseball,pitch,36.1064877,-97.0455922,,,OK,,false,true,false,openstreetmap
Coweta Tigers' Baseball Field,baseball,pitch,35.9502283,-95.6392361,,,OK,,false,true,false,openstreetmap
Coweta Tigers' Softball Field,baseball,pitch,35.9502586,-95.6336741,,,OK,,false,true,false,openstreetmap
Coyle Baseball Field,baseball,pitch,35.9497971,-97.2353283,,,OK,,false,true,false,openstreetmap
Crowder Baseball Field,baseball,pitch,35.1220996,-95.6754145,,,OK,,false,true,false,openstreetmap
DKA Field,baseball,pitch,34.5016577,-97.0975889,,,OK,,false,true,false,openstreetmap
DKA Field,baseball,pitch,34.501655,-97.0965963,,,OK,,false,true,false,openstreetmap
DKA Field,baseball,pitch,34.5024725,-97.0975737,,,OK,,false,true,false,openstreetmap
DKA Field,baseball,pitch,34.5023756,-97.0967002,,,OK,,false,true,false,openstreetmap
David Allen Memorial BallPark,baseball,pitch,36.3935139,-97.8771904,,,OK,,false,true,false,openstreetmap
Devon Park,baseball,stadium,35.5246614,-97.4639803,,,OK,,false,true,false,openstreetmap
Dobson Baseball Field,baseball,pitch,35.6145805,-97.4724939,,,OK,,false,true,false,openstreetmap
Dougherty School Baseball Field (Abandoned),baseball,pitch,34.4040388,-97.0575487,,,OK,,false,true,false,openstreetmap
Eastern Oklahoma State College Baseball Field,baseball,pitch,34.913711,-95.3352987,,,OK,,false,true,false,openstreetmap
Edmond Memorial Baseball,baseball,pitch,35.6427487,-97.4728127,,,OK,,false,true,false,openstreetmap
Field #1,baseball,pitch,36.0569925,-95.8013956,,,OK,,false,true,false,openstreetmap
Field #2,baseball,pitch,36.0569946,-95.8003119,,,OK,,false,true,false,openstreetmap
Field #3,baseball,pitch,36.0569742,-95.7993848,,,OK,,false,true,false,openstreetmap
First Church of the Nazarene baseball Diamond,baseball,pitch,36.4006505,-97.9085867,,,OK,,false,true,false,openstreetmap
Flint Field,baseball,pitch,36.2186079,-94.6435615,,,OK,,false,true,false,openstreetmap
George E. Failing Field,baseball,pitch,36.3943715,-97.8448934,,,OK,,false,true,false,openstreetmap
Goddard Field,baseball,pitch,35.8210178,-95.6789163,,,OK,,false,true,false,openstreetmap
Green Fields,baseball,sports_centre,36.3155693,-95.8579595,,,OK,,false,true,false,openstreetmap
Heath Field,baseball,pitch,35.6146091,-97.4700926,,,OK,,false,true,false,openstreetmap
Highland Trails Baseball Field,baseball,pitch,35.7369453,-97.4968335,,,OK,,false,true,false,openstreetmap
J. Calvin Baesball Field for Special Needs Athletes,baseball,pitch,35.5123712,-97.7618111,,,OK,,false,true,false,openstreetmap
Jim Wade Stadium,baseball,pitch,35.4967453,-97.5430337,,,OK,,false,true,false,openstreetmap
Johnston County Sports Complex,baseball,pitch,34.2189962,-96.6732073,,,OK,,false,true,false,openstreetmap
Ken Turner Baseball Field,baseball,pitch,34.7721811,-96.6576998,,,OK,,false,true,false,openstreetmap
Kimrey Family Stadium,baseball,pitch,35.1909306,-97.4459826,,,OK,,false,true,false,openstreetmap
Kimrey Family Stadium,baseball,stadium,35.1905133,-97.4464789,,,OK,,false,true,false,openstreetmap
Lady Bulldog Field,baseball,pitch,36.3639165,-96.0169073,,,OK,,false,true,false,openstreetmap
