name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
Ad Rutschman Baseball Stadium,baseball,pitch,45.5285065,-122.9717204,,,OR,,false,true,false,openstreetmap
Amazon North/Jack Moore Field,baseball,pitch,44.0352421,-123.0879399,,,OR,,false,true,false,openstreetmap
Amazon South/Karen Meats City Field,baseball,pitch,44.0345314,-123.0879275,,,OR,,false,true,false,openstreetmap
Ball Field,baseball,pitch,44.6347327,-123.0549011,,,OR,,false,true,false,openstreetmap
Ball Field,baseball,pitch,44.6341892,-123.0541762,,,OR,,false,true,false,openstreetmap
Ball Field,baseball,pitch,44.6336715,-123.054862,,,OR,,false,true,false,openstreetmap
Barone Field,baseball,pitch,43.6906682,-124.1305603,,,OR,,false,true,false,openstreetmap
Big Creek Park Field,baseball,pitch,46.1655859,-123.5921506,,,OR,,false,true,false,openstreetmap
Bill Love Field,baseball,pitch,45.4829856,-122.8694852,,,OR,,false,true,false,openstreetmap
Bond Field,baseball,pitch,45.5278536,-123.1096263,,,OR,,false,true,false,openstreetmap
Breslaw Field,baseball,pitch,43.9174424,-123.0276039,,,OR,,false,true,false,openstreetmap
Brian Jack Robinson Field,baseball,pitch,45.4674437,-122.7532152,,,OR,,false,true,false,openstreetmap
Bruce S. DaIrymple Athletic Field,baseball,pitch,45.5022356,-122.8021046,,,OR,,false,true,false,openstreetmap
CHS Baseball Field,baseball,pitch,44.5752742,-123.2713313,,,OR,,false,true,false,openstreetmap
CHS Softball Field,baseball,pitch,44.5747245,-123.2664836,,,OR,,false,true,false,openstreetmap
Century Junior Varsity Baseball Field,baseball,pitch,45.5046115,-122.9139969,,,OR,,false,true,false,openstreetmap
Century Varsity Baseball Field,baseball,pitch,45.5033975,-122.9137063,,,OR,,false,true,false,openstreetmap
Chemeketa Stadium,baseball,stadium,44.9759549,-122.9758805,,,OR,,false,true,false,openstreetmap
Clopton Field,baseball,pitch,45.476828,-122.6927496,,,OR,,false,true,false,openstreetmap
Clover Road Baseball Field,baseball,pitch,42.2473422,-122.800929,,,OR,,false,true,false,openstreetmap
Cole Field,baseball,pitch,45.5011007,-122.9047109,,,OR,,false,true,false,openstreetmap
Coleman Field,baseball,pitch,44.5628647,-123.2771178,,,OR,,false,true,false,openstreetmap
Corbett High School Baseball Field,baseball,pitch,45.5277003,-122.2973248,,,OR,,false,true,false,openstreetmap
Corbett High School Softball Field,baseball,pitch,45.5278261,-122.2961044,,,OR,,false,true,false,openstreetmap
Crook County High School Baseball Diamond,baseball,pitch,44.2978544,-120.829635,,,OR,,false,true,false,openstreetmap
Crook County High School Baseball Diamond 1;Crook County High School Baseball Diamond,baseball,pitch,44.2913663,-120.833882,,,OR,,false,true,false,openstreetmap
Crook County High School Softball Diamond,baseball,pitch,44.2915874,-120.8325473,,,OR,,false,true,false,openstreetmap
D1,baseball,pitch,44.226439,-123.2118592,,,OR,,false,true,false,openstreetmap
D2,baseball,pitch,44.2264583,-123.2108448,,,OR,,false,true,false,openstreetmap
D3,baseball,pitch,44.2258324,-123.2118172,,,OR,,false,true,false,openstreetmap
D4,baseball,pitch,44.2258162,-123.2108301,,,OR,,false,true,false,openstreetmap
Danny Patterson Field,baseball,pitch,46.1637394,-123.5855404,,,OR,,false,true,false,openstreetmap
Davidson Field,baseball,pitch,44.3001356,-120.8455202,,,OR,,false,true,false,openstreetmap
Delbert S. Evans Field,baseball,pitch,44.0526627,-123.0241371,,,OR,,false,true,false,openstreetmap
Dutch's Field,baseball,pitch,44.2272402,-123.2078758,,,OR,,false,true,false,openstreetmap
Eaton Baseball Field,baseball,pitch,45.5139149,-122.7685498,,,OR,,false,true,false,openstreetmap
Echo Shaw Field,baseball,pitch,45.5121677,-123.0632785,,,OR,,false,true,false,openstreetmap
Elks Memorial Field,baseball,pitch,44.0169136,-116.9712026,,,OR,,false,true,false,openstreetmap
Erv Lind Stadium,baseball,stadium,45.5309328,-122.6061199,,,OR,,false,true,false,openstreetmap
Fallen Field,baseball,park,45.671378,-118.8038368,,,OR,,false,true,false,openstreetmap
Garner Field,baseball,pitch,45.5012086,-122.9039313,,,OR,,false,true,false,openstreetmap
Gary A. Ward Baseball Diamond,baseball,pitch,44.3089189,-120.8614185,,,OR,,false,true,false,openstreetmap
Gary A. Ward Baseball Diamond,baseball,pitch,44.3089477,-120.861476,,,OR,,false,true,false,openstreetmap
Gervais Baseball Field,baseball,pitch,45.1098944,-122.9000043,,,OR,,false,true,false,openstreetmap
Gervais Baseball Field,baseball,pitch,45.1094775,-122.8999376,,,OR,,false,true,false,openstreetmap
Gilbert A. Mack Memorial Field,baseball,pitch,42.4381571,-123.0443308,,,OR,,false,true,false,openstreetmap
Gladstone Field,baseball,pitch,45.4842019,-122.770881,,,OR,,false,true,false,openstreetmap
Gold Beach High School Baseball field,baseball,pitch,42.4097461,-124.4219807,,,OR,,false,true,false,openstreetmap
Grants Pass School District,baseball,pitch,42.4444297,-123.3159136,,,OR,,false,true,false,openstreetmap
Grants Pass School District,baseball,pitch,42.4449804,-123.3166888,,,OR,,false,true,false,openstreetmap
Grants Pass School District,baseball,pitch,42.4452804,-123.3154848,,,OR,,false,true,false,openstreetmap
