name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
(Old) Baseball field,baseball,pitch,41.7377411,-79.7572376,,,PA,,false,true,false,openstreetmap
20th & Tioga Field,baseball,pitch,40.0078513,-75.1618994,,,PA,,false,true,false,openstreetmap
2nd Street Field,baseball,pitch,40.3699066,-75.2918097,,,PA,,false,true,false,openstreetmap
33rd Street Field,baseball,pitch,40.7732379,-80.327749,,,PA,,false,true,false,openstreetmap
37th Street Ballparks,baseball,sports_centre,40.7786366,-80.3278125,,,PA,,false,true,false,openstreetmap
6th Street Field,baseball,pitch,41.3180461,-75.8377398,,,PA,,false,true,false,openstreetmap
AA Field,baseball,pitch,40.0952189,-75.2615816,,,PA,,false,true,false,openstreetmap
AAA Field,baseball,pitch,40.0946207,-75.2622923,,,PA,,false,true,false,openstreetmap
AMS Field,baseball,pitch,40.2787806,-79.5418663,,,PA,,false,true,false,openstreetmap
Academy Park Baseball Field,baseball,pitch,39.9113462,-75.2678868,,,PA,,false,true,false,openstreetmap
Advanced Instructional Field,baseball,pitch,40.0949184,-75.2610041,,,PA,,false,true,false,openstreetmap
Aiken 1,baseball,pitch,40.4232079,-80.0422736,,,PA,,false,true,false,openstreetmap
Aiken 2,baseball,pitch,40.4224392,-80.0422018,,,PA,,false,true,false,openstreetmap
Albert P. Gettings Field,baseball,pitch,41.020378,-80.3299952,,,PA,,false,true,false,openstreetmap
All-Star Baseball Academy,baseball,sports_centre,39.9619408,-75.3377701,,,PA,,false,true,false,openstreetmap
All-Star Sports Academy,baseball,sports_centre,39.9723841,-75.3192356,,,PA,,false,true,false,openstreetmap
Allport Little League Field,baseball,pitch,40.9796251,-78.2063131,,,PA,,false,true,false,openstreetmap
Altman Rand Ballfield,baseball,pitch,40.3353493,-79.5968675,,,PA,,false,true,false,openstreetmap
Alumni Field,baseball,pitch,40.0247881,-75.1924149,,,PA,,false,true,false,openstreetmap
Amosland Baseball Field 1,baseball,pitch,39.8989021,-75.315384,,,PA,,false,true,false,openstreetmap
Amosland Baseball Field 2,baseball,pitch,39.8998393,-75.3155092,,,PA,,false,true,false,openstreetmap
Amosland Baseball Field 3,baseball,pitch,39.8994735,-75.3159796,,,PA,,false,true,false,openstreetmap
Antietam Athletic Field Baseball,baseball,pitch,40.3325502,-75.8816222,,,PA,,false,true,false,openstreetmap
Apple Hill Baseball Field,baseball,pitch,40.4080984,-79.5778873,,,PA,,false,true,false,openstreetmap
Argenta A Field,baseball,pitch,40.4149849,-80.2241757,,,PA,,false,true,false,openstreetmap
Argenta B Field,baseball,pitch,40.4149633,-80.2249893,,,PA,,false,true,false,openstreetmap
Armed Forces Field,baseball,pitch,41.1928466,-75.4129031,,,PA,,false,true,false,openstreetmap
Art Keefer Field,baseball,pitch,41.5386149,-75.9338538,,,PA,,false,true,false,openstreetmap
Athletic Field,baseball,pitch,40.4459396,-75.3986745,,,PA,,false,true,false,openstreetmap
Avoca Dupont Little League Field,baseball,pitch,41.3375212,-75.744281,,,PA,,false,true,false,openstreetmap
Avoca Dupont Teener Field,baseball,pitch,41.3384647,-75.7476078,,,PA,,false,true,false,openstreetmap
Avon Grove Little League Field,baseball,pitch,39.8231825,-75.8183431,,,PA,,false,true,false,openstreetmap
Babe Ruth Baseball Field,baseball,pitch,40.2385329,-74.8240018,,,PA,,false,true,false,openstreetmap
Babe Ruth Baseball Field and Soccer Field (H),baseball,pitch,40.2355817,-74.8232115,,,PA,,false,true,false,openstreetmap
Babe Ruth Field,baseball,pitch,40.9952458,-76.0573778,,,PA,,false,true,false,openstreetmap
Baker Field,baseball,pitch,40.397008,-75.5059877,,,PA,,false,true,false,openstreetmap
Ball Field 5,baseball,pitch,40.5807265,-79.6189431,,,PA,,false,true,false,openstreetmap
Ball field 4,baseball,pitch,40.5805634,-79.6204322,,,PA,,false,true,false,openstreetmap
Ball field 6,baseball,pitch,40.5798948,-79.6189657,,,PA,,false,true,false,openstreetmap
Ballfield 1 & 2,baseball,pitch,40.3183402,-77.1893836,,,PA,,false,true,false,openstreetmap
Ballfield 3,baseball,pitch,40.318957,-77.1901556,,,PA,,false,true,false,openstreetmap
Ballfield 4,baseball,pitch,40.3196111,-77.1908634,,,PA,,false,true,false,openstreetmap
Barkdoll Field,baseball,pitch,39.7943913,-77.727133,,,PA,,false,true,false,openstreetmap
Barry G. Schell Field,baseball,pitch,40.5210027,-80.0404627,,,PA,,false,true,false,openstreetmap
Barry North Field,baseball,pitch,39.916106,-75.1792219,,,PA,,false,true,false,openstreetmap
Barry South Field,baseball,pitch,39.9155638,-75.1793533,,,PA,,false,true,false,openstreetmap
Baseball,baseball,pitch,41.6940516,-75.1383465,,,PA,,false,true,false,openstreetmap
Baseball Field,baseball,pitch,39.7699533,-76.6839904,,,PA,,false,true,false,openstreetmap
Baseball Field 1,baseball,pitch,40.6552045,-79.930576,,,PA,,false,true,false,openstreetmap
Baseball Field 1,baseball,pitch,40.6864532,-75.434076,,,PA,,false,true,false,openstreetmap
Baseball Field 2,baseball,pitch,40.6558739,-79.9307182,,,PA,,false,true,false,openstreetmap
Baseball Field 2,baseball,pitch,40.6880593,-75.4351939,,,PA,,false,true,false,openstreetmap
Baseball Field 3,baseball,pitch,40.6558597,-79.9312144,,,PA,,false,true,false,openstreetmap
Baseball Field 3,baseball,pitch,40.688214,-75.43604,,,PA,,false,true,false,openstreetmap
Baseball Field 4,baseball,pitch,40.6857098,-75.439178,,,PA,,false,true,false,openstreetmap
Baseball Field 5,baseball,pitch,40.6865894,-75.4384366,,,PA,,false,true,false,openstreetmap
Baseball Field 6,baseball,pitch,40.6558211,-79.9293288,,,PA,,false,true,false,openstreetmap
Baseball Field 6,baseball,pitch,40.6873942,-75.4372447,,,PA,,false,true,false,openstreetmap
Baseball Field 7,baseball,pitch,40.6551353,-79.9289371,,,PA,,false,true,false,openstreetmap
Baseball Field 8,baseball,pitch,40.6552126,-79.9295407,,,PA,,false,true,false,openstreetmap
Baseball Field/Diamond,baseball,pitch,41.8011208,-77.0787236,,,PA,,false,true,false,openstreetmap
Baseball Fields,baseball,pitch,40.3229762,-79.6937329,,,PA,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,40.3686813,-75.2957462,,,PA,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,40.272176,-75.1419962,,,PA,,false,true,false,openstreetmap
Batting Cages,baseball,yes,39.9544126,-76.70863,,,PA,,false,true,false,openstreetmap
Batting Cages,baseball,pitch,40.1786115,-76.3083054,,,PA,,false,true,false,openstreetmap
Bear Stadium,baseball,pitch,40.3351557,-75.6285333,,,PA,,false,true,false,openstreetmap
Bechtelsville Baseball Field,baseball,pitch,40.3696967,-75.6292331,,,PA,,false,true,false,openstreetmap
Becker Field,baseball,pitch,40.9512811,-76.8909632,,,PA,,false,true,false,openstreetmap
Bedford Varsity Softball Field,baseball,pitch,40.0147373,-78.4945938,,,PA,,false,true,false,openstreetmap
Bellefonte Teener League Field,baseball,pitch,40.9178389,-77.754571,,,PA,,false,true,false,openstreetmap
Ben Killian Field,baseball,pitch,40.4942517,-79.9083931,,,PA,,false,true,false,openstreetmap
Berwind Park,baseball,pitch,41.4223791,-78.5635539,,,PA,,false,true,false,openstreetmap
Bill Mazeroski Field,baseball,pitch,40.348308,-79.5574161,,,PA,,false,true,false,openstreetmap
Black Knights Baseball Field,baseball,pitch,40.826392,-78.3982927,,,PA,,false,true,false,openstreetmap
Bob Owens Field,baseball,pitch,39.9751787,-75.5897542,,,PA,,false,true,false,openstreetmap
Bob Rute Field,baseball,pitch,40.6954015,-75.2440542,,,PA,,false,true,false,openstreetmap
Bob Schultz Field,baseball,pitch,41.531471,-75.9368826,,,PA,,false,true,false,openstreetmap
Bodine Baseball field,baseball,pitch,41.2437117,-76.7273546,,,PA,,false,true,false,openstreetmap
Bollinger Baseball Field,baseball,pitch,40.7959534,-76.8794919,,,PA,,false,true,false,openstreetmap
Boyce Field,baseball,pitch,40.0324469,-75.2070426,,,PA,,false,true,false,openstreetmap
Bracken Field,baseball,pitch,41.9310612,-79.6453556,,,PA,,false,true,false,openstreetmap
Bruder Athletic Fields,baseball,pitch,39.8779144,-75.4430675,,,PA,,false,true,false,openstreetmap
Bucktail Baseball Field,baseball,pitch,41.3392791,-77.7061162,,,PA,,false,true,false,openstreetmap
Butz Baseball Field,baseball,pitch,40.5373594,-75.3833743,,,PA,,false,true,false,openstreetmap
CBP Baseball Field #1,baseball,pitch,40.6289291,-75.5605027,,,PA,,false,true,false,openstreetmap
CBP Baseball Field #2,baseball,pitch,40.6288313,-75.5592441,,,PA,,false,true,false,openstreetmap
CBP Baseball Field #4,baseball,pitch,40.6279086,-75.5612136,,,PA,,false,true,false,openstreetmap
CCAC Boyce baseball field,baseball,pitch,40.4557158,-79.7462489,,,PA,,false,true,false,openstreetmap
California Borough Ballfield #1,baseball,pitch,40.0646687,-79.8967148,,,PA,,false,true,false,openstreetmap
California Borough Ballfield #2,baseball,pitch,40.0642495,-79.8960867,,,PA,,false,true,false,openstreetmap
Calvary A.A. Baseball Fields,baseball,sports_centre,40.080928,-74.9749858,,,PA,,false,true,false,openstreetmap
Campus Athletic Field,baseball,pitch,39.9441671,-79.661071,,,PA,,false,true,false,openstreetmap
Carl Harris Little League Complex,baseball,sports_centre,41.2211944,-80.4094831,,,PA,,false,true,false,openstreetmap
Carlson Field,baseball,pitch,40.966378,-80.2292075,,,PA,,false,true,false,openstreetmap
Carlynton Baseball Field,baseball,pitch,40.4263114,-80.0979699,,,PA,,false,true,false,openstreetmap
Carson Middle School Baseball Field,baseball,pitch,40.5671217,-80.0316788,,,PA,,false,true,false,openstreetmap
Cedar Creek Field 1,baseball,pitch,40.5804942,-75.5492648,,,PA,,false,true,false,openstreetmap
Cedar Creek Field 1,baseball,pitch,40.580808,-75.5508289,,,PA,,false,true,false,openstreetmap
Cedar Creek Field 3,baseball,pitch,40.5805635,-75.5480131,,,PA,,false,true,false,openstreetmap
Cedar Creek Field 4,baseball,pitch,40.5813448,-75.5478512,,,PA,,false,true,false,openstreetmap
Cedar Creek Field 5,baseball,pitch,40.5816179,-75.5495193,,,PA,,false,true,false,openstreetmap
Cedar Creek Field 6,baseball,pitch,40.5804256,-75.5437783,,,PA,,false,true,false,openstreetmap
Central High School Baseball Field,baseball,pitch,40.0363119,-75.1488334,,,PA,,false,true,false,openstreetmap
Charles Boehm Baseball Field,baseball,pitch,40.2089404,-74.8252125,,,PA,,false,true,false,openstreetmap
Charles Flack Memorial Field,baseball,pitch,41.3052587,-75.8529487,,,PA,,false,true,false,openstreetmap
Charles L. Cost Field,baseball,pitch,40.4451859,-79.966163,,,PA,,false,true,false,openstreetmap
Chartiers-Houston High School Baseball Field,baseball,pitch,40.2316121,-80.2296414,,,PA,,false,true,false,openstreetmap
Chester Marburger Memorial Field,baseball,pitch,40.6959595,-80.0194268,,,PA,,false,true,false,openstreetmap
Chiccino Field,baseball,pitch,40.1041863,-75.3496689,,,PA,,false,true,false,openstreetmap
Chris Strumski Field,baseball,pitch,41.5316238,-75.9354808,,,PA,,false,true,false,openstreetmap
Chuck Tanner Field,baseball,pitch,40.9689323,-80.3142413,,,PA,,false,true,false,openstreetmap
Citizens Bank Park,baseball,stadium,39.9058833,-75.1664422,,,PA,,false,true,false,openstreetmap
Citizens Phan Field,baseball,pitch,39.9067261,-75.1653379,,,PA,,false,true,false,openstreetmap
Clark Ball Field,baseball,pitch,41.2774211,-80.4159516,,,PA,,false,true,false,openstreetmap
Clarkson Field,baseball,pitch,40.3277199,-79.6272745,,,PA,,false,true,false,openstreetmap
Class of 1952 Baseball Field,baseball,pitch,40.0137345,-75.3036699,,,PA,,false,true,false,openstreetmap
Class of 1995 Field,baseball,pitch,40.0058968,-75.3086854,,,PA,,false,true,false,openstreetmap
Clayton Park Little League Field,baseball,pitch,39.8606244,-75.485672,,,PA,,false,true,false,openstreetmap
Clint Seymour Field,baseball,pitch,40.3730422,-80.0574031,,,PA,,false,true,false,openstreetmap
Coca-Cola Park,baseball,stadium,40.6259018,-75.4525871,,,PA,,false,true,false,openstreetmap
Coca-Cola Park,baseball,sports_centre,40.625637,-75.4513841,,,PA,,false,true,false,openstreetmap
Concession Stand,baseball,pitch,40.4826523,-78.7301842,,,PA,,false,true,false,openstreetmap
Conemaugh Township Baseball Field,baseball,pitch,40.2291394,-78.9414363,,,PA,,false,true,false,openstreetmap
Conlin Field,baseball,pitch,40.0333509,-76.3090166,,,PA,,false,true,false,openstreetmap
Constitution Square Baseball Field,baseball,pitch,40.1072728,-76.3493243,,,PA,,false,true,false,openstreetmap
Corpus Christi CYO Baseball Field,baseball,pitch,40.222831,-75.3155587,,,PA,,false,true,false,openstreetmap
Coryville Field,baseball,pitch,41.8814659,-78.4013154,,,PA,,false,true,false,openstreetmap
Courtdale Field,baseball,pitch,41.2815182,-75.9156692,,,PA,,false,true,false,openstreetmap
Cowley Athletic Field,baseball,pitch,40.461641,-79.9860638,,,PA,,false,true,false,openstreetmap
Crabapple Park Batting Cage,baseball,pitch,40.2584382,-79.721528,,,PA,,false,true,false,openstreetmap
Crawford Park Ballfield,baseball,pitch,39.8934343,-80.1777991,,,PA,,false,true,false,openstreetmap
Cresson Little Baseball League,baseball,pitch,40.4666077,-78.5913638,,,PA,,false,true,false,openstreetmap
Crew Field,baseball,pitch,39.9479284,-75.5339474,,,PA,,false,true,false,openstreetmap
Crop Field,baseball,pitch,39.7713354,-75.9161368,,,PA,,false,true,false,openstreetmap
Dagus Mines Field,baseball,pitch,41.353738,-78.6046743,,,PA,,false,true,false,openstreetmap
Dan Hedlund Memorial Field,baseball,pitch,42.1457009,-79.9686331,,,PA,,false,true,false,openstreetmap
Dan Marino Field,baseball,pitch,40.4292438,-79.9546277,,,PA,,false,true,false,openstreetmap
Dandy Lion Little League,baseball,pitch,41.3382679,-75.5030735,,,PA,,false,true,false,openstreetmap
Danny Conniff Memorial Field,baseball,pitch,41.4441145,-75.6479776,,,PA,,false,true,false,openstreetmap
Delage Landen Field,baseball,pitch,40.0697053,-75.4542462,,,PA,,false,true,false,openstreetmap
Denny Robinson Field,baseball,pitch,41.5399226,-75.9345546,,,PA,,false,true,false,openstreetmap
Depew Field,baseball,pitch,40.9522009,-76.8915732,,,PA,,false,true,false,openstreetmap
Derek Shanefild Memorial Filed,baseball,pitch,40.667201,-78.7089914,,,PA,,false,true,false,openstreetmap
Dermond Field,baseball,park,39.9617687,-75.3047159,,,PA,,false,true,false,openstreetmap
Devil's Elbow Field,baseball,pitch,40.5851971,-79.9968896,,,PA,,false,true,false,openstreetmap
Devon Prep Field,baseball,pitch,40.0544327,-75.4233378,,,PA,,false,true,false,openstreetmap
Dick LaBar Memorial Playing Field,baseball,pitch,40.4592148,-79.6719831,,,PA,,false,true,false,openstreetmap
Dick's Sporting Goods Baseball Field,baseball,pitch,40.5098878,-80.2655475,,,PA,,false,true,false,openstreetmap
Dickson Field,baseball,pitch,42.147404,-79.9693302,,,PA,,false,true,false,openstreetmap
Diller Field,baseball,pitch,39.7977042,-77.0047777,,,PA,,false,true,false,openstreetmap
Ding-A-Ling's Field,baseball,pitch,40.7984497,-79.3357708,,,PA,,false,true,false,openstreetmap
Division Street Ball Field,baseball,pitch,41.8546499,-79.3255751,,,PA,,false,true,false,openstreetmap
Dixon Field,baseball,pitch,40.3744577,-80.0565314,,,PA,,false,true,false,openstreetmap
Dodson Street Little League Field,baseball,pitch,40.6019654,-75.4022863,,,PA,,false,true,false,openstreetmap
"Don ""Pop"" Staley Field",baseball,pitch,40.1135159,-76.5054443,,,PA,,false,true,false,openstreetmap
Donora Field,baseball,pitch,40.5894395,-79.9841781,,,PA,,false,true,false,openstreetmap
Doylestown Baseball Field,baseball,pitch,40.3294955,-75.1203192,,,PA,,false,true,false,openstreetmap
Drifting Ball Field,baseball,pitch,41.0296944,-78.1088389,,,PA,,false,true,false,openstreetmap
Duquesne Baseball Field,baseball,pitch,40.3797504,-79.8595201,,,PA,,false,true,false,openstreetmap
Duryea Little League,baseball,pitch,41.3492092,-75.7529603,,,PA,,false,true,false,openstreetmap
ESSA Field,baseball,pitch,41.0432236,-75.3111547,,,PA,,false,true,false,openstreetmap
Earl M. Gross Ball Field,baseball,pitch,40.5378616,-75.6314317,,,PA,,false,true,false,openstreetmap
East Baseball Practice Field,baseball,pitch,40.2866652,-76.7978014,,,PA,,false,true,false,openstreetmap
East End Baseball,baseball,pitch,40.5226845,-78.3797042,,,PA,,false,true,false,openstreetmap
East End Park,baseball,pitch,40.8145969,-76.1260583,,,PA,,false,true,false,openstreetmap
East Side Memorial Little League,baseball,pitch,40.6065708,-75.4509493,,,PA,,false,true,false,openstreetmap
Ed Schneider Field,baseball,pitch,40.3503529,-80.108636,,,PA,,false,true,false,openstreetmap
Ehrenfeld Park,baseball,pitch,40.3701345,-78.777947,,,PA,,false,true,false,openstreetmap
Elkins Field,baseball,pitch,40.1184534,-75.0691954,,,PA,,false,true,false,openstreetmap
Elmer Valo Field,baseball,pitch,40.7993172,-75.6077811,,,PA,,false,true,false,openstreetmap
FNB Field,baseball,pitch,40.256222,-76.8897741,,,PA,,false,true,false,openstreetmap
Fairchild Field,baseball,pitch,40.065495,-77.5244719,,,PA,,false,true,false,openstreetmap
Faith Christian Athletic Field,baseball,pitch,40.4439096,-75.3995159,,,PA,,false,true,false,openstreetmap
Falcon Field,baseball,pitch,40.364806,-78.7803168,,,PA,,false,true,false,openstreetmap
