name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
Bravos de Cidra,baseball,pitch,18.1815144,-66.1598479,,,PR,,false,true,false,openstreetmap
Cancha Bajo Techo Bo. Pastillito,baseball,pitch,18.0085469,-66.4904688,,,PR,,false,true,false,openstreetmap
Cangrejos de Santurce,baseball,pitch,18.4173275,-66.0731279,,,PR,,false,true,false,openstreetmap
Estadio Adolfo Hanni Carillo,baseball,stadium,18.2091537,-65.7326942,,,PR,,false,true,false,openstreetmap
Estadio Carlos Román Brull,baseball,stadium,18.4492444,-66.3934768,,,PR,,false,true,false,openstreetmap
Estadio Concepción Pérez Alberto,baseball,stadium,18.3310215,-65.650479,,,PR,,false,true,false,openstreetmap
Estadio Donna Terry,baseball,pitch,18.3739703,-66.1105702,,,PR,,false,true,false,openstreetmap
Estadio Evelio Rivera Camacho,baseball,pitch,18.3343032,-66.1040337,,,PR,,false,true,false,openstreetmap
"Estadio Félix ""Nacho"" Millán Martínez",baseball,stadium,18.0456209,-65.8719906,,,PR,,false,true,false,openstreetmap
Estadio Hermanos Juan y Ernesto Miura,baseball,pitch,18.1381203,-67.1205029,,,PR,,false,true,false,openstreetmap
Estadio Hiram Bithorn Sosa,baseball,stadium,18.4168195,-66.0729761,,,PR,,false,true,false,openstreetmap
"Estadio I Luis A. ""Pegui"" Mercado Toro",baseball,pitch,18.0775396,-66.3673517,,,PR,,false,true,false,openstreetmap
Estadio II,baseball,pitch,18.0778239,-66.366762,,,PR,,false,true,false,openstreetmap
Estadio III,baseball,pitch,18.0773319,-66.3665205,,,PR,,false,true,false,openstreetmap
"Estadio José ""Pepito"" Bonano",baseball,pitch,18.3742097,-66.1121653,,,PR,,false,true,false,openstreetmap
Estadio Manuel González,baseball,stadium,17.9761401,-66.2943939,,,PR,,false,true,false,openstreetmap
Estadio Roberto Clemente Walker,baseball,stadium,18.37683,-65.9493243,,,PR,,false,true,false,openstreetmap
Estadio Yldefonso Solá Morales,baseball,stadium,18.2264225,-66.0342864,,,PR,,false,true,false,openstreetmap
Indios de Mayagüez,baseball,pitch,18.193016,-67.155063,,,PR,,false,true,false,openstreetmap
Parque Alexander Rivas Ramírez,baseball,pitch,18.0770826,-66.326519,,,PR,,false,true,false,openstreetmap
Parque Atlético de París,baseball,pitch,18.2044825,-67.1338949,,,PR,,false,true,false,openstreetmap
Parque Biffy Meléndez,baseball,pitch,18.5007834,-67.0161784,,,PR,,false,true,false,openstreetmap
Parque Brenda Liz Colón Figueroa,baseball,pitch,18.0483331,-66.036851,,,PR,,false,true,false,openstreetmap
Parque Canuto de León,baseball,pitch,18.1962071,-65.8131654,,,PR,,false,true,false,openstreetmap
Parque Celestino Román Lay,baseball,pitch,18.4743915,-66.3485814,,,PR,,false,true,false,openstreetmap
Parque Clemente de Jesús,baseball,pitch,18.2801264,-66.043253,,,PR,,false,true,false,openstreetmap
Parque Comunidad del Ceiba,baseball,pitch,18.422279,-65.8350858,,,PR,,false,true,false,openstreetmap
