name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
AT&T Field,baseball,pitch,35.0545309,-85.3140586,,,TN,,false,true,false,openstreetmap
Anglin Baseball Field,baseball,pitch,36.2988963,-82.2968238,,,TN,,false,true,false,openstreetmap
AutoZone Park,baseball,pitch,35.1428094,-90.0491713,,,TN,,false,true,false,openstreetmap
Averitt Baseball Complex,baseball,pitch,36.1776616,-85.5138092,,,TN,,false,true,false,openstreetmap
Baileyton Baseball Field,baseball,pitch,36.3341714,-82.8395798,,,TN,,false,true,false,openstreetmap
Baileyton Softball Field,baseball,pitch,36.3326961,-82.8393454,,,TN,,false,true,false,openstreetmap
Baseball Complex,baseball,pitch,36.2114108,-83.2637072,,,TN,,false,true,false,openstreetmap
Baseball Field 1,baseball,pitch,35.9216329,-88.7323592,,,TN,,false,true,false,openstreetmap
Baseball Field 2,baseball,pitch,35.9214637,-88.7313176,,,TN,,false,true,false,openstreetmap
Baseball field 2,baseball,pitch,35.9218775,-88.731015,,,TN,,false,true,false,openstreetmap
Bases Loaded,baseball,sports_centre,36.1881896,-85.4694636,,,TN,,false,true,false,openstreetmap
Bases Loaded,baseball,sports_centre,36.1883265,-85.4693113,,,TN,,false,true,false,openstreetmap
Baxter Field,baseball,stadium,36.1320093,-82.4099077,,,TN,,false,true,false,openstreetmap
Baylor 8th Grade field,baseball,pitch,35.0908612,-85.337611,,,TN,,false,true,false,openstreetmap
Baylor JV field,baseball,pitch,35.0906933,-85.338847,,,TN,,false,true,false,openstreetmap
Bayside Baptist Church Ball Field,baseball,pitch,35.1174531,-85.1251845,,,TN,,false,true,false,openstreetmap
Betty Basler Field (ETSU),baseball,pitch,36.2987807,-82.3807064,,,TN,,false,true,false,openstreetmap
Big Turtle Field,baseball,pitch,35.9922309,-84.3169587,,,TN,,false,true,false,openstreetmap
Bland Field,baseball,pitch,35.1278356,-89.9806868,,,TN,,false,true,false,openstreetmap
Blue Field,baseball,pitch,35.1842482,-89.8072069,,,TN,,false,true,false,openstreetmap
Bluff City Ball Park,baseball,pitch,36.4753922,-82.2649377,,,TN,,false,true,false,openstreetmap
Brentwood Academy,baseball,pitch,36.0320465,-86.8196698,,,TN,,false,true,false,openstreetmap
Brentwood Academy,baseball,pitch,36.0323652,-86.8216135,,,TN,,false,true,false,openstreetmap
Buc Baseball Field,baseball,pitch,35.1286444,-89.9783214,,,TN,,false,true,false,openstreetmap
