name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
1,baseball,pitch,33.0647561,-96.7773124,,,TX,,false,true,false,openstreetmap
10,baseball,pitch,30.4638554,-97.7706374,,,TX,,false,true,false,openstreetmap
12,baseball,pitch,30.4653694,-97.7720737,,,TX,,false,true,false,openstreetmap
13,baseball,pitch,30.4656173,-97.771436,,,TX,,false,true,false,openstreetmap
14,baseball,pitch,30.4656097,-97.770501,,,TX,,false,true,false,openstreetmap
15,baseball,pitch,30.4648525,-97.7700868,,,TX,,false,true,false,openstreetmap
2,baseball,pitch,33.063418,-96.7773267,,,TX,,false,true,false,openstreetmap
21,baseball,pitch,30.4627024,-97.7676191,,,TX,,false,true,false,openstreetmap
247 Line Drive,baseball,sports_centre,33.0994471,-96.6805692,,,TX,,false,true,false,openstreetmap
3,baseball,pitch,33.0613016,-96.7748508,,,TX,,false,true,false,openstreetmap
30,baseball,pitch,30.4600047,-97.7686777,,,TX,,false,true,false,openstreetmap
4,baseball,pitch,33.0612899,-96.7742583,,,TX,,false,true,false,openstreetmap
7,baseball,pitch,30.4629744,-97.7696171,,,TX,,false,true,false,openstreetmap
8,baseball,pitch,30.4628804,-97.7704475,,,TX,,false,true,false,openstreetmap
9,baseball,pitch,30.4634527,-97.7701524,,,TX,,false,true,false,openstreetmap
Abernathy Community Baseball Field #1,baseball,pitch,33.8299728,-101.851573,,,TX,,false,true,false,openstreetmap
Abernathy Community Baseball Field #2,baseball,pitch,33.8299729,-101.8528089,,,TX,,false,true,false,openstreetmap
Abernathy Community T-Ball Field,baseball,pitch,33.8328591,-101.8490695,,,TX,,false,true,false,openstreetmap
Abernathy ISD Baseball Field,baseball,pitch,33.8203965,-101.8378992,,,TX,,false,true,false,openstreetmap
Abilene Baseball Academy,baseball,pitch,32.4922344,-99.7175857,,,TX,,false,true,false,openstreetmap
Al Alford Field,baseball,pitch,33.2089397,-96.6321898,,,TX,,false,true,false,openstreetmap
