name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
1,baseball,pitch,37.3993624,-77.5068921,,,VA,,false,true,false,openstreetmap
10,baseball,pitch,37.4007005,-77.5029396,,,VA,,false,true,false,openstreetmap
2,baseball,pitch,37.399459,-77.5055617,,,VA,,false,true,false,openstreetmap
3,baseball,pitch,37.3985392,-77.5057372,,,VA,,false,true,false,openstreetmap
4,baseball,pitch,37.3985462,-77.5068541,,,VA,,false,true,false,openstreetmap
5,baseball,pitch,37.4006612,-77.5050027,,,VA,,false,true,false,openstreetmap
6,baseball,pitch,37.4016636,-77.5052601,,,VA,,false,true,false,openstreetmap
7,baseball,pitch,37.4017878,-77.5034348,,,VA,,false,true,false,openstreetmap
8,baseball,pitch,37.4020879,-77.5016399,,,VA,,false,true,false,openstreetmap
9,baseball,pitch,37.4009318,-77.5012467,,,VA,,false,true,false,openstreetmap
AA Field,baseball,pitch,37.5458419,-77.9192361,Tilman Road,,VA,,false,true,false,openstreetmap
Abingdon Little League,baseball,sports_centre,36.7107302,-81.9864009,,,VA,,false,true,false,openstreetmap
Ace's Diamond Field,baseball,pitch,37.5464973,-77.9186033,2320 Skaggs Road,,VA,,false,true,false,openstreetmap
Added Little Creek Pony Baseball Field,baseball,pitch,36.9210849,-76.1601447,,,VA,,false,true,false,openstreetmap
Adult Softball Field 1,baseball,pitch,38.4571524,-77.899378,,,VA,,false,true,false,openstreetmap
Adult Softball Field 2,baseball,pitch,38.4578967,-77.8980455,,,VA,,false,true,false,openstreetmap
Americana Park,baseball,pitch,38.8329198,-77.2208581,,,VA,,false,true,false,openstreetmap
Art Eagle Ball Field,baseball,pitch,38.9199862,-77.2074093,,,VA,,false,true,false,openstreetmap
Atkins Softball Field,baseball,pitch,37.1130751,-76.4326177,,,VA,,false,true,false,openstreetmap
Atlee Little League Ballfield,baseball,park,37.695209,-77.3909925,,,VA,,false,true,false,openstreetmap
Aux BB,baseball,pitch,38.4655225,-77.4588211,,,VA,,false,true,false,openstreetmap
Averett University Baseball Field,baseball,pitch,36.5982518,-79.4364327,,,VA,,false,true,false,openstreetmap
Averett University Baseball Field,baseball,pitch,36.5977606,-79.4382886,,,VA,,false,true,false,openstreetmap
BHS Baseball Field,baseball,pitch,38.608513,-78.7958985,,,VA,,false,true,false,openstreetmap
BWHS Baseball Field,baseball,pitch,38.9915761,-77.5341381,,,VA,,false,true,false,openstreetmap
BWHS Baseball Practice Field,baseball,pitch,38.991593,-77.5327577,,,VA,,false,true,false,openstreetmap
Bank of the James Stadium,baseball,pitch,37.3930663,-79.1655354,,,VA,,false,true,false,openstreetmap
Baseball,baseball,pitch,38.9609681,-77.7407246,,,VA,,false,true,false,openstreetmap
Baseball Diamond,baseball,pitch,37.2762905,-80.0196765,,,VA,,false,true,false,openstreetmap
Baseball Diamond 1,baseball,pitch,38.4710745,-77.5418097,,,VA,,false,true,false,openstreetmap
Baseball Diamond 2,baseball,pitch,38.4719374,-77.5423445,,,VA,,false,true,false,openstreetmap
Baseball Diamond 3,baseball,pitch,38.4717577,-77.5432475,,,VA,,false,true,false,openstreetmap
Baseball Diamond 4,baseball,pitch,38.4696271,-77.5413486,,,VA,,false,true,false,openstreetmap
Baseball Field 1,baseball,pitch,38.8444953,-77.5154339,,,VA,,false,true,false,openstreetmap
Baseball Field 5,baseball,pitch,38.8450572,-77.5180089,,,VA,,false,true,false,openstreetmap
Baseball Practice Field,baseball,pitch,38.8470078,-77.6313016,,,VA,,false,true,false,openstreetmap
Baseball Practice field,baseball,pitch,38.8878115,-77.4679174,,,VA,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,37.5714271,-77.5429267,,,VA,,false,true,false,openstreetmap
Batting Cages,baseball,pitch,38.4710906,-77.5433903,,,VA,,false,true,false,openstreetmap
Belle Meadows Field,baseball,pitch,36.6062745,-82.2035373,,,VA,,false,true,false,openstreetmap
Bernier Field,baseball,pitch,37.245438,-78.4578398,,,VA,,false,true,false,openstreetmap
Bishop Denis J O'Connell High School baseball field,baseball,pitch,38.8941945,-77.159438,,,VA,,false,true,false,openstreetmap
Blacksburg Parks and Recreation,baseball,pitch,37.2425218,-80.4115828,,,VA,,false,true,false,openstreetmap
Bob Huff Field,baseball,pitch,36.9128359,-82.0966408,,,VA,,false,true,false,openstreetmap
Bodie Grim Field,baseball,pitch,39.1771788,-78.1521812,,,VA,,false,true,false,openstreetmap
Bolter Field,baseball,pitch,36.9602598,-78.1141253,,,VA,,false,true,false,openstreetmap
Boyce Cox Field,baseball,pitch,36.6024562,-82.1993902,,,VA,,false,true,false,openstreetmap
Bradford Field,baseball,pitch,37.4034276,-79.159407,,,VA,,false,true,false,openstreetmap
Bridgeforth Field (SU),baseball,pitch,39.1763991,-78.1509699,,,VA,,false,true,false,openstreetmap
Broyles Field,baseball,pitch,36.866654,-76.1822114,,,VA,,false,true,false,openstreetmap
Buck Langhorne Field,baseball,pitch,37.4541583,-79.1919406,,,VA,,false,true,false,openstreetmap
