name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
#1,baseball,pitch,47.6266026,-122.0553768,,,WA,,false,true,false,openstreetmap
#2,baseball,pitch,47.6257081,-122.0553457,,,WA,,false,true,false,openstreetmap
1,baseball,pitch,47.6660724,-122.1209492,,,WA,,false,true,false,openstreetmap
1,baseball,pitch,46.6639806,-120.5244135,,,WA,,false,true,false,openstreetmap
1,baseball,pitch,47.5611777,-122.2857016,,,WA,,false,true,false,openstreetmap
1 (Jim Webster Memorial Field),baseball,pitch,47.3089109,-122.3186529,,,WA,,false,true,false,openstreetmap
2,baseball,pitch,47.6660554,-122.1225964,,,WA,,false,true,false,openstreetmap
2,baseball,pitch,47.3098215,-122.3188037,,,WA,,false,true,false,openstreetmap
2,baseball,pitch,46.6646925,-120.5240769,,,WA,,false,true,false,openstreetmap
2,baseball,pitch,47.562035,-122.2869841,,,WA,,false,true,false,openstreetmap
3,baseball,pitch,47.3099287,-122.3170935,,,WA,,false,true,false,openstreetmap
3,baseball,pitch,46.6645226,-120.5231069,,,WA,,false,true,false,openstreetmap
3,baseball,pitch,47.5620513,-122.2856994,,,WA,,false,true,false,openstreetmap
4,baseball,pitch,47.3089597,-122.3170608,,,WA,,false,true,false,openstreetmap
4,baseball,pitch,46.6638302,-120.5231944,,,WA,,false,true,false,openstreetmap
5,baseball,pitch,46.6644302,-120.5225524,,,WA,,false,true,false,openstreetmap
6,baseball,pitch,47.663131,-122.1086509,,,WA,,false,true,false,openstreetmap
6,baseball,pitch,46.6638052,-120.5258472,,,WA,,false,true,false,openstreetmap
7,baseball,pitch,47.6626036,-122.1070341,,,WA,,false,true,false,openstreetmap
7,baseball,pitch,46.6625358,-120.5258458,,,WA,,false,true,false,openstreetmap
8,baseball,pitch,47.6615429,-122.1069001,,,WA,,false,true,false,openstreetmap
Allan Yorke City Park Playfield,baseball,pitch,47.1910378,-122.1670236,,,WA,,false,true,false,openstreetmap
Alton R. Daniels Field,baseball,pitch,48.5110611,-122.6290582,,,WA,,false,true,false,openstreetmap
Arlington Heights Baseball Field,baseball,pitch,48.2067593,-122.064452,,,WA,,false,true,false,openstreetmap
Art Wright Field,baseball,pitch,47.3900046,-122.2295857,,,WA,,false,true,false,openstreetmap
Avista Stadium,baseball,stadium,47.6615459,-117.3446008,,,WA,,false,true,false,openstreetmap
BB/SB Field 1,baseball,pitch,47.3777264,-122.166052,,,WA,,false,true,false,openstreetmap
BB/SB Field 2,baseball,pitch,47.3783267,-122.1665275,,,WA,,false,true,false,openstreetmap
BB/SB Field 3,baseball,pitch,47.3789115,-122.1665579,,,WA,,false,true,false,openstreetmap
Badger NW Field,baseball,pitch,46.2373764,-119.279872,,,WA,,false,true,false,openstreetmap
Bailey-Brayton Field,baseball,pitch,46.7349641,-117.1552535,,,WA,,false,true,false,openstreetmap
Balch Fields,baseball,pitch,45.9265623,-122.7460412,,,WA,,false,true,false,openstreetmap
Ball Field,baseball,pitch,47.2133529,-121.0996732,,,WA,,false,true,false,openstreetmap
Ball Field #4,baseball,pitch,47.1931674,-122.1677223,,,WA,,false,true,false,openstreetmap
Ball Field 1,baseball,pitch,47.7356176,-122.1451646,,,WA,,false,true,false,openstreetmap
