name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
Appalachian Power Park,baseball,pitch,38.3490051,-81.6249573,,,WV,,false,true,false,openstreetmap
Barboursville Little League Baseball Fields,baseball,sports_centre,38.3936194,-82.3014449,,,WV,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,38.8158921,-81.698993,,,WV,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,38.8123506,-81.7026618,,,WV,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,38.6076154,-81.9940543,,,WV,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,40.4045384,-80.5750324,,,WV,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,38.4294513,-82.2087772,,,WV,,false,true,false,openstreetmap
Batting Cages,baseball,pitch,38.2522033,-81.5708902,,,WV,,false,true,false,openstreetmap
Batting Cages,baseball,pitch,37.8525449,-81.9961648,,,WV,,false,true,false,openstreetmap
Ben Morris Baseball Field,baseball,pitch,38.2517925,-81.5704704,,,WV,,false,true,false,openstreetmap
Berkeley Springs High School Baseball Field,baseball,pitch,39.618862,-78.2316446,,,WV,,false,true,false,openstreetmap
Bethany Park,baseball,pitch,40.202344,-80.5530426,,,WV,,false,true,false,openstreetmap
Boys and Girls Club of Parkersburg,baseball,pitch,39.261133,-81.5440671,,,WV,,false,true,false,openstreetmap
Braxton County High School Field,baseball,pitch,38.6848961,-80.6564955,,,WV,,false,true,false,openstreetmap
Buffalo High School Baseball Field,baseball,pitch,38.6076545,-81.993273,,,WV,,false,true,false,openstreetmap
Bullpen,baseball,pitch,38.6079084,-81.993769,,,WV,,false,true,false,openstreetmap
Bullpen,baseball,pitch,38.6080391,-81.9930916,,,WV,,false,true,false,openstreetmap
Bullpen,baseball,pitch,38.4294632,-82.2090773,,,WV,,false,true,false,openstreetmap
Bullpen,baseball,pitch,38.4300124,-82.2096806,,,WV,,false,true,false,openstreetmap
Calvin L. Bailey Baseball Field,baseball,pitch,38.3767048,-81.7678443,,,WV,,false,true,false,openstreetmap
Davis Field,baseball,pitch,39.1330136,-79.4743481,,,WV,,false,true,false,openstreetmap
Dunlop Hollow Ball Field,baseball,pitch,38.2567334,-81.6675524,,,WV,,false,true,false,openstreetmap
Ellis Field,baseball,pitch,39.6125285,-79.9574174,,,WV,,false,true,false,openstreetmap
Field 1,baseball,pitch,38.4095462,-82.4318496,,,WV,,false,true,false,openstreetmap
Field 2,baseball,pitch,38.4105931,-82.431891,,,WV,,false,true,false,openstreetmap
Fort Ashby Little League,baseball,pitch,39.5089214,-78.7716697,,,WV,,false,true,false,openstreetmap
Fort Ashby Little League,baseball,pitch,39.508634,-78.7709283,,,WV,,false,true,false,openstreetmap
Frank Loria Memorial Baseball Field,baseball,pitch,39.257789,-80.3195888,,,WV,,false,true,false,openstreetmap
George Ogden Field,baseball,pitch,39.6139888,-79.9584677,,,WV,,false,true,false,openstreetmap
