name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
"""Red"" Oberbruner Baseball Field",baseball,pitch,42.6404793,-87.8523089,,,WI,,false,true,false,openstreetmap
#1,baseball,pitch,43.0546512,-87.9235436,,,WI,,false,true,false,openstreetmap
#2,baseball,pitch,43.0552564,-87.9231932,,,WI,,false,true,false,openstreetmap
#3,baseball,pitch,43.0575505,-87.9222454,,,WI,,false,true,false,openstreetmap
#4,baseball,pitch,43.0580114,-87.9212179,,,WI,,false,true,false,openstreetmap
#5,baseball,pitch,43.0573875,-87.9205168,,,WI,,false,true,false,openstreetmap
1,baseball,pitch,42.9920006,-87.8913362,,,WI,,false,true,false,openstreetmap
1,baseball,pitch,42.9964433,-87.8910669,,,WI,,false,true,false,openstreetmap
2,baseball,pitch,42.9926706,-87.8917627,,,WI,,false,true,false,openstreetmap
2,baseball,pitch,42.996052,-87.891273,,,WI,,false,true,false,openstreetmap
3,baseball,pitch,42.991877,-87.8923607,,,WI,,false,true,false,openstreetmap
3,baseball,pitch,43.2402317,-88.2447205,,,WI,,false,true,false,openstreetmap
4,baseball,pitch,42.9911505,-87.8907114,,,WI,,false,true,false,openstreetmap
6,baseball,pitch,43.2381951,-88.246267,,,WI,,false,true,false,openstreetmap
7,baseball,pitch,43.2381138,-88.2450172,,,WI,,false,true,false,openstreetmap
ABC Supply Stadium,baseball,stadium,42.497377,-89.0403683,,,WI,,false,true,false,openstreetmap
Alumni Stadium and Tedeman Field,baseball,pitch,44.0224929,-88.5611504,,,WI,,false,true,false,openstreetmap
Baer Field,baseball,pitch,45.0042042,-92.6773319,,,WI,,false,true,false,openstreetmap
Baseball Diamond,baseball,pitch,42.9716727,-87.9616438,,,WI,,false,true,false,openstreetmap
Baseball Diamond,baseball,pitch,42.9612063,-87.8491471,,,WI,,false,true,false,openstreetmap
Baseball Diamond,baseball,pitch,44.2517333,-88.4846994,,,WI,,false,true,false,openstreetmap
Baseball Diamond,baseball,pitch,44.2645224,-88.4328304,,,WI,,false,true,false,openstreetmap
Baseball Field,baseball,pitch,42.8603555,-88.9101859,,,WI,,false,true,false,openstreetmap
Baseball/Softball,baseball,pitch,44.522301,-89.5411849,,,WI,,false,true,false,openstreetmap
Baseball/Softball Fields - G3,baseball,pitch,43.8223789,-91.2317884,,,WI,,false,true,false,openstreetmap
Baseball/Softball Fields - G3,baseball,pitch,43.8221889,-91.2332147,,,WI,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,44.302337,-88.3564493,,,WI,,false,true,false,openstreetmap
Batting Cage,baseball,pitch,44.264487,-88.4644123,,,WI,,false,true,false,openstreetmap
Batting Cages,baseball,pitch,42.5656103,-87.9563729,,,WI,,false,true,false,openstreetmap
