name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
Academy at the Lakes,basketball,pitch,28.1914248,-82.4367881,,,FL,,false,true,false,openstreetmap
Adele Place Basketball Court,basketball,pitch,28.5562294,-81.2876282,,,FL,,false,true,false,openstreetmap
Basket Ball,basketball,pitch,30.1957371,-81.8146172,,,FL,,false,true,false,openstreetmap
Basket Ball,basketball,pitch,30.1960052,-81.7978303,,,FL,,false,true,false,openstreetmap
Basketball,basketball,pitch,26.1767495,-80.258914,,,FL,,false,true,false,openstreetmap
Basketball Counrt Minneola Trailhead Park,basketball,pitch,28.572812,-81.7431122,,,FL,,false,true,false,openstreetmap
Basketball Court,basketball,pitch,27.9241608,-82.4905648,,,FL,,false,true,false,openstreetmap
Basketball Court,basketball,pitch,29.2863002,-81.0856181,,,FL,,false,true,false,openstreetmap
Basketball Court,basketball,pitch,28.3767177,-81.6747058,,,FL,,false,true,false,openstreetmap
Basketball Court 1,basketball,pitch,26.7942302,-80.3146669,,,FL,,false,true,false,openstreetmap
Basketball Court 2,basketball,pitch,26.7942253,-80.3144519,,,FL,,false,true,false,openstreetmap
Basketball Court @ Bayshore Gardens,basketball,pitch,27.4193604,-82.5872282,,,FL,,false,true,false,openstreetmap
Basketball Court at Knecht Park,basketball,pitch,28.0311653,-80.5966307,,,FL,,false,true,false,openstreetmap
Basketball Courts (3),basketball,pitch,26.5150681,-81.9280758,,,FL,,false,true,false,openstreetmap
Batting cages,basketball,pitch,25.6508013,-80.3306243,,,FL,,false,true,false,openstreetmap
Beacon Meadows Park,basketball,pitch,28.0536392,-82.5251433,,,FL,,false,true,false,openstreetmap
Ben Hill Middle School,basketball,pitch,28.0828058,-82.5354348,,,FL,,false,true,false,openstreetmap
Beverly Hills Basketball Court,basketball,pitch,28.9123081,-82.450633,,,FL,,false,true,false,openstreetmap
Billy Donovan Court,basketball,pitch,29.6494315,-82.3511317,,,FL,,true,false,false,openstreetmap
Boone Gymnasium,basketball,pitch,28.5180406,-81.3644812,,,FL,,false,true,false,openstreetmap
Brookside Manor Apartments,basketball,pitch,27.8873096,-82.2697492,,,FL,,false,true,false,openstreetmap
Carpenters Run,basketball,pitch,28.1817311,-82.4070708,,,FL,,false,true,false,openstreetmap
Carver CC Basketball Court,basketball,pitch,29.4633011,-81.2518753,,,FL,,false,true,false,openstreetmap
Chanute Basketball,basketball,pitch,29.1698715,-81.0401258,,,FL,,false,true,false,openstreetmap
Connerton Club House Basketball Court,basketball,pitch,28.2863672,-82.4655465,,,FL,,false,true,false,openstreetmap
Cornerstone Basketball Court,basketball,pitch,30.166869,-81.3705619,,,FL,,false,true,false,openstreetmap
Corry Village Basketball Court,basketball,pitch,29.6453523,-82.3615402,,,FL,,false,true,false,openstreetmap
Court A,basketball,pitch,28.0605531,-80.6798296,,,FL,,false,true,false,openstreetmap
