name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
1,basketball,pitch,40.8186671,-73.8706877,,,NY,,false,true,false,openstreetmap
1,basketball,pitch,40.8659761,-73.8972951,,,NY,,false,true,false,openstreetmap
2,basketball,pitch,40.8184706,-73.8705719,,,NY,,false,true,false,openstreetmap
2,basketball,pitch,40.8659,-73.8971209,,,NY,,false,true,false,openstreetmap
3,basketball,pitch,40.8184558,-73.8707536,,,NY,,false,true,false,openstreetmap
5th street basketball court,basketball,pitch,42.1362611,-77.0499066,,,NY,,false,true,false,openstreetmap
71st Street Basketball Courts,basketball,pitch,40.7804395,-73.9876901,,,NY,,false,true,false,openstreetmap
76th Street Basketball Courts,basketball,pitch,40.7831407,-73.9849923,,,NY,,false,true,false,openstreetmap
Activity Court,basketball,pitch,41.9879658,-74.5043094,,,NY,,false,true,false,openstreetmap
Activity-Athletic Center,basketball,sports_centre,40.7463961,-73.648333,,,NY,,false,true,false,openstreetmap
Albert M. White Gymnasium,basketball,sports_centre,42.6509975,-73.7786013,,,NY,,false,true,false,openstreetmap
Albertson Park Basketball Court,basketball,pitch,40.765152,-73.6507824,,,NY,,false,true,false,openstreetmap
Alfred E. Smith Outdoor Basketball Court,basketball,pitch,40.7122805,-73.9972808,,,NY,,false,true,false,openstreetmap
Basketball,basketball,pitch,43.0875171,-77.5166192,,,NY,,false,true,false,openstreetmap
Basketball Court,basketball,sports_centre,43.0170723,-78.967605,,,NY,,false,true,false,openstreetmap
Basketball Court,basketball,pitch,43.1245086,-73.7455981,,,NY,,false,true,false,openstreetmap
Basketball Court,basketball,pitch,40.6516417,-73.5616912,,,NY,,false,true,false,openstreetmap
Basketball Court,basketball,pitch,42.352656,-73.7967629,,,NY,,false,true,false,openstreetmap
Basketball Courts,basketball,pitch,42.6842671,-73.8311021,,,NY,,false,true,false,openstreetmap
Basketball Courts,basketball,pitch,42.5707449,-77.6956028,,,NY,,false,true,false,openstreetmap
Basketball Courts and Playground,basketball,pitch,41.0111764,-73.7839731,,,NY,,false,true,false,openstreetmap
Basketball courts,basketball,pitch,40.8375669,-73.9487918,,,NY,,false,true,false,openstreetmap
Basteball Court,basketball,pitch,41.2528483,-73.954268,,,NY,,false,true,false,openstreetmap
Bayport Commons Basketball Court,basketball,pitch,40.7385877,-73.0585659,,,NY,,false,true,false,openstreetmap
Bayville Community Center Basketball Court,basketball,pitch,40.9105101,-73.5726074,,,NY,,false,true,false,openstreetmap
Bob Lanier Court in the Reilly Center,basketball,stadium,42.0794954,-78.4849716,,,NY,,false,true,false,openstreetmap
Boces Basketball Court,basketball,pitch,42.1104691,-79.3880572,,,NY,,false,true,false,openstreetmap
Bronx Park Basketball Courts,basketball,pitch,40.8510706,-73.8704525,,,NY,,false,true,false,openstreetmap
Brooklyn Basketball Training Center,basketball,sports_centre,40.6837063,-73.9774625,,,NY,,false,true,false,openstreetmap
Camp Basketball Court,basketball,pitch,41.3095807,-73.571003,,,NY,,false,true,false,openstreetmap
Canal Street Basketball Court,basketball,pitch,40.7255976,-74.0115312,,,NY,,false,true,false,openstreetmap
Centre Island Beach Basketball Court,basketball,pitch,40.911624,-73.5327515,,,NY,,false,true,false,openstreetmap
Charles Vachris Basketball Court,basketball,pitch,40.810655,-73.6797036,,,NY,,false,true,false,openstreetmap
Chelsea Waterside Basketball Court,basketball,pitch,40.7495313,-74.0071679,,,NY,,false,true,false,openstreetmap
"Christopher ""Biggie"" Wallace Courts",basketball,sports_centre,40.6816592,-73.9594306,,,NY,,false,true,false,openstreetmap
Coral Park's Basketball Court,basketball,pitch,40.8440515,-73.3665353,,,NY,,false,true,false,openstreetmap
Donny’s Court,basketball,pitch,40.8578065,-73.6347644,,,NY,,false,true,false,openstreetmap
Erwin Park Basketball Court,basketball,pitch,43.4819392,-75.3271402,,,NY,,false,true,false,openstreetmap
Fastbreak Basketball Center,basketball,sports_centre,40.5205042,-74.2368806,,,NY,,false,true,false,openstreetmap
Forest Lake Camp basketball court,basketball,pitch,43.5626908,-73.7728691,,,NY,,false,true,false,openstreetmap
"Frank ""The Brick"" Brickowski Court",basketball,pitch,40.9045722,-73.5416294,,,NY,,false,true,false,openstreetmap
Garrett Dunsmoor Memorial Basketball Courts,basketball,pitch,43.4605501,-76.525279,,,NY,,false,true,false,openstreetmap
Gaynor Park Basketball Court,basketball,pitch,40.8751305,-73.1650072,,,NY,,false,true,false,openstreetmap
Granny Road Park Basketball Courts,basketball,pitch,40.8505433,-72.9587555,,,NY,,false,true,false,openstreetmap
Greg Marius Court,basketball,pitch,40.8295641,-73.9364599,,,NY,,false,true,false,openstreetmap
Gutenberg Playground,basketball,pitch,40.7634998,-73.9902521,,,NY,,false,true,false,openstreetmap
Handball Court,basketball,pitch,40.651497,-73.5619942,,,NY,,false,true,false,openstreetmap
Harrison Street Basketball Court,basketball,pitch,40.7187853,-74.0129472,,,NY,,false,true,false,openstreetmap
Hickory Hill Basketball Court,basketball,pitch,42.7426521,-78.7506585,,,NY,,false,true,false,openstreetmap
John Jay Basketball Courts,basketball,pitch,40.7689379,-73.949725,,,NY,,false,true,false,openstreetmap
JumpShotz,basketball,pitch,40.5351817,-74.2397842,,,NY,,false,true,false,openstreetmap
Kingdome,basketball,pitch,40.799678,-73.9490984,,,NY,,false,true,false,openstreetmap
Lakeside Commons,basketball,pitch,43.4439359,-76.5476035,,,NY,,false,true,false,openstreetmap
Lambert Basketball Court,basketball,pitch,42.4505812,-79.3311347,,,NY,,false,true,false,openstreetmap
Locust Lane Basketball Court,basketball,pitch,42.8572813,-73.8082903,,,NY,,false,true,false,openstreetmap
Longmeadow Estates Court,basketball,pitch,40.860097,-73.2797454,,,NY,,false,true,false,openstreetmap
Loop Road Athletic Complex,basketball,sports_centre,43.0575469,-75.4087571,,,NY,,false,true,false,openstreetmap
Marist College Basketball Court,basketball,pitch,41.7220387,-73.9279767,,,NY,,false,true,false,openstreetmap
Mazella Court,basketball,pitch,43.0633703,-76.1011194,,,NY,,false,true,false,openstreetmap
McDonough Field House,basketball,sports_centre,42.697054,-73.6818271,,,NY,,false,true,false,openstreetmap
Meadow Lakes Basketball,basketball,pitch,43.0143585,-78.6767752,,,NY,,false,true,false,openstreetmap
Memorial Park Basketball Court,basketball,pitch,41.0882295,-73.9162014,,,NY,,false,true,false,openstreetmap
NYC Parks,basketball,pitch,40.8204253,-73.9468372,,,NY,,false,true,false,openstreetmap
