name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
Cacha de Baloncesto,basketball,pitch,18.2950469,-67.2074583,,,PR,,false,true,false,openstreetmap
Cancha 2,basketball,pitch,18.4229274,-66.4745668,,,PR,,false,true,false,openstreetmap
"Cancha Abraham ""El Chino"" Ayala Díaz",basketball,pitch,18.3677373,-66.1429495,,,PR,,false,true,false,openstreetmap
"Cancha Abraham Alfonso ""Tito"" Pérez Rivera",basketball,pitch,18.3700971,-66.8252808,,,PR,,false,true,false,openstreetmap
"Cancha Adalberto ""Eto"" Siebens",basketball,pitch,18.0300687,-66.7903816,,,PR,,false,true,false,openstreetmap
Cancha Adecay,basketball,pitch,18.1190049,-66.1524002,,,PR,,false,true,false,openstreetmap
Cancha Alberto Zamot Bula,basketball,pitch,18.390807,-66.1417699,,,PR,,false,true,false,openstreetmap
Cancha Alcalde Leovigildo Cotte Torres,basketball,pitch,18.0353714,-67.0116142,,,PR,,false,true,false,openstreetmap
Cancha Aleina Ramírez González,basketball,pitch,17.9999998,-66.805656,,,PR,,false,true,false,openstreetmap
"Cancha Alfredo ""Dule"" Otero",basketball,pitch,18.330144,-66.4088353,,,PR,,false,true,false,openstreetmap
Cancha Ambrosio Medina Quintana,basketball,pitch,18.4587596,-66.9171238,,,PR,,false,true,false,openstreetmap
Cancha Amílcar Freddy Vélez,basketball,pitch,18.0781933,-66.9631514,,,PR,,false,true,false,openstreetmap
Cancha Anacleta Rosario Martínez,basketball,pitch,18.349548,-66.0818796,,,PR,,false,true,false,openstreetmap
"Cancha Anastacio ""Tato"" Pagán",basketball,pitch,18.3584387,-65.7861875,,,PR,,false,true,false,openstreetmap
Cancha Ancones,basketball,pitch,17.9911819,-66.0397038,,,PR,,false,true,false,openstreetmap
Cancha Ancones,basketball,pitch,18.0796206,-67.0442593,,,PR,,false,true,false,openstreetmap
"Cancha Andrés ""Corky"" Ortiz Colón",basketball,pitch,18.213714,-66.0719025,,,PR,,false,true,false,openstreetmap
Cancha Antonio Rivera Vázquez,basketball,pitch,18.3577127,-66.1466579,,,PR,,false,true,false,openstreetmap
Cancha Arleen Morales Colón,basketball,pitch,18.3101826,-66.161307,,,PR,,false,true,false,openstreetmap
"Cancha Asdruval Alvelo Pérez ""Faso""",basketball,pitch,18.2123721,-67.158748,,,PR,,false,true,false,openstreetmap
Cancha Atahualpa Torres Pacheco,basketball,pitch,18.0184075,-66.7936974,,,PR,,false,true,false,openstreetmap
Cancha Awilda Figueroa,basketball,pitch,18.231041,-66.0036803,,,PR,,false,true,false,openstreetmap
Cancha Bajo Techo - Palo Seco,basketball,pitch,18.4614609,-66.1443241,,,PR,,false,true,false,openstreetmap
"Cancha Bajo Techo Alexis ""Samú"" López",basketball,pitch,18.1647015,-65.7473746,,,PR,,false,true,false,openstreetmap
"Cancha Bajo Techo Efraín Ortiz ""Tato""",basketball,pitch,18.1477412,-65.847989,,,PR,,false,true,false,openstreetmap
"Cancha Bajo Techo Octavio ""Tulín"" Colón Tosado",basketball,pitch,18.3690882,-66.5219637,,,PR,,false,true,false,openstreetmap
Cancha Bajo Techo Profesor Raúl Papaleo,basketball,pitch,18.2276527,-66.0355385,,,PR,,false,true,false,openstreetmap
Cancha Bajo Techo de Cambalache,basketball,pitch,18.359832,-65.8827202,,,PR,,false,true,false,openstreetmap
Cancha Bajo Techo de Palmas Bajas,basketball,pitch,18.0128745,-66.118898,,,PR,,false,true,false,openstreetmap
Cancha Barahona,basketball,pitch,18.3540333,-66.4428033,,,PR,,false,true,false,openstreetmap
Cancha Belinda,basketball,pitch,17.9821798,-66.0553709,,,PR,,false,true,false,openstreetmap
"Cancha Benjamín ""Choby"" Ortiz",basketball,pitch,18.2600901,-66.1051391,,,PR,,false,true,false,openstreetmap
Cancha Benjamín Rosa Ortiz,basketball,pitch,18.1140519,-66.1699459,,,PR,,false,true,false,openstreetmap
Cancha Brisas,basketball,pitch,18.2395041,-66.1274154,,,PR,,false,true,false,openstreetmap
Cancha Bruno Cruz Malavé,basketball,pitch,18.1068452,-65.9641322,,,PR,,false,true,false,openstreetmap
Cancha Caracoles II,basketball,pitch,18.0527535,-66.7083649,,,PR,,false,true,false,openstreetmap
Cancha Caracoles III,basketball,pitch,18.0566267,-66.7167558,,,PR,,false,true,false,openstreetmap
"Cancha Carlos I. Rodríguez ""Carlitos""",basketball,pitch,18.3022651,-66.2451199,,,PR,,false,true,false,openstreetmap
Cancha Carlos Rentas Gallardo,basketball,pitch,18.0628646,-66.7107037,,,PR,,false,true,false,openstreetmap
"Cancha Carlos Wilfredo ""Benny"" Cortés Vázquez",basketball,pitch,18.2878367,-67.1411896,,,PR,,false,true,false,openstreetmap
Cancha Carmelo Anthony,basketball,pitch,18.4681807,-66.1135724,,,PR,,false,true,false,openstreetmap
Cancha Carmen Iris Pagán Colón,basketball,pitch,18.2225985,-66.0589885,,,PR,,false,true,false,openstreetmap
Cancha Carreras II,basketball,pitch,18.403058,-66.6823148,,,PR,,false,true,false,openstreetmap
Cancha Cañona,basketball,pitch,18.4033751,-65.9944884,,,PR,,false,true,false,openstreetmap
Cancha Cedro Abajo,basketball,pitch,18.2809761,-66.2718025,,,PR,,false,true,false,openstreetmap
Cancha Cibuco III,basketball,pitch,18.3305919,-66.3612172,,,PR,,false,true,false,openstreetmap
Cancha Cosme Antonio Ortiz Álvarez,basketball,pitch,18.0484383,-66.5478,,,PR,,false,true,false,openstreetmap
Cancha Cristian Agrón Orsini,basketball,pitch,18.289528,-67.189832,,,PR,,false,true,false,openstreetmap
"Cancha Cándido ""Cayito"" del Moral Millán",basketball,pitch,18.1546661,-65.826812,,,PR,,false,true,false,openstreetmap
"Cancha César ""Kory"" Vélez Rodríguez",basketball,pitch,18.0239543,-66.7856493,,,PR,,false,true,false,openstreetmap
Cancha César Torres López Jr.,basketball,pitch,18.0038045,-66.1119367,,,PR,,false,true,false,openstreetmap
