name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
3-Point Challenge,basketball,pitch,37.8392611,-77.4425402,,,VA,,false,true,false,openstreetmap
Antietam Basketball Court,basketball,pitch,38.6883577,-77.2981223,,,VA,,false,true,false,openstreetmap
Arlington County Basketball Court,basketball,pitch,38.8951746,-77.0768015,,,VA,,false,true,false,openstreetmap
Atkins Basketball Court,basketball,pitch,37.1138766,-76.4321343,,,VA,,false,true,false,openstreetmap
Basketball (2),basketball,pitch,38.7422852,-77.0590178,,,VA,,false,true,false,openstreetmap
Basketball (3),basketball,pitch,38.887941,-77.2750186,,,VA,,false,true,false,openstreetmap
Basketball Coourt,basketball,pitch,37.545369,-76.526844,,,VA,,false,true,false,openstreetmap
Basketball Court,basketball,pitch,37.4065332,-76.9356706,,,VA,,false,true,false,openstreetmap
Basketball Ct.,basketball,pitch,38.4152047,-78.8480809,,,VA,,false,true,false,openstreetmap
Belmont Trace Sport Court,basketball,pitch,38.971907,-77.5323873,,,VA,,false,true,false,openstreetmap
Blue Park Half Court,basketball,pitch,38.8082552,-77.0598461,,,VA,,false,true,false,openstreetmap
Botetourt County Parks and Recreation,basketball,pitch,37.3527972,-79.8334215,,,VA,,false,true,false,openstreetmap
Boys & Girls Club of Central Virginia,basketball,pitch,38.0764372,-78.5046423,,,VA,,false,true,false,openstreetmap
Boys & Girls Club of Central Virginia,basketball,pitch,38.0759938,-78.5059548,,,VA,,false,true,false,openstreetmap
Burke Centre Conservancy,basketball,pitch,38.7919562,-77.3092753,,,VA,,false,true,false,openstreetmap
Burke Centre Conservancy,basketball,pitch,38.795724,-77.3108979,,,VA,,false,true,false,openstreetmap
Burke Centre Conservancy,basketball,pitch,38.7844939,-77.2898723,,,VA,,false,true,false,openstreetmap
Chase View Basketball Court,basketball,pitch,39.0322811,-77.3875444,,,VA,,false,true,false,openstreetmap
Chimney Field basketball court,basketball,pitch,38.9333172,-78.2018429,,,VA,,false,true,false,openstreetmap
Clifton Town Park Basketball Court,basketball,pitch,38.7795685,-77.3874815,,,VA,,false,true,false,openstreetmap
