name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
Abbott Field,football,pitch,42.0313202,-88.3099762,,,IL,,false,true,false,openstreetmap
Almquist Field,football,pitch,41.4869475,-90.5742013,,,IL,,false,true,false,openstreetmap
April Zorn Memorial Stadium,football,pitch,40.9160525,-90.6376121,,,IL,,false,true,false,openstreetmap
Bears Turf,football,pitch,42.2447607,-89.1298735,,,IL,,false,true,false,openstreetmap
Becker Field,football,pitch,41.3029289,-88.1388343,,,IL,,false,true,false,openstreetmap
Bennett Field Stadium,football,pitch,41.8035699,-87.892647,,,IL,,false,true,false,openstreetmap
Bo Jacksons Elite Sports,football,pitch,41.5776692,-87.9964472,,,IL,,false,true,false,openstreetmap
Bob Yeazel Football Field,football,pitch,39.9694807,-87.8206234,,,IL,,false,true,false,openstreetmap
Boz Adams Field,football,pitch,37.8221784,-88.4312565,,,IL,,false,true,false,openstreetmap
Brigham Field,football,pitch,41.9339411,-88.7778127,,,IL,,false,true,false,openstreetmap
Brown County High School Football Field,football,pitch,39.9825081,-90.7507163,,,IL,,false,true,false,openstreetmap
Bruce R. Deaton Memorial Field,football,pitch,41.7083674,-87.7171607,,,IL,,false,true,false,openstreetmap
Byron Field,football,pitch,39.9520979,-89.5398109,,,IL,,false,true,false,openstreetmap
Carroll Kelly Field,football,pitch,38.0792477,-89.0662254,,,IL,,false,true,false,openstreetmap
Central Park Football Field,football,pitch,42.3480485,-88.037235,,,IL,,false,true,false,openstreetmap
Chap and Ethel Hutcheson Field,football,pitch,42.0573628,-87.6708273,,,IL,,false,true,false,openstreetmap
Chicago Bears,football,sports_centre,42.2546317,-87.8934495,,,IL,,false,true,false,openstreetmap
Chicago Bears Practice Field,football,pitch,42.2569586,-87.8940865,,,IL,,false,true,false,openstreetmap
Cornjerkers Football Field,football,pitch,40.4569999,-87.6630953,,,IL,,false,true,false,openstreetmap
Dancey Field,football,pitch,38.6628241,-88.4761653,,,IL,,false,true,false,openstreetmap
Duchon Field,football,pitch,41.8808712,-88.0606902,,,IL,,false,true,false,openstreetmap
Dupo High School Football Field,football,pitch,38.5111672,-90.2056256,,,IL,,false,true,false,openstreetmap
Ericson Field,football,pitch,41.5067296,-90.5488561,,,IL,,false,true,false,openstreetmap
Faith Hope Field,football,pitch,42.0951736,-87.7342028,,,IL,,false,true,false,openstreetmap
Farwell Field,football,pitch,42.2445953,-87.8332939,,,IL,,false,true,false,openstreetmap
Field 1,football,pitch,40.5975435,-89.4444091,,,IL,,false,true,false,openstreetmap
Field 14,football,pitch,42.2230885,-87.9532854,,,IL,,false,true,false,openstreetmap
Field 2,football,pitch,40.5967414,-89.4444063,,,IL,,false,true,false,openstreetmap
Firestone Football Field,football,pitch,39.8730523,-88.9254855,,,IL,,false,true,false,openstreetmap
Fornelli Field,football,pitch,41.8686378,-87.6531379,,,IL,,false,true,false,openstreetmap
Francis Field,football,pitch,38.8815035,-89.4084555,,,IL,,false,true,false,openstreetmap
Frank M Lindsay Field,football,pitch,39.8446108,-88.9743723,,,IL,,false,true,false,openstreetmap
Franklin Field,football,pitch,39.4400509,-90.8687941,,,IL,,false,true,false,openstreetmap
Glenbard East High School Football Field,football,pitch,41.8659303,-88.0224621,,,IL,,false,true,false,openstreetmap
Glenbrook North High School - Spartans,football,pitch,42.1117279,-87.8361066,,,IL,,false,true,false,openstreetmap
Greenville University Practice Football Field,football,pitch,38.8746802,-89.4040457,,,IL,,false,true,false,openstreetmap
Guilford High School Football Field,football,pitch,42.3008154,-89.0081004,,,IL,,false,true,false,openstreetmap
Hauser Field,football,pitch,38.9099371,-90.0649933,,,IL,,false,true,false,openstreetmap
Hinders Field,football,pitch,41.7767119,-89.711055,,,IL,,false,true,false,openstreetmap
Hoerster Field,football,pitch,42.0819614,-87.7597466,,,IL,,false,true,false,openstreetmap
Huskie Stadium,football,stadium,41.9340629,-88.7779745,,,IL,,false,true,false,openstreetmap
IC practice fields,football,pitch,39.7253975,-90.2418739,,,IL,,false,true,false,openstreetmap
ISD football field,football,pitch,39.7346333,-90.2567787,,,IL,,false,true,false,openstreetmap
Jackson Football Field,football,pitch,41.7816657,-87.5854457,,,IL,,false,true,false,openstreetmap
Jacksonville High School football field,football,pitch,39.7443536,-90.2321121,,,IL,,false,true,false,openstreetmap
Jerry Teegarden Memorial Field,football,pitch,40.6889794,-89.4973314,,,IL,,false,true,false,openstreetmap
Johnsburg High School Football Field,football,pitch,42.4046562,-88.2345125,,,IL,,false,true,false,openstreetmap
Ken Pickerill Stadium,football,pitch,41.6847985,-88.3386922,,,IL,,false,true,false,openstreetmap
Knosher Bowl,football,pitch,40.9393496,-90.3719282,,,IL,,false,true,false,openstreetmap
Kroehler Field,football,pitch,41.7694943,-88.1459919,,,IL,,false,true,false,openstreetmap
Langhorst Field,football,pitch,41.8974629,-87.9477681,,,IL,,false,true,false,openstreetmap
Lavelle Field,football,pitch,42.0024833,-88.1435182,,,IL,,false,true,false,openstreetmap
Leemon Football Field,football,pitch,38.6076087,-89.8128563,,,IL,,false,true,false,openstreetmap
Libertyville High School Football Stadium,football,pitch,42.2842917,-87.9634306,,,IL,,false,true,false,openstreetmap
Little Devils,football,pitch,38.532528,-90.024136,,,IL,,false,true,false,openstreetmap
Memorial Stadium Field,football,pitch,38.8709947,-90.0962526,,,IL,,false,true,false,openstreetmap
Milt Brown Stadium,football,pitch,42.287499,-88.8604921,,,IL,,false,true,false,openstreetmap
New Trier Township High School Football Stadium,football,stadium,42.092138,-87.7653598,,,IL,,false,true,false,openstreetmap
New Trier Township High School Practice Football Field,football,pitch,42.0920519,-87.7636785,,,IL,,false,true,false,openstreetmap
North Park Football Field,football,pitch,40.8671907,-89.6755333,,,IL,,false,true,false,openstreetmap
O'Brien Field,football,pitch,39.4804872,-88.1811524,,,IL,,false,true,false,openstreetmap
OTHS Football Field,football,pitch,38.5845065,-89.8994506,,,IL,,false,true,false,openstreetmap
Paris Cooperative High School Track and Field,football,stadium,39.6169624,-87.6899035,,,IL,,false,true,false,openstreetmap
Practice Field,football,pitch,41.7525936,-87.6873048,,,IL,,false,true,false,openstreetmap
Practice Field,football,pitch,39.9695063,-87.8195787,,,IL,,false,true,false,openstreetmap
Practice Field,football,pitch,42.0569331,-87.9319056,,,IL,,false,true,false,openstreetmap
Practice Football Field,football,pitch,41.7098385,-87.7175474,,,IL,,false,true,false,openstreetmap
Pretzel Stadium,football,pitch,42.2884208,-89.6271964,,,IL,,false,true,false,openstreetmap
Red Grange Field,football,pitch,41.834962,-88.1504628,,,IL,,false,true,false,openstreetmap
Robert Naughton Field,football,pitch,42.0922048,-87.7653393,,,IL,,false,true,false,openstreetmap
Robinson Maroons Football Field,football,pitch,39.0192334,-87.7382328,,,IL,,false,true,false,openstreetmap
Rotolo Middle School Football Field (Bulldogs),football,pitch,41.828992,-88.2913561,,,IL,,false,true,false,openstreetmap
Saluki Stadium,football,pitch,37.7086372,-89.2162153,,,IL,,false,true,false,openstreetmap
Sam Greenly Field,football,pitch,42.2670968,-89.0172583,,,IL,,false,true,false,openstreetmap
Stockton High School football field,football,pitch,42.3565751,-90.0099581,,,IL,,false,true,false,openstreetmap
Taft Varsity Field,football,pitch,41.9835973,-87.7889889,,,IL,,false,true,false,openstreetmap
Thomas Bradford Field,football,pitch,39.6819785,-88.3160923,,,IL,,false,true,false,openstreetmap
Trojan Practice Field,football,pitch,39.4888792,-88.1676002,,,IL,,false,true,false,openstreetmap
Tucci Stadium,football,stadium,40.4949322,-88.9889696,,,IL,,false,true,false,openstreetmap
Van Dyke Field,football,pitch,40.9645609,-90.3902415,,,IL,,false,true,false,openstreetmap
W.O. Smith Field,football,pitch,37.9198161,-89.8148078,,,IL,,false,true,false,openstreetmap
Weiss Field,football,pitch,42.3621698,-87.8568134,,,IL,,false,true,false,openstreetmap
West Chicago High School,football,pitch,41.8801933,-88.2083265,,,IL,,false,true,false,openstreetmap
Wheaton Rams,football,pitch,41.8690688,-88.1315461,,,IL,,false,true,false,openstreetmap
Yordon Center,football,sports_centre,41.9347917,-88.7777261,,,IL,,false,true,false,openstreetmap
York Community High School Field,football,pitch,41.8895722,-87.9508071,,,IL,,false,true,false,openstreetmap
Zuppke Field,football,pitch,40.0993061,-88.2359641,,,IL,,false,true,false,openstreetmap
Saluki Stadium,football,pitch,37.7085424,-89.216251,2 Arena Drive,Carbondale,IL,62901,false,true,false,openstreetmap
Gies Memorial Stadium,football,stadium,40.0992646,-88.2359599,1402 South First Street,Champaign,IL,61820,false,true,false,openstreetmap
Henry Dale & Betty Smith Football Center,football,pitch,40.0998778,-88.2341168,1700 South Fourth Street,Champaign,IL,61820,false,true,false,openstreetmap
Irwin Indoor Football Facility,football,sports_centre,40.1006644,-88.234173,301 Peabody Drive,Champaign,IL,61820,false,true,false,openstreetmap
DePaul College Prep Stadium,football,stadium,41.9432381,-87.6913847,West Melrose Street,Chicago,IL,60618,false,true,false,openstreetmap
Soldier Field,football,stadium,41.8624703,-87.616724,1410 South Special Olympics Drive,Chicago,IL,60605,false,true,false,openstreetmap
Stagg Field,football,pitch,41.7590809,-87.6504948,1035 West 74th Street,Chicago,IL,60621,false,true,false,openstreetmap
Chessick Practice Center,football,sports_centre,41.9352595,-88.7778666,1200 Stadium Drive North,DeKalb,IL,60115,false,true,false,openstreetmap
Ryan Field,football,pitch,42.0654138,-87.6924573,1501 Central Street,Evanston,IL,60201,false,true,false,openstreetmap
Bob Reade Field,football,pitch,41.4636511,-90.1534224,700 North State Street,Geneseo,IL,61254,false,true,false,openstreetmap
Hanson Field,football,pitch,40.4683917,-90.6841905,900 West Murray Street,Macomb,IL,61455,false,true,false,openstreetmap
