name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
Agassiz Field,football,pitch,47.2474478,-88.4492222,,,MI,,false,true,false,openstreetmap
Alvin Hossack Memorial Field,football,pitch,45.9977553,-84.3569777,,,MI,,false,true,false,openstreetmap
Andrae Field,football,pitch,43.1314049,-82.8021172,,,MI,,false,true,false,openstreetmap
Angell Field,football,pitch,42.2870329,-85.6076083,,,MI,,false,true,false,openstreetmap
BHS Stadium,football,pitch,42.5263599,-83.7990214,,,MI,,false,true,false,openstreetmap
Bellaire High School Football Field,football,pitch,44.9801123,-85.223244,,,MI,,false,true,false,openstreetmap
Bentley Field,football,pitch,42.3960043,-83.359631,,,MI,,false,true,false,openstreetmap
Black Field,football,pitch,43.1732987,-85.2556758,,,MI,,false,true,false,openstreetmap
Bob Hayes Athletic Field,football,pitch,43.181327,-83.8838769,,,MI,,false,true,false,openstreetmap
Bourdo Field,football,pitch,44.744772,-85.6486213,,,MI,,false,true,false,openstreetmap
Brigham Stadium,football,pitch,42.6681346,-84.0688298,,,MI,,false,true,false,openstreetmap
CHS Football Practice Field,football,pitch,42.7998667,-85.5213056,,,MI,,false,true,false,openstreetmap
Calvin Football Stadium,football,pitch,42.9359445,-85.5909174,,,MI,,false,true,false,openstreetmap
Carson Rizor Athletic Field,football,pitch,42.3257303,-85.1942016,,,MI,,false,true,false,openstreetmap
Cass Technical High School Athletic Field,football,pitch,42.3384164,-83.0617839,,,MI,,false,true,false,openstreetmap
Charlie Chircop Field,football,pitch,42.2749167,-83.258368,,,MI,,false,true,false,openstreetmap
Charlotte Junior Orioles athletic Field,football,pitch,42.5474783,-84.8341775,,,MI,,false,true,false,openstreetmap
Collins Field,football,pitch,43.0245443,-83.5216969,,,MI,,false,true,false,openstreetmap
Concordia Cardinals Football,football,pitch,42.275741,-83.6795903,,,MI,,false,true,false,openstreetmap
Crestwood Football,football,pitch,42.3222971,-83.295462,,,MI,,false,true,false,openstreetmap
Curtis Field,football,pitch,45.3574384,-84.9568189,,,MI,,false,true,false,openstreetmap
Davison Middle School Football Practice Field,football,pitch,43.0245716,-83.5249545,,,MI,,false,true,false,openstreetmap
Dearborn High School Football Field,football,pitch,42.3067195,-83.2625293,,,MI,,false,true,false,openstreetmap
Detroit Mercy Titan Field,football,pitch,42.4162437,-83.1359768,,,MI,,false,true,false,openstreetmap
Dickenson Stadium (St. Joseph High School),football,stadium,42.0889552,-86.4944437,,,MI,,false,true,false,openstreetmap
Divine Child Football,football,pitch,42.3188105,-83.2847724,,,MI,,false,true,false,openstreetmap
East Grand Rapids Football Stadium,football,pitch,42.9488538,-85.6125325,,,MI,,false,true,false,openstreetmap
Elbel Field,football,pitch,42.2732838,-83.7472557,,,MI,,false,true,false,openstreetmap
Falcon Stadium,football,pitch,42.8531063,-85.61674,,,MI,,false,true,false,openstreetmap
Fenton School's Football Field,football,pitch,42.7884899,-83.7338123,,,MI,,false,true,false,openstreetmap
Football Field,football,pitch,44.7485585,-85.0018721,,,MI,,false,true,false,openstreetmap
Football Practice Field,football,pitch,42.5949711,-83.3536711,,,MI,,false,true,false,openstreetmap
Ford Field,football,stadium,42.3399323,-83.0455749,,,MI,,false,true,false,openstreetmap
Fraser Public Schools,football,sports_centre,42.5474759,-82.9470426,,,MI,,false,true,false,openstreetmap
Fraser Public Schools,football,pitch,42.5516103,-82.948358,,,MI,,false,true,false,openstreetmap
Fraser Public Schools,football,pitch,42.5515884,-82.9474447,,,MI,,false,true,false,openstreetmap
Gaylord High School,football,pitch,45.0479053,-84.6689543,,,MI,,false,true,false,openstreetmap
Gilpin Memorial Field,football,pitch,45.4094167,-83.8079522,,,MI,,false,true,false,openstreetmap
Grand Blanc East Middle School Football Field,football,pitch,42.927718,-83.5879144,,,MI,,false,true,false,openstreetmap
Gwinn High School Stadium,football,pitch,46.2802504,-87.4307281,,,MI,,false,true,false,openstreetmap
HHS Football Practice Fields,football,pitch,43.4536542,-84.0186305,,,MI,,false,true,false,openstreetmap
