name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
A.L. May Memorial Stadium,football,pitch,30.7824199,-89.1452701,,,MS,,false,true,false,openstreetmap
Algie Davis Field,football,pitch,32.3253152,-88.5706382,,,MS,,false,true,false,openstreetmap
Bobby Franklin Stadium,football,pitch,34.6242835,-89.9768577,,,MS,,false,true,false,openstreetmap
Bobby Holcomb Field,football,pitch,34.3697871,-89.5057332,,,MS,,false,true,false,openstreetmap
Brandon High School Football,football,pitch,32.241109,-89.9775877,,,MS,,false,true,false,openstreetmap
Broad Street High School football field,football,pitch,33.9458897,-90.7609751,,,MS,,false,true,false,openstreetmap
Bruce Trojan Field,football,pitch,33.990565,-89.3345355,,,MS,,false,true,false,openstreetmap
Calhoun Academy,football,pitch,33.915235,-89.323849,,,MS,,false,true,false,openstreetmap
Clarkdale High School,football,pitch,32.2246227,-88.7027804,,,MS,,false,true,false,openstreetmap
Clinton Arrow Stadium,football,pitch,32.3635077,-90.3078873,,,MS,,false,true,false,openstreetmap
Crumpton Field,football,pitch,34.2100309,-90.6081631,,,MS,,false,true,false,openstreetmap
Davis Wade Stadium,football,stadium,33.4565012,-88.7933228,,,MS,,false,true,false,openstreetmap
Eaton  Field,football,pitch,34.2771216,-88.418462,,,MS,,false,true,false,openstreetmap
Enterprise High School,football,pitch,32.1720603,-88.8184885,,,MS,,false,true,false,openstreetmap
Florence High School Football Field,football,pitch,32.1581816,-90.1085619,,,MS,,false,true,false,openstreetmap
Football Field,football,pitch,33.442062,-90.5019167,,,MS,,false,true,false,openstreetmap
Football Field,football,pitch,33.4888882,-89.7344307,,,MS,,false,true,false,openstreetmap
Football Practice Fields,football,pitch,31.3312646,-89.3312904,,,MS,,false,true,false,openstreetmap
Football Practice Fields,football,pitch,33.7514842,-90.7402097,,,MS,,false,true,false,openstreetmap
Forrest County Agricultural High School,football,pitch,31.071801,-89.1877245,,,MS,,false,true,false,openstreetmap
Gardner Stadium,football,pitch,31.2488753,-89.8197794,,,MS,,false,true,false,openstreetmap
Gene Strickland Field,football,pitch,32.2698735,-89.9914722,,,MS,,false,true,false,openstreetmap
Harper Davis Field,football,pitch,32.3236121,-90.1808162,,,MS,,false,true,false,openstreetmap
High School Football Field,football,pitch,34.9490264,-88.9087305,,,MS,,false,true,false,openstreetmap
Hollingsworth Field,football,pitch,34.3619854,-89.5342008,,,MS,,false,true,false,openstreetmap
Jefferson Davis County High School,football,pitch,31.4952903,-89.7461589,,,MS,,false,true,false,openstreetmap
Jones County Junior College,football,pitch,31.5911077,-89.2041251,,,MS,,false,true,false,openstreetmap
Kitchens Field,football,pitch,34.4883587,-88.9995943,,,MS,,false,true,false,openstreetmap
Lee Street Field,football,pitch,30.4017392,-88.8808229,,,MS,,false,true,false,openstreetmap
MM Roberts Stadium,football,stadium,31.3288714,-89.3312617,,,MS,,false,true,false,openstreetmap
Mississippi Veterans Memorial Stadium,football,stadium,32.329634,-90.1797543,,,MS,,false,true,false,openstreetmap
Nanih Waiya Warriors Football Field,football,pitch,32.982002,-88.9024504,,,MS,,false,true,false,openstreetmap
North Forrest High School,football,pitch,31.4114212,-89.3300406,,,MS,,false,true,false,openstreetmap
Northwest Rankin Football Field,football,pitch,32.3593661,-89.9971812,,,MS,,false,true,false,openstreetmap
Old Pearl High School Field,football,pitch,32.2763523,-90.1305412,,,MS,,false,true,false,openstreetmap
Ole Miss Band Practice Field,football,pitch,34.363455,-89.5275836,,,MS,,false,true,false,openstreetmap
Outdoor Football Practice Fields,football,pitch,34.3608083,-89.5371523,,,MS,,false,true,false,openstreetmap
Outdoor Football Practice Fields,football,pitch,34.3616277,-89.5366689,,,MS,,false,true,false,openstreetmap
Panther Stadium,football,pitch,31.3532043,-89.206349,,,MS,,false,true,false,openstreetmap
Patriot Stadium,football,pitch,34.873563,-89.8703321,,,MS,,false,true,false,openstreetmap
Pearl Junior High Practice Field,football,pitch,32.2798153,-90.1060729,,,MS,,false,true,false,openstreetmap
Pirate Field at Ray Rogers Stadium,football,pitch,32.2725748,-90.0923075,,,MS,,false,true,false,openstreetmap
Poole Field,football,pitch,34.9509399,-89.8225661,,,MS,,false,true,false,openstreetmap
Practice Field,football,pitch,34.9489154,-88.9094866,,,MS,,false,true,false,openstreetmap
Practice Field,football,pitch,33.7617606,-89.8080058,,,MS,,false,true,false,openstreetmap
Practice Field,football,pitch,32.3600546,-89.9900794,,,MS,,false,true,false,openstreetmap
Pride Field,football,pitch,31.3308656,-89.3355403,,,MS,,false,true,false,openstreetmap
Ras Branch Field,football,pitch,32.9677345,-89.9163805,,,MS,,false,true,false,openstreetmap
Richton High School,football,pitch,31.3523989,-88.9437051,,,MS,,false,true,false,openstreetmap
Robert H. Dunlap Stadium,football,pitch,34.3218738,-89.9405828,,,MS,,false,true,false,openstreetmap
Russell Baptist Church,football,pitch,32.4002024,-88.5950642,,,MS,,false,true,false,openstreetmap
Scott Field,football,pitch,33.45634,-88.7933795,,,MS,,false,true,false,openstreetmap
Sullivan Windham Memorial Stadium,football,pitch,32.8276327,-88.4884947,,,MS,,false,true,false,openstreetmap
Sumrall High School,football,pitch,31.4217674,-89.5497348,,,MS,,false,true,false,openstreetmap
Tiger Stadium,football,pitch,34.6680979,-88.566402,,,MS,,false,true,false,openstreetmap
Travis E. Parker Field,football,pitch,33.7521151,-90.7382437,,,MS,,false,true,false,openstreetmap
Vaught-Hemingway Stadium,football,stadium,34.3619018,-89.5342349,,,MS,,false,true,false,openstreetmap
Warrior Field,football,pitch,31.3037181,-89.4075232,,,MS,,false,true,false,openstreetmap
Warrior Stadium,football,pitch,34.2503686,-88.9979133,,,MS,,false,true,false,openstreetmap
William L. Buford Stadium,football,pitch,34.3495003,-89.5012862,,,MS,,false,true,false,openstreetmap
