name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
Alan Slepman Football Field,football,pitch,40.2907982,-74.6098558,,,NJ,,false,true,false,openstreetmap
Alumni Field,football,pitch,40.6810968,-74.2384221,,,NJ,,false,true,false,openstreetmap
Alumni Football Field,football,pitch,40.8514749,-74.8195951,,,NJ,,false,true,false,openstreetmap
Bendorf-Narducci Memorial Field,football,stadium,39.8840792,-75.0764395,,,NJ,,false,true,false,openstreetmap
Bob Roggy Field,football,pitch,40.3808831,-74.1770212,,,NJ,,false,true,false,openstreetmap
Bonnel Field,football,pitch,40.8403064,-74.2949501,,,NJ,,false,true,false,openstreetmap
Bonnel Field Practice Field,football,pitch,40.8398946,-74.2957916,,,NJ,,false,true,false,openstreetmap
Brenner Family Field,football,pitch,40.5512873,-74.3726617,,,NJ,,false,true,false,openstreetmap
Broncos Stadium,football,pitch,41.0495823,-74.0473229,,,NJ,,false,true,false,openstreetmap
Cambell Field,football,pitch,40.345552,-74.6471417,,,NJ,,false,true,false,openstreetmap
Centennial Field,football,pitch,39.8944729,-75.0276651,,,NJ,,false,true,false,openstreetmap
Cougar Stadium,football,pitch,40.4180296,-74.7086132,,,NJ,,false,true,false,openstreetmap
Croydon Hall Football Field,football,pitch,40.4103941,-74.0538494,,,NJ,,false,true,false,openstreetmap
Davis Field,football,pitch,39.7360885,-75.1276533,,,NJ,,false,true,false,openstreetmap
Denny's Stadium,football,stadium,40.4402817,-74.3837764,,,NJ,,false,true,false,openstreetmap
Finney Field,football,pitch,40.3453266,-74.6477971,,,NJ,,false,true,false,openstreetmap
Florence Township Memorial High School Football Field,football,pitch,40.093626,-74.7922156,,,NJ,,false,true,false,openstreetmap
Football,football,pitch,40.9280276,-74.7319732,,,NJ,,false,true,false,openstreetmap
Football / Soccer Field,football,pitch,40.6251139,-74.5712612,,,NJ,,false,true,false,openstreetmap
Football Field,football,pitch,40.9461809,-74.2902882,,,NJ,,false,true,false,openstreetmap
Football Fields,football,pitch,41.0244491,-74.9505844,,,NJ,,false,true,false,openstreetmap
Football Stadium,football,pitch,41.0077469,-73.9785457,,,NJ,,false,true,false,openstreetmap
George P. Johnson Football Field,football,pitch,40.8669049,-74.3891127,,,NJ,,false,true,false,openstreetmap
John Basilone Memorial Field,football,pitch,40.5913964,-74.6280816,,,NJ,,false,true,false,openstreetmap
Jose Marti Recreational Ground,football,pitch,40.7664799,-74.0367669,,,NJ,,false,true,false,openstreetmap
Joseph De Virgilio Field,football,pitch,40.4296181,-74.1519422,,,NJ,,false,true,false,openstreetmap
Joseph P Cipolla Field,football,pitch,40.8088765,-74.1258002,,,NJ,,false,true,false,openstreetmap
Kessler Stadium,football,pitch,40.2793428,-74.0095085,,,NJ,,false,true,false,openstreetmap
Kiwanis Oval Field,football,pitch,40.8369185,-74.2753348,,,NJ,,false,true,false,openstreetmap
LaRosa Field,football,pitch,39.5016423,-74.8739236,,,NJ,,false,true,false,openstreetmap
Lancer Field,football,pitch,40.7848748,-74.3215856,,,NJ,,false,true,false,openstreetmap
Lee Field,football,pitch,40.6931564,-74.5457023,,,NJ,,false,true,false,openstreetmap
Lower 40 Practice Field,football,pitch,39.746461,-75.202237,,,NJ,,false,true,false,openstreetmap
MKA Van Brunt Field,football,pitch,40.8207682,-74.2261964,,,NJ,,false,true,false,openstreetmap
Mahwah High School Football Field,football,pitch,41.0922866,-74.1577005,,,NJ,,false,true,false,openstreetmap
Matawan Regional High School,football,pitch,40.4125321,-74.2216239,,,NJ,,false,true,false,openstreetmap
Memorial Field,football,pitch,40.6497825,-74.2893446,,,NJ,,false,true,false,openstreetmap
Memorial Field,football,pitch,40.9946195,-74.3387611,,,NJ,,false,true,false,openstreetmap
Memorial Park,football,pitch,40.783664,-74.0140782,,,NJ,,false,true,false,openstreetmap
Mercer Park Football Field,football,pitch,40.6915222,-74.102594,,,NJ,,false,true,false,openstreetmap
