name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
30 & 0 Field,football,pitch,40.2760074,-84.1747651,,,OH,,false,true,false,openstreetmap
Alexander Stadium,football,stadium,40.1624517,-84.2099161,,,OH,,false,true,false,openstreetmap
Alumni Field,football,pitch,40.8986958,-83.9008621,,,OH,,false,true,false,openstreetmap
Alumni Field,football,pitch,41.3756309,-81.6473572,,,OH,,false,true,false,openstreetmap
Arch McCartney Stadium,football,pitch,39.1244863,-84.6023989,,,OH,,false,true,false,openstreetmap
Arnold D. Stambaugh Stadium,football,stadium,41.1094875,-80.6495453,,,OH,,false,true,false,openstreetmap
Astro Stadium,football,stadium,39.4166986,-83.6514535,,,OH,,false,true,false,openstreetmap
Ballaban Field,football,pitch,39.2103399,-84.5061109,,,OH,,false,true,false,openstreetmap
Barnesville Football Field,football,pitch,39.9928132,-81.1807461,,,OH,,false,true,false,openstreetmap
Barnitz Stadium,football,stadium,39.5041464,-84.4140221,,,OH,,false,true,false,openstreetmap
Beachler Field,football,pitch,39.6446019,-84.2759975,,,OH,,false,true,false,openstreetmap
Beachwood Football Field,football,pitch,41.4824231,-81.499783,,,OH,,false,true,false,openstreetmap
Beacon Orthopaedics TriHealth Stadium,football,stadium,39.3472521,-84.3078463,,,OH,,false,true,false,openstreetmap
Beallsville Football Field,football,pitch,39.8471174,-81.0417439,,,OH,,false,true,false,openstreetmap
Beede Field,football,pitch,41.1094553,-80.6493365,,,OH,,false,true,false,openstreetmap
Ben Roethlisberger Field,football,pitch,39.5207471,-84.7332727,,,OH,,true,false,false,openstreetmap
Ben Rothlesberger Field,football,pitch,41.0834598,-83.6516491,,,OH,,false,true,false,openstreetmap
Bernlohr Stadium,football,stadium,39.9558279,-82.9346429,,,OH,,false,true,false,openstreetmap
Bexley Football Field,football,pitch,39.963324,-82.9289471,,,OH,,false,true,false,openstreetmap
Bill Kuntz Field,football,pitch,39.2560273,-84.7714242,,,OH,,false,true,false,openstreetmap
Bob Commings Field,football,pitch,40.87192,-81.3513723,,,OH,,false,true,false,openstreetmap
Bob Lutz Field,football,pitch,38.5255181,-82.6693149,,,OH,,false,true,false,openstreetmap
Bobcat Field,football,pitch,39.2596556,-84.2429839,,,OH,,false,true,false,openstreetmap
Boston Field,football,pitch,39.462209,-82.1906489,,,OH,,false,true,false,openstreetmap
Bowers Field,football,pitch,41.1581548,-81.3681787,,,OH,,false,true,false,openstreetmap
Bowling Green State University,football,pitch,41.379374,-83.6210839,,,OH,,false,true,false,openstreetmap
Bowling Green State University,football,pitch,41.3793632,-83.6203632,,,OH,,false,true,false,openstreetmap
Bowling Green State University,football,pitch,41.3793595,-83.619571,,,OH,,false,true,false,openstreetmap
Brechbuhler Stadium,football,pitch,40.7477255,-81.3716797,,,OH,,false,true,false,openstreetmap
Brooklyn Stadium,football,pitch,41.4337835,-81.7413344,,,OH,,false,true,false,openstreetmap
Brown Stadium,football,stadium,39.0681259,-84.3472962,,,OH,,false,true,false,openstreetmap
Brunswick Automart Stadium,football,stadium,41.243981,-81.8168101,,,OH,,false,true,false,openstreetmap
Brunswick Middle School Football Field,football,pitch,41.2352313,-81.8380459,,,OH,,false,true,false,openstreetmap
Buchtel High School Football Field,football,pitch,41.0875451,-81.5599457,,,OH,,false,true,false,openstreetmap
Buddy LaRosa Field,football,pitch,39.1871994,-84.5871212,,,OH,,false,true,false,openstreetmap
Byers Field,football,pitch,41.3818884,-81.7370232,,,OH,,false,true,false,openstreetmap
Castor Field,football,pitch,40.889127,-83.6533315,,,OH,,false,true,false,openstreetmap
Cats Stadium,football,pitch,41.7125939,-83.7133655,,,OH,,false,true,false,openstreetmap
Centerville Stadium,football,stadium,39.6233826,-84.1471459,,,OH,,false,true,false,openstreetmap
