name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
A.G. Cornog Stadium,football,stadium,39.9842606,-75.3044809,,,PA,,false,true,false,openstreetmap
Academy Park Football Field,football,pitch,39.9103975,-75.2687021,,,PA,,false,true,false,openstreetmap
Acker park football field,football,pitch,40.0446924,-75.647734,,,PA,,false,true,false,openstreetmap
Acrisure Stadium,football,stadium,40.4467298,-80.0158181,,,PA,,false,true,false,openstreetmap
Albert A. Garthwaite Stadium,football,stadium,40.0816698,-75.2959532,,,PA,,false,true,false,openstreetmap
Allisson Crane & Rigging Field,football,pitch,41.2621387,-76.96418,,,PA,,false,true,false,openstreetmap
Alumni Memorial Field,football,pitch,40.4382453,-75.3445434,,,PA,,false,true,false,openstreetmap
Ambridge High School Athletic Field,football,pitch,40.5912052,-80.2266854,,,PA,,false,true,false,openstreetmap
Andre Reed Field,football,pitch,40.5961501,-75.5015686,,,PA,,false,true,false,openstreetmap
Antimarino Stadium,football,pitch,40.4316096,-79.7564913,,,PA,,false,true,false,openstreetmap
Arnold Field,football,pitch,40.3347411,-76.5149559,Heisey Road,,PA,,false,true,false,openstreetmap
Arrow Field,football,pitch,40.0292838,-75.2050305,,,PA,,false,true,false,openstreetmap
Assumption Football Field,football,pitch,40.1594949,-74.9820068,,,PA,,false,true,false,openstreetmap
Athens Football Field,football,pitch,41.9689516,-76.5288699,,,PA,,false,true,false,openstreetmap
Avonworth Lenzner Field,football,pitch,40.5305083,-80.0815406,,,PA,,false,true,false,openstreetmap
Baron Field,football,pitch,40.1690031,-76.3909249,,,PA,,false,true,false,openstreetmap
Bender Field,football,sports_centre,41.6373966,-80.1359256,,,PA,,false,true,false,openstreetmap
Bethlehem Area School District Stadium,football,pitch,40.6297315,-75.3733978,,,PA,,false,true,false,openstreetmap
Blue Band Practice IM Fields,football,park,40.8103213,-77.8647462,,,PA,,false,true,false,openstreetmap
Bob Warke Field,football,pitch,40.6594155,-75.4880603,,,PA,,false,true,false,openstreetmap
Bobcat Stadium,football,pitch,40.0641584,-76.7129738,,,PA,,false,true,false,openstreetmap
Borek 13,football,pitch,40.7713632,-75.4155798,,,PA,,false,true,false,openstreetmap
Boyertown Senior High Memorial Stadium,football,stadium,40.3312188,-75.6271713,,,PA,,false,true,false,openstreetmap
Bruno Field,football,pitch,40.2605453,-79.7212802,,,PA,,false,true,false,openstreetmap
Bulldog Field,football,pitch,40.7631067,-75.616418,,,PA,,false,true,false,openstreetmap
