name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
Alderson Broaddus Multi Sport Performace Stadium,football,pitch,39.1562355,-80.0521745,,,WV,,false,true,false,openstreetmap
Barboursville Middle School Football Field,football,pitch,38.4022685,-82.29563,,,WV,,false,true,false,openstreetmap
Buffalo High School Football Field,football,pitch,38.6059683,-81.9946467,,,WV,,false,true,false,openstreetmap
Dow Field 2,football,pitch,38.3770221,-81.7601442,,,WV,,false,true,false,openstreetmap
Fawcett Field,football,pitch,40.0721296,-80.6945588,,,WV,,false,true,false,openstreetmap
Flint Field,football,pitch,38.6623057,-80.702163,,,WV,,false,true,false,openstreetmap
Frankfort Colts Football Field,football,pitch,39.5084369,-78.7716214,,,WV,,false,true,false,openstreetmap
George Byrer Field,football,pitch,39.1116222,-79.992134,,,WV,,false,true,false,openstreetmap
George Washington Middle School Football Field,football,pitch,38.536794,-81.924277,,,WV,,false,true,false,openstreetmap
Hampshire Little League,football,pitch,39.3447721,-78.7517375,,,WV,,false,true,false,openstreetmap
Harless Stadium,football,stadium,37.6382771,-82.0777762,,,WV,,false,true,false,openstreetmap
Hurricane Middle School Fototball Field,football,pitch,38.4273916,-82.0183034,,,WV,,false,true,false,openstreetmap
Joan C. Edwards Stadium,football,stadium,38.4248701,-82.421036,,,WV,,false,true,false,openstreetmap
Laidley Field,football,pitch,38.344247,-81.6151641,,,WV,,false,true,false,openstreetmap
Lakin Field,football,pitch,38.3761385,-81.7699111,,,WV,,false,true,false,openstreetmap
Melvin M Heiskell Field,football,pitch,39.6415694,-78.7691224,,,WV,,false,true,false,openstreetmap
Milan Puskar Stadium,football,stadium,39.6500953,-79.9550125,,,WV,,false,true,false,openstreetmap
Milton Football Field,football,pitch,38.4363737,-82.1362726,,,WV,,false,true,false,openstreetmap
Milton Middle School Football Field,football,pitch,38.4377101,-82.1488639,,,WV,,false,true,false,openstreetmap
Mountaineer Field at Milan Puskar Stadium,football,pitch,39.6502016,-79.9550648,,,WV,,false,true,false,openstreetmap
Notre Dame Field,football,pitch,39.288223,-80.343662,,,WV,,false,true,false,openstreetmap
Oak Hill Football Field,football,pitch,37.9762908,-81.1498644,,,WV,,false,true,false,openstreetmap
Oakes Field,football,pitch,38.3643204,-81.6981544,,,WV,,false,true,false,openstreetmap
Richwood High School Football Field,football,pitch,38.2252157,-80.5264917,,,WV,,false,true,false,openstreetmap
Robert C. Byrd Field,football,pitch,39.258463,-80.3462376,,,WV,,false,true,false,openstreetmap
Russek Football Field,football,stadium,40.1611324,-80.6019311,,,WV,,false,true,false,openstreetmap
Stadium Field,football,pitch,39.2787103,-81.546552,,,WV,,false,true,false,openstreetmap
Stydahar Field,football,pitch,39.3829421,-80.3086955,,,WV,,false,true,false,openstreetmap
Valley High School Football Field,football,pitch,38.1822574,-81.3119285,,,WV,,false,true,false,openstreetmap
WEMS Football Field,football,pitch,38.634759,-81.4030424,,,WV,,false,true,false,openstreetmap
Warrior Field,football,pitch,38.2090489,-81.5133144,,,WV,,false,true,false,openstreetmap
Wayne Jamison Football Field,football,pitch,39.2908336,-80.2650514,,,WV,,false,true,false,openstreetmap
Willis-Nisbet Stadium,football,pitch,37.8506988,-81.9947667,,,WV,,false,true,false,openstreetmap
Eagle Field,football,pitch,38.6959248,-80.6651184,,Sutton,WV,26601,false,true,false,openstreetmap
