name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
Chatsworth Park South Pickleball Courts,pickleball,pitch,34.2603016,-118.6159383,,,CA,,false,true,false,openstreetmap
Cornishon Pickleball Courts,pickleball,pitch,34.2044856,-118.2035072,,,CA,,false,true,false,openstreetmap
Crystyl Ranch Pickleball,pickleball,pitch,37.9321133,-121.9763295,,,CA,,false,true,false,openstreetmap
Demuth Pickeball Court,pickleball,pitch,33.8077833,-116.4981848,,,CA,,false,true,false,openstreetmap
Demuth Pickeball Court,pickleball,pitch,33.8077847,-116.4979882,,,CA,,false,true,false,openstreetmap
Demuth Pickeball Court,pickleball,pitch,33.8077858,-116.4977909,,,CA,,false,true,false,openstreetmap
Enchanted Valley Pickleball Court,pickleball,pitch,37.058754,-121.9420601,,,CA,,false,true,false,openstreetmap
Heritage Pickleball Court,pickleball,pitch,38.6822363,-121.5189977,,,CA,,false,true,false,openstreetmap
Montclair Pickleball Courts,pickleball,pitch,37.8286034,-122.2110962,,,CA,,false,true,false,openstreetmap
PickelBall,pickleball,pitch,33.9133692,-117.4984716,,,CA,,false,true,false,openstreetmap
Pickleball,pickleball,pitch,33.4530945,-117.0906718,,,CA,,false,true,false,openstreetmap
Pickleball Court,pickleball,pitch,33.9013393,-116.3644169,,,CA,,false,true,false,openstreetmap
Pickleball Courts,pickleball,pitch,37.9284467,-122.0244158,,,CA,,false,true,false,openstreetmap
The Hub,pickleball,sports_centre,37.2922116,-121.9390515,600 East Hamilton Avenue,,CA,95008,false,true,false,openstreetmap
pickleball courts,pickleball,pitch,34.2889785,-118.5819804,,,CA,,false,true,false,openstreetmap
Pickle Athletics,pickleball,sports_centre,37.8294815,-122.2640593,4000 Telegraph Avenue,Oakland,CA,,false,true,false,openstreetmap
Pickled Bar,pickleball,pitch,33.8038646,-116.39189,72680 Dinah Shore Drive,Palm Desert,CA,92211,false,true,false,openstreetmap
Municipal Tennis and Pickleball Center,pickleball,pitch,34.422793,-119.6628773,1414 Park Place,Santa Barbara,CA,93103,false,true,false,openstreetmap
Municipal Tennis and Pickleball Center,pickleball,pitch,34.4228154,-119.6627693,1414 Park Place,Santa Barbara,CA,93103,false,true,false,openstreetmap
Municipal Tennis and Pickleball Center,pickleball,pitch,34.4228399,-119.6626562,1414 Park Place,Santa Barbara,CA,93103,false,true,false,openstreetmap
Municipal Tennis and Pickleball Center,pickleball,pitch,34.4228621,-119.6625543,1414 Park Place,Santa Barbara,CA,93103,false,true,false,openstreetmap
Municipal Tennis and Pickleball Center,pickleball,pitch,34.4228905,-119.6624398,1414 Park Place,Santa Barbara,CA,93103,false,true,false,openstreetmap
Municipal Tennis and Pickleball Center,pickleball,pitch,34.422911,-119.6623359,1414 Park Place,Santa Barbara,CA,93103,false,true,false,openstreetmap
Municipal Tennis and Pickleball Center,pickleball,pitch,34.4226191,-119.6628227,1414 Park Place,Santa Barbara,CA,93103,false,true,false,openstreetmap
Municipal Tennis and Pickleball Center,pickleball,pitch,34.4226429,-119.6627155,1414 Park Place,Santa Barbara,CA,93103,false,true,false,openstreetmap
Municipal Tennis and Pickleball Center,pickleball,pitch,34.4226685,-119.6626036,1414 Park Place,Santa Barbara,CA,93103,false,true,false,openstreetmap
Municipal Tennis and Pickleball Center,pickleball,pitch,34.4226902,-119.6625017,1414 Park Place,Santa Barbara,CA,93103,false,true,false,openstreetmap
Municipal Tennis and Pickleball Center,pickleball,pitch,34.422723,-119.6623885,1414 Park Place,Santa Barbara,CA,93103,false,true,false,openstreetmap
Municipal Tennis and Pickleball Center,pickleball,pitch,34.4227442,-119.6622861,1414 Park Place,Santa Barbara,CA,93103,false,true,false,openstreetmap
The HUB Pickleball Club,pickleball,pitch,32.7477798,-116.9911337,9545 Campo Road,Spring Valley,CA,91977,false,true,false,openstreetmap
