name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
Bloomington Pickleball Court,pickleball,pitch,37.0532205,-113.5997617,,,UT,,false,true,false,openstreetmap
Clearfield City Pickleball Courts,pickleball,pitch,41.1190687,-112.0414243,,,UT,,false,true,false,openstreetmap
Clearfield City Pickleball Courts,pickleball,pitch,41.1195241,-112.0417018,,,UT,,false,true,false,openstreetmap
Clinton Pickleball Courts,pickleball,pitch,41.1476426,-112.0376702,,,UT,,false,true,false,openstreetmap
Elton Park Pickleball Courts,pickleball,pitch,40.5373264,-112.2870507,,,UT,,false,true,false,openstreetmap
Heritage Point Pickleball Court,pickleball,pitch,37.1251051,-113.634655,,,UT,,false,true,false,openstreetmap
High Star Ranch Pickleball Courts,pickleball,sports_centre,40.6616138,-111.2751103,,,UT,,false,true,false,openstreetmap
Huntsville Town Pickleball Courts,pickleball,pitch,41.2618302,-111.7688377,,,UT,,false,true,false,openstreetmap
Hurricane Pickleball Courts,pickleball,pitch,37.1757113,-113.291503,,,UT,,false,true,false,openstreetmap
Joule Plaza Pickleball,pickleball,pitch,37.107528,-113.5885929,,,UT,,false,true,false,openstreetmap
Layton City,pickleball,pitch,41.0747832,-111.933549,,,UT,,false,true,false,openstreetmap
Mountain Ridge Pickleball Court,pickleball,pitch,40.4203511,-111.7935721,,,UT,,false,true,false,openstreetmap
Oasis Palms Pickleball,pickleball,pitch,37.1139549,-113.6212112,,,UT,,false,true,false,openstreetmap
Pickleball Challenge,pickleball,pitch,40.9837545,-111.894322,,,UT,,false,true,false,openstreetmap
Pickleball Courts,pickleball,pitch,40.4693175,-111.9348744,,,UT,,false,true,false,openstreetmap
pickleball,pickleball,pitch,40.5064759,-111.4309118,,,UT,,false,true,false,openstreetmap
Premier Pickleball Club,pickleball,sports_centre,40.5310565,-112.0145519,5163 West Denali Park Drive,Herriman,UT,84096,false,true,false,openstreetmap
Black Desert Resort Pickleball Sports Complex,pickleball,sports_centre,37.1588447,-113.6560818,1500 East Black Desert Drive,Ivins,UT,84738,false,true,false,openstreetmap
The Picklr,pickleball,pitch,41.7620936,-111.8322457,1650 North Main Street,North Logan,UT,84341,false,true,false,openstreetmap
Club Pickleball USA,pickleball,pitch,40.5865748,-111.8966822,203 9000 South,Sandy,UT,,false,true,false,openstreetmap
The Picklr,pickleball,sports_hall,40.6267797,-111.9404665,6856 South Redwood Road,West Jordan,UT,84084,false,true,false,openstreetmap
