name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
#1,soccer,pitch,34.6994915,-86.6083402,,,AL,,false,true,false,openstreetmap
#10,soccer,pitch,34.7009925,-86.6058235,,,AL,,false,true,false,openstreetmap
#11,soccer,pitch,34.7047522,-86.6049613,,,AL,,false,true,false,openstreetmap
#12,soccer,pitch,34.7047384,-86.6040991,,,AL,,false,true,false,openstreetmap
#13,soccer,pitch,34.7047283,-86.6032322,,,AL,,false,true,false,openstreetmap
#14,soccer,pitch,34.7047177,-86.602366,,,AL,,false,true,false,openstreetmap
#15,soccer,pitch,34.7035342,-86.601555,,,AL,,false,true,false,openstreetmap
#16,soccer,pitch,34.7035439,-86.6024215,,,AL,,false,true,false,openstreetmap
#17,soccer,pitch,34.7035544,-86.6032849,,,AL,,false,true,false,openstreetmap
#18,soccer,pitch,34.7035674,-86.6041514,,,AL,,false,true,false,openstreetmap
#2,soccer,pitch,34.6994808,-86.6072397,,,AL,,false,true,false,openstreetmap
#3,soccer,pitch,34.7008844,-86.6089027,,,AL,,false,true,false,openstreetmap
#4,soccer,pitch,34.7007851,-86.6080149,,,AL,,false,true,false,openstreetmap
#5,soccer,pitch,34.7007741,-86.6071163,,,AL,,false,true,false,openstreetmap
#6,soccer,pitch,34.7021898,-86.6088142,,,AL,,false,true,false,openstreetmap
#7,soccer,pitch,34.7021898,-86.6078191,,,AL,,false,true,false,openstreetmap
#8,soccer,pitch,34.7020905,-86.6069701,,,AL,,false,true,false,openstreetmap
#9,soccer,pitch,34.7018754,-86.6060985,,,AL,,false,true,false,openstreetmap
1,soccer,pitch,34.4250052,-86.9433568,,,AL,,false,true,false,openstreetmap
2,soccer,pitch,34.4249166,-86.9426935,,,AL,,false,true,false,openstreetmap
3,soccer,pitch,34.4250146,-86.942035,,,AL,,false,true,false,openstreetmap
4,soccer,pitch,34.4250252,-86.9412964,,,AL,,false,true,false,openstreetmap
5,soccer,pitch,34.4250014,-86.9402335,,,AL,,false,true,false,openstreetmap
6,soccer,pitch,34.4249904,-86.9393484,,,AL,,false,true,false,openstreetmap
ASU Soccer Complex,soccer,pitch,32.3623061,-86.2889349,,,AL,,false,true,false,openstreetmap
Centerpoint Softball Park soccer field,soccer,pitch,33.6568245,-86.680639,,,AL,,false,true,false,openstreetmap
Field 1,soccer,pitch,34.7077166,-86.7354486,,,AL,,false,true,false,openstreetmap
Field 1,soccer,pitch,30.4076599,-87.7080392,,,AL,,false,true,false,openstreetmap
Field 1,soccer,pitch,33.3696818,-86.6602795,,,AL,,false,true,false,openstreetmap
Field 2,soccer,pitch,34.7088012,-86.7358919,,,AL,,false,true,false,openstreetmap
Field 2,soccer,pitch,30.4084668,-87.7080372,,,AL,,false,true,false,openstreetmap
Field 2,soccer,pitch,33.3597221,-86.5198367,,,AL,,false,true,false,openstreetmap
Field 2,soccer,pitch,33.3703712,-86.6602917,,,AL,,false,true,false,openstreetmap
Field 3,soccer,pitch,34.7095543,-86.7360628,,,AL,,false,true,false,openstreetmap
Field 3,soccer,pitch,30.4094337,-87.7079802,,,AL,,false,true,false,openstreetmap
Field 3,soccer,pitch,33.360014,-86.5201817,,,AL,,false,true,false,openstreetmap
Field 3,soccer,pitch,33.3716114,-86.6606142,,,AL,,false,true,false,openstreetmap
Field 4,soccer,pitch,34.7106185,-86.7359438,,,AL,,false,true,false,openstreetmap
Field 4,soccer,pitch,33.3727965,-86.6602137,,,AL,,false,true,false,openstreetmap
