name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
10A,soccer,pitch,34.0573641,-84.0535244,,,GA,,false,true,false,openstreetmap
10B,soccer,pitch,34.0573039,-84.053381,,,GA,,false,true,false,openstreetmap
11A,soccer,pitch,34.0570423,-84.0532645,,,GA,,false,true,false,openstreetmap
11B,soccer,pitch,34.0569821,-84.0531212,,,GA,,false,true,false,openstreetmap
12A,soccer,pitch,34.0571913,-84.0536298,,,GA,,false,true,false,openstreetmap
12B,soccer,pitch,34.0571311,-84.0534865,,,GA,,false,true,false,openstreetmap
13A,soccer,pitch,34.0577549,-84.0521054,,,GA,,false,true,false,openstreetmap
13B,soccer,pitch,34.0576859,-84.0519137,,,GA,,false,true,false,openstreetmap
14A,soccer,pitch,34.0579834,-84.0519881,,,GA,,false,true,false,openstreetmap
14B,soccer,pitch,34.0579144,-84.0517963,,,GA,,false,true,false,openstreetmap
15A,soccer,pitch,34.0582161,-84.0518668,,,GA,,false,true,false,openstreetmap
15B,soccer,pitch,34.0581471,-84.0516751,,,GA,,false,true,false,openstreetmap
16A,soccer,pitch,34.0580783,-84.0525934,,,GA,,false,true,false,openstreetmap
16A,soccer,pitch,34.0579223,-84.0526754,,,GA,,false,true,false,openstreetmap
16B,soccer,pitch,34.0579905,-84.0523477,,,GA,,false,true,false,openstreetmap
16B,soccer,pitch,34.0578345,-84.0524298,,,GA,,false,true,false,openstreetmap
17A,soccer,pitch,34.0584036,-84.0524232,,,GA,,false,true,false,openstreetmap
17A,soccer,pitch,34.0582466,-84.0525058,,,GA,,false,true,false,openstreetmap
17B,soccer,pitch,34.0581588,-84.0522601,,,GA,,false,true,false,openstreetmap
17B,soccer,pitch,34.0583157,-84.0521775,,,GA,,false,true,false,openstreetmap
18A,soccer,pitch,34.0582715,-84.0531426,,,GA,,false,true,false,openstreetmap
18A,soccer,pitch,34.0581156,-84.0532247,,,GA,,false,true,false,openstreetmap
18B,soccer,pitch,34.0581837,-84.0528969,,,GA,,false,true,false,openstreetmap
18B,soccer,pitch,34.0580278,-84.052979,,,GA,,false,true,false,openstreetmap
19A,soccer,pitch,34.0584398,-84.053055,,,GA,,false,true,false,openstreetmap
19A,soccer,pitch,34.0585968,-84.0529724,,,GA,,false,true,false,openstreetmap
19B,soccer,pitch,34.058509,-84.0527267,,,GA,,false,true,false,openstreetmap
19B,soccer,pitch,34.058352,-84.0528093,,,GA,,false,true,false,openstreetmap
1A,soccer,pitch,34.0569198,-84.0527393,,,GA,,false,true,false,openstreetmap
1B,soccer,pitch,34.0568327,-84.0527797,,,GA,,false,true,false,openstreetmap
2A,soccer,pitch,34.0568657,-84.052553,,,GA,,false,true,false,openstreetmap
2B,soccer,pitch,34.0567787,-84.0525933,,,GA,,false,true,false,openstreetmap
3,soccer,pitch,33.969575,-84.1870951,,,GA,,false,true,false,openstreetmap
3A,soccer,pitch,34.0571591,-84.0526238,,,GA,,false,true,false,openstreetmap
3B,soccer,pitch,34.0570721,-84.0526641,,,GA,,false,true,false,openstreetmap
4,soccer,pitch,33.9677266,-84.1886872,,,GA,,false,true,false,openstreetmap
4A,soccer,pitch,34.057102,-84.0524449,,,GA,,false,true,false,openstreetmap
4B,soccer,pitch,34.0570149,-84.0524852,,,GA,,false,true,false,openstreetmap
5,soccer,pitch,33.968534,-84.1892824,,,GA,,false,true,false,openstreetmap
5A,soccer,pitch,34.0573666,-84.0529956,,,GA,,false,true,false,openstreetmap
5B,soccer,pitch,34.0573192,-84.0528821,,,GA,,false,true,false,openstreetmap
6A,soccer,pitch,34.0575579,-84.0531211,,,GA,,false,true,false,openstreetmap
6B,soccer,pitch,34.0574748,-84.0531722,,,GA,,false,true,false,openstreetmap
7A,soccer,pitch,34.057608,-84.0532399,,,GA,,false,true,false,openstreetmap
7B,soccer,pitch,34.057525,-84.0532909,,,GA,,false,true,false,openstreetmap
8A,soccer,pitch,34.0576578,-84.053356,,,GA,,false,true,false,openstreetmap
8B,soccer,pitch,34.0575747,-84.0534071,,,GA,,false,true,false,openstreetmap
9A,soccer,pitch,34.0572191,-84.053161,,,GA,,false,true,false,openstreetmap
9B,soccer,pitch,34.0571589,-84.0530178,,,GA,,false,true,false,openstreetmap
Adrian's Soccer,soccer,pitch,33.917806,-84.1157779,,,GA,,false,true,false,openstreetmap
