name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
AMAX Soccer Fields,soccer,pitch,37.9697431,-87.3563458,,,IN,,false,true,false,openstreetmap
Alumni Stadium,soccer,stadium,41.6976519,-86.2289792,,,IN,,false,true,false,openstreetmap
Athletic & Recreation Multi-Purpose Field,soccer,pitch,37.9530201,-87.6730076,,,IN,,false,true,false,openstreetmap
Athletic & Recreation Multi-Purpose Field,soccer,pitch,37.9530222,-87.6740483,,,IN,,false,true,false,openstreetmap
BBC Field 1,soccer,pitch,39.4342081,-87.375975,,,IN,,false,true,false,openstreetmap
Ballard Fields,soccer,pitch,40.5597,-85.6498731,,,IN,,false,true,false,openstreetmap
Bellmont Middle School Soccer Field,soccer,pitch,40.834451,-84.9053674,,,IN,,false,true,false,openstreetmap
Bellmont Soccer Field,soccer,pitch,40.8353431,-84.9133931,,,IN,,false,true,false,openstreetmap
Bellmont Soccer Field,soccer,pitch,40.8344439,-84.9134042,,,IN,,false,true,false,openstreetmap
Bellmont Soccer Field,soccer,pitch,40.8344206,-84.9140446,,,IN,,false,true,false,openstreetmap
Bellmont Soccer Field,soccer,pitch,40.8341025,-84.9146123,,,IN,,false,true,false,openstreetmap
Bethesda Soccer fields,soccer,pitch,39.8769047,-86.413553,,,IN,,false,true,false,openstreetmap
CAT Park,soccer,sports_centre,40.4048367,-86.8459724,,,IN,,false,true,false,openstreetmap
Camp Tecumseh,soccer,pitch,40.601602,-86.7593406,,,IN,,false,true,false,openstreetmap
Cardinal Soccer Field,soccer,pitch,39.9421455,-85.3883665,,,IN,,false,true,false,openstreetmap
Carmel Clay Community Soccer Complex,soccer,pitch,39.9691598,-86.2111555,,,IN,,false,true,false,openstreetmap
Carmel Clay Community Soccer Complex,soccer,pitch,39.9664533,-86.2108058,,,IN,,false,true,false,openstreetmap
Coonan Field,soccer,pitch,41.0865931,-85.1820158,,,IN,,false,true,false,openstreetmap
Covington HS Soccer Field,soccer,pitch,40.1490956,-87.3908311,,,IN,,false,true,false,openstreetmap
Davidson Fields,soccer,sports_centre,40.3615133,-86.8888827,,,IN,,false,true,false,openstreetmap
