name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
#1,soccer,pitch,38.5467199,-90.4386008,,,MO,,false,true,false,openstreetmap
#2,soccer,pitch,38.5478192,-90.4394011,,,MO,,false,true,false,openstreetmap
#3,soccer,pitch,38.5478471,-90.4385099,,,MO,,false,true,false,openstreetmap
#4,soccer,pitch,38.5467283,-90.4376501,,,MO,,false,true,false,openstreetmap
#5,soccer,pitch,38.5456133,-90.4384523,,,MO,,false,true,false,openstreetmap
#6,soccer,pitch,38.5457281,-90.4375284,,,MO,,false,true,false,openstreetmap
1,soccer,pitch,38.9389463,-94.3120613,,,MO,,false,true,false,openstreetmap
10,soccer,pitch,38.9405211,-94.3138619,,,MO,,false,true,false,openstreetmap
11,soccer,pitch,38.9413643,-94.3130479,,,MO,,false,true,false,openstreetmap
12,soccer,pitch,38.9404263,-94.3124809,,,MO,,false,true,false,openstreetmap
2,soccer,pitch,38.9388304,-94.3105266,,,MO,,false,true,false,openstreetmap
3,soccer,pitch,38.9387531,-94.3095891,,,MO,,false,true,false,openstreetmap
4,soccer,pitch,38.93884,-94.3083516,,,MO,,false,true,false,openstreetmap
5,soccer,pitch,38.9399091,-94.3111761,,,MO,,false,true,false,openstreetmap
6,soccer,pitch,38.9397565,-94.3092077,,,MO,,false,true,false,openstreetmap
7,soccer,pitch,38.9405625,-94.3111124,,,MO,,false,true,false,openstreetmap
8,soccer,pitch,38.9404737,-94.3096278,,,MO,,false,true,false,openstreetmap
9,soccer,pitch,38.9401564,-94.3148051,,,MO,,false,true,false,openstreetmap
Amherst Field,soccer,pitch,38.6673208,-90.2904719,,,MO,,false,true,false,openstreetmap
Bearcat Pitch,soccer,pitch,40.3513448,-94.8916231,,,MO,,false,true,false,openstreetmap
Berra Park Soccer Field,soccer,pitch,38.6179623,-90.2782368,,,MO,,false,true,false,openstreetmap
Betty and Bobby Allison Recreation Fields,soccer,stadium,37.2031521,-93.277063,,,MO,,false,true,false,openstreetmap
Blackwell Field,soccer,pitch,39.7341332,-91.3934891,,,MO,,false,true,false,openstreetmap
Blue #1,soccer,pitch,39.4214697,-92.4795884,,,MO,,false,true,false,openstreetmap
Blue #2,soccer,pitch,39.4214668,-92.4787291,,,MO,,false,true,false,openstreetmap
Blue #3,soccer,pitch,39.4214641,-92.4779147,,,MO,,false,true,false,openstreetmap
Blue 3 Field,soccer,pitch,38.9412571,-92.766744,,,MO,,false,true,false,openstreetmap
Blue Springs South HS Soccer Field,soccer,pitch,39.0020267,-94.2492449,,,MO,,false,true,false,openstreetmap
C-1,soccer,pitch,38.9702933,-92.361245,,,MO,,false,true,false,openstreetmap
C-10,soccer,pitch,38.976452,-92.3639816,,,MO,,false,true,false,openstreetmap
C-11,soccer,pitch,38.9757926,-92.3639527,,,MO,,false,true,false,openstreetmap
C-12,soccer,pitch,38.9737495,-92.3638864,,,MO,,false,true,false,openstreetmap
C-13,soccer,pitch,38.9703992,-92.3642888,,,MO,,false,true,false,openstreetmap
C-14,soccer,pitch,38.9707281,-92.365484,,,MO,,false,true,false,openstreetmap
C-15,soccer,pitch,38.9710277,-92.3665666,,,MO,,false,true,false,openstreetmap
C-16/17,soccer,pitch,38.9700492,-92.3660035,,,MO,,false,true,false,openstreetmap
C-18,soccer,pitch,38.9688704,-92.3637238,,,MO,,false,true,false,openstreetmap
C-19,soccer,pitch,38.9689214,-92.3622991,,,MO,,false,true,false,openstreetmap
C-2,soccer,pitch,38.9713947,-92.3613429,,,MO,,false,true,false,openstreetmap
C-3,soccer,pitch,38.971401,-92.3623542,,,MO,,false,true,false,openstreetmap
C-4,soccer,pitch,38.9728939,-92.36174,,,MO,,false,true,false,openstreetmap
C-5,soccer,pitch,38.9740006,-92.3615974,,,MO,,false,true,false,openstreetmap
C-6,soccer,pitch,38.9751994,-92.3620737,,,MO,,false,true,false,openstreetmap
C-7,soccer,pitch,38.9733739,-92.3628384,,,MO,,false,true,false,openstreetmap
C-8,soccer,pitch,38.9743157,-92.3628853,,,MO,,false,true,false,openstreetmap
C-9,soccer,pitch,38.9771188,-92.3640108,,,MO,,false,true,false,openstreetmap
Cadet Park Soccer Field,soccer,pitch,38.6431452,-90.4680523,,,MO,,false,true,false,openstreetmap
Cardinal Field,soccer,pitch,37.8440316,-90.4796568,,,MO,,false,true,false,openstreetmap
Chaminade Sports Field,soccer,pitch,38.6509157,-90.4117079,,,MO,,false,true,false,openstreetmap
ChaminadeSoccer Field,soccer,pitch,38.6511136,-90.408889,,,MO,,false,true,false,openstreetmap
Children's Mercy Victory Field,soccer,pitch,39.0113116,-94.5202106,,,MO,,false,true,false,openstreetmap
Columbia Pride Soccer Complex,soccer,sports_centre,39.0016019,-92.3074761,,,MO,,false,true,false,openstreetmap
Creve Coeur Championship Field 1,soccer,pitch,38.7172375,-90.4916393,,,MO,,false,true,false,openstreetmap
Creve Coeur Field 10,soccer,pitch,38.7146841,-90.4918695,,,MO,,false,true,false,openstreetmap
Creve Coeur Field 11,soccer,pitch,38.7148009,-90.4928017,,,MO,,false,true,false,openstreetmap
Creve Coeur Field 12,soccer,pitch,38.7136768,-90.4920776,,,MO,,false,true,false,openstreetmap
Creve Coeur Field 13,soccer,pitch,38.7137898,-90.493027,,,MO,,false,true,false,openstreetmap
Creve Coeur Field 2,soccer,pitch,38.716751,-90.490493,,,MO,,false,true,false,openstreetmap
Creve Coeur Field 3,soccer,pitch,38.7177913,-90.4902805,,,MO,,false,true,false,openstreetmap
Creve Coeur Field 4,soccer,pitch,38.71767,-90.489331,,,MO,,false,true,false,openstreetmap
Creve Coeur Field 5,soccer,pitch,38.716638,-90.4895436,,,MO,,false,true,false,openstreetmap
Creve Coeur Field 6,soccer,pitch,38.7143968,-90.4895214,,,MO,,false,true,false,openstreetmap
Creve Coeur Field 7,soccer,pitch,38.7133336,-90.4897521,,,MO,,false,true,false,openstreetmap
Creve Coeur Field 8,soccer,pitch,38.7134508,-90.4906908,,,MO,,false,true,false,openstreetmap
Creve Coeur Field 9,soccer,pitch,38.7145079,-90.4904651,,,MO,,false,true,false,openstreetmap
Creve Coeur Field A Grass,soccer,pitch,38.7183816,-90.4919726,,,MO,,false,true,false,openstreetmap
Creve Coeur Field B Grass,soccer,pitch,38.7183093,-90.4913792,,,MO,,false,true,false,openstreetmap
Czapla Field,soccer,pitch,38.5897657,-90.4231062,,,MO,,false,true,false,openstreetmap
DeSoto Park Soccer Fields,soccer,pitch,38.639729,-90.2066891,,,MO,,false,true,false,openstreetmap
Eureka High School Soccer Field,soccer,pitch,38.5129007,-90.6252188,,,MO,,false,true,false,openstreetmap
Falcon Field,soccer,pitch,38.6455306,-90.30309,,,MO,,false,true,false,openstreetmap
Father Frey Field,soccer,pitch,38.7349972,-90.43556,,,MO,,false,true,false,openstreetmap
Field #1q;Field #1,soccer,pitch,38.669645,-90.394152,,,MO,,false,true,false,openstreetmap
Field #1q;Field #3,soccer,pitch,38.6695431,-90.3934989,,,MO,,false,true,false,openstreetmap
Field #2,soccer,pitch,38.6694737,-90.3923896,,,MO,,false,true,false,openstreetmap
Field #4,soccer,pitch,38.669578,-90.3929315,,,MO,,false,true,false,openstreetmap
Field 1,soccer,pitch,39.0091563,-94.5183234,,,MO,,false,true,false,openstreetmap
Field 1,soccer,pitch,38.6832527,-93.2932948,,,MO,,false,true,false,openstreetmap
Field 1,soccer,pitch,39.2318779,-94.5081861,,,MO,,false,true,false,openstreetmap
Field 1,soccer,pitch,39.1086964,-94.3710908,,,MO,,false,true,false,openstreetmap
Field 1,soccer,pitch,37.2063778,-93.4061531,,,MO,,false,true,false,openstreetmap
Field 10,soccer,pitch,39.1132669,-94.3664819,,,MO,,false,true,false,openstreetmap
Field 10,soccer,pitch,37.2105587,-93.4070833,,,MO,,false,true,false,openstreetmap
Field 11,soccer,pitch,39.2295594,-94.5098611,,,MO,,false,true,false,openstreetmap
Field 11,soccer,pitch,37.2092353,-93.4082755,,,MO,,false,true,false,openstreetmap
Field 12,soccer,pitch,37.2107765,-93.4082447,,,MO,,false,true,false,openstreetmap
Field 2,soccer,pitch,39.010299,-94.5185182,,,MO,,false,true,false,openstreetmap
Field 2,soccer,pitch,38.6832417,-93.2944107,,,MO,,false,true,false,openstreetmap
Field 2,soccer,pitch,39.2315585,-94.5080849,,,MO,,false,true,false,openstreetmap
Field 2,soccer,pitch,38.7454416,-90.7539227,,,MO,,false,true,false,openstreetmap
Field 2,soccer,pitch,39.108735,-94.3719211,,,MO,,false,true,false,openstreetmap
Field 2,soccer,pitch,37.2064136,-93.4070349,,,MO,,false,true,false,openstreetmap
Field 3,soccer,pitch,39.0112868,-94.517834,,,MO,,false,true,false,openstreetmap
Field 3,soccer,pitch,38.683268,-93.2954366,,,MO,,false,true,false,openstreetmap
Field 3,soccer,pitch,39.2303602,-94.509262,,,MO,,false,true,false,openstreetmap
Field 3,soccer,pitch,39.110026,-94.3710567,,,MO,,false,true,false,openstreetmap
Field 3,soccer,pitch,38.7455281,-90.7530622,,,MO,,false,true,false,openstreetmap
Field 3,soccer,pitch,37.2064264,-93.4078993,,,MO,,false,true,false,openstreetmap
Field 4,soccer,pitch,39.0114435,-94.518862,,,MO,,false,true,false,openstreetmap
Field 4,soccer,pitch,38.6831949,-93.296447,,,MO,,false,true,false,openstreetmap
Field 4,soccer,pitch,39.2308338,-94.5089126,,,MO,,false,true,false,openstreetmap
Field 4,soccer,pitch,38.745614,-90.7522016,,,MO,,false,true,false,openstreetmap
Field 4,soccer,pitch,39.110061,-94.3718923,,,MO,,false,true,false,openstreetmap
Field 4,soccer,pitch,37.2064425,-93.4087563,,,MO,,false,true,false,openstreetmap
Field 5,soccer,pitch,39.0136212,-94.5198508,,,MO,,false,true,false,openstreetmap
Field 5,soccer,pitch,38.6818605,-93.2965214,,,MO,,false,true,false,openstreetmap
Field 5,soccer,pitch,39.2295376,-94.5091741,,,MO,,false,true,false,openstreetmap
Field 5,soccer,pitch,37.2093838,-93.4053882,,,MO,,false,true,false,openstreetmap
Field 6,soccer,pitch,39.0121972,-94.521662,,,MO,,false,true,false,openstreetmap
Field 6,soccer,pitch,38.6818203,-93.2954331,,,MO,,false,true,false,openstreetmap
Field 6,soccer,pitch,39.2291394,-94.5090608,,,MO,,false,true,false,openstreetmap
Field 6,soccer,pitch,37.2105373,-93.40536,,,MO,,false,true,false,openstreetmap
Field 7,soccer,pitch,38.6818161,-93.2943548,,,MO,,false,true,false,openstreetmap
Field 7,soccer,pitch,39.2287906,-94.5088879,,,MO,,false,true,false,openstreetmap
Field 7,soccer,pitch,39.1133342,-94.3681155,,,MO,,false,true,false,openstreetmap
Field 7,soccer,pitch,37.2093923,-93.4062371,,,MO,,false,true,false,openstreetmap
Field 8,soccer,pitch,38.6818475,-93.2932548,,,MO,,false,true,false,openstreetmap
Field 8,soccer,pitch,39.113991,-94.3680611,,,MO,,false,true,false,openstreetmap
Field 8,soccer,pitch,37.2105475,-93.4062069,,,MO,,false,true,false,openstreetmap
Field 9,soccer,pitch,39.2304233,-94.5074035,,,MO,,false,true,false,openstreetmap
Field 9,soccer,pitch,39.1138811,-94.3664561,,,MO,,false,true,false,openstreetmap
Field 9,soccer,pitch,37.2094041,-93.4071101,,,MO,,false,true,false,openstreetmap
Field Caring,soccer,pitch,36.8680857,-94.3584684,,,MO,,false,true,false,openstreetmap
Field Faith,soccer,pitch,36.866483,-94.3575506,,,MO,,false,true,false,openstreetmap
Field Honesty,soccer,pitch,36.8675287,-94.358321,,,MO,,false,true,false,openstreetmap
Field Number 5,soccer,pitch,38.5332401,-90.374285,,,MO,,false,true,false,openstreetmap
Field Number 6,soccer,pitch,38.5332152,-90.3751344,,,MO,,false,true,false,openstreetmap
Field Respect,soccer,pitch,36.8668197,-94.3583505,,,MO,,false,true,false,openstreetmap
Field Responsibililty,soccer,pitch,36.866501,-94.3569042,,,MO,,false,true,false,openstreetmap
Firley Soccer Field,soccer,pitch,38.865318,-91.9517225,,,MO,,false,true,false,openstreetmap
Franke Soccer Fields,soccer,pitch,38.9772084,-94.3453519,,,MO,,false,true,false,openstreetmap
