name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
1,soccer,pitch,41.2935262,-96.1044433,,,NE,,false,true,false,openstreetmap
1,soccer,pitch,40.7688699,-96.7310416,,,NE,,false,true,false,openstreetmap
10,soccer,pitch,40.888857,-96.6138239,,,NE,,false,true,false,openstreetmap
10,soccer,pitch,41.2935253,-96.1026264,,,NE,,false,true,false,openstreetmap
11,soccer,pitch,40.8877667,-96.6150004,,,NE,,false,true,false,openstreetmap
11,soccer,pitch,41.294758,-96.1026209,,,NE,,false,true,false,openstreetmap
11,soccer,pitch,41.2943019,-96.1026229,,,NE,,false,true,false,openstreetmap
12,soccer,pitch,41.2957492,-96.1026599,,,NE,,false,true,false,openstreetmap
13,soccer,pitch,41.2968577,-96.1026211,,,NE,,false,true,false,openstreetmap
14,soccer,pitch,41.2935156,-96.1018261,,,NE,,false,true,false,openstreetmap
15,soccer,pitch,41.2945739,-96.1018209,,,NE,,false,true,false,openstreetmap
2,soccer,pitch,41.2946231,-96.1045096,,,NE,,false,true,false,openstreetmap
2,soccer,pitch,40.7688559,-96.7318619,,,NE,,false,true,false,openstreetmap
3,soccer,pitch,41.295768,-96.1045013,,,NE,,false,true,false,openstreetmap
3,soccer,pitch,40.7697984,-96.7318927,,,NE,,false,true,false,openstreetmap
4,soccer,pitch,41.2968594,-96.1044825,,,NE,,false,true,false,openstreetmap
4,soccer,pitch,40.7698356,-96.7328991,,,NE,,false,true,false,openstreetmap
5,soccer,pitch,40.8887232,-96.6188186,,,NE,,false,true,false,openstreetmap
5,soccer,pitch,41.29792,-96.1044831,,,NE,,false,true,false,openstreetmap
5,soccer,pitch,40.7698408,-96.7337552,,,NE,,false,true,false,openstreetmap
6,soccer,pitch,41.2935186,-96.1035323,,,NE,,false,true,false,openstreetmap
6,soccer,pitch,40.7689291,-96.733522,,,NE,,false,true,false,openstreetmap
7,soccer,pitch,41.2955829,-96.1035308,,,NE,,false,true,false,openstreetmap
7,soccer,pitch,41.2960238,-96.1035295,,,NE,,false,true,false,openstreetmap
7,soccer,pitch,40.7689222,-96.7348317,,,NE,,false,true,false,openstreetmap
