name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
Columbia Christian Schools,soccer,pitch,45.5241989,-122.5707553,,,OR,,false,true,false,openstreetmap
Corvallis Sports Park,soccer,sports_centre,44.5545202,-123.2658943,,,OR,,false,true,false,openstreetmap
Crook County High School Mens Soccer Field,soccer,pitch,44.2917183,-120.8357466,,,OR,,false,true,false,openstreetmap
Crook County High School Womens Soccer Field,soccer,pitch,44.2917154,-120.8346736,,,OR,,false,true,false,openstreetmap
Davis-Gant Varsity Soccer Field,soccer,pitch,45.5134435,-122.7673458,,,OR,,false,true,false,openstreetmap
Dutch Bros Soccer Complex,soccer,sports_centre,42.4243623,-123.3462033,,,OR,,false,true,false,openstreetmap
Eastside Timbers Sports Complex,soccer,sports_centre,45.4881332,-122.4832102,,,OR,,false,true,false,openstreetmap
Ed Benedict Park Field,soccer,pitch,45.4951459,-122.5596359,,,OR,,false,true,false,openstreetmap
Fichtner Mainwaring Park,soccer,pitch,42.3101131,-122.8697736,,,OR,,false,true,false,openstreetmap
Fichtner Mainwaring Park,soccer,pitch,42.3101121,-122.870415,,,OR,,false,true,false,openstreetmap
Fichtner Mainwaring Park,soccer,pitch,42.3108685,-122.8704151,,,OR,,false,true,false,openstreetmap
Fichtner Mainwaring Park,soccer,pitch,42.3108524,-122.8697595,,,OR,,false,true,false,openstreetmap
Fichtner Mainwaring Park,soccer,pitch,42.3114232,-122.8705016,,,OR,,false,true,false,openstreetmap
Fichtner Mainwaring Park,soccer,pitch,42.3114193,-122.8697523,,,OR,,false,true,false,openstreetmap
Fichtner Mainwaring Park,soccer,pitch,42.3118154,-122.8697297,,,OR,,false,true,false,openstreetmap
Fichtner Mainwaring Park,soccer,pitch,42.3118147,-122.870494,,,OR,,false,true,false,openstreetmap
Fichtner Mainwaring Park,soccer,pitch,42.312234,-122.8704844,,,OR,,false,true,false,openstreetmap
Fichtner Mainwaring Park,soccer,pitch,42.3122362,-122.8697099,,,OR,,false,true,false,openstreetmap
Forest Park Elementary Field,soccer,pitch,45.5429234,-122.7765723,,,OR,,false,true,false,openstreetmap
Franz Campus,soccer,pitch,45.5742963,-122.7334182,,,OR,,false,true,false,openstreetmap
