name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
.,soccer,pitch,29.6736188,-98.4810806,,,TX,,false,true,false,openstreetmap
1,soccer,pitch,32.9532405,-96.9357635,,,TX,,false,true,false,openstreetmap
1,soccer,pitch,30.463843,-97.7715768,,,TX,,false,true,false,openstreetmap
1,soccer,pitch,30.1032325,-97.8799092,,,TX,,false,true,false,openstreetmap
11,soccer,pitch,30.4649477,-97.771078,,,TX,,false,true,false,openstreetmap
2,soccer,pitch,30.4631211,-97.7712896,,,TX,,false,true,false,openstreetmap
2,soccer,pitch,32.953061,-96.9348087,,,TX,,false,true,false,openstreetmap
2,soccer,pitch,30.1032121,-97.8807117,,,TX,,false,true,false,openstreetmap
20,soccer,pitch,30.4635677,-97.7681903,,,TX,,false,true,false,openstreetmap
22,soccer,pitch,30.4644293,-97.7670856,,,TX,,false,true,false,openstreetmap
23,soccer,pitch,30.4637743,-97.7668434,,,TX,,false,true,false,openstreetmap
24,soccer,pitch,30.4630843,-97.7665832,,,TX,,false,true,false,openstreetmap
25,soccer,pitch,30.4623962,-97.7663054,,,TX,,false,true,false,openstreetmap
26,soccer,pitch,30.4645292,-97.7661304,,,TX,,false,true,false,openstreetmap
27,soccer,pitch,30.4636016,-97.7657729,,,TX,,false,true,false,openstreetmap
28,soccer,pitch,30.4624431,-97.7653143,,,TX,,false,true,false,openstreetmap
3,soccer,pitch,30.4619877,-97.7707061,,,TX,,false,true,false,openstreetmap
3,soccer,pitch,32.9531895,-96.932899,,,TX,,false,true,false,openstreetmap
3,soccer,pitch,30.1031916,-97.8814949,,,TX,,false,true,false,openstreetmap
31,soccer,pitch,30.4600121,-97.7693737,,,TX,,false,true,false,openstreetmap
32,soccer,pitch,30.459447,-97.769131,,,TX,,false,true,false,openstreetmap
33,soccer,pitch,30.4598834,-97.7697914,,,TX,,false,true,false,openstreetmap
34,soccer,pitch,30.459377,-97.7695715,,,TX,,false,true,false,openstreetmap
35,soccer,pitch,30.4589238,-97.7690281,,,TX,,false,true,false,openstreetmap
36,soccer,pitch,30.4596202,-97.768539,,,TX,,false,true,false,openstreetmap
4,soccer,pitch,30.4620146,-97.770011,,,TX,,false,true,false,openstreetmap
4,soccer,pitch,32.9532216,-96.9319027,,,TX,,false,true,false,openstreetmap
5,soccer,pitch,32.9530314,-96.9309337,,,TX,,false,true,false,openstreetmap
5 & 6,soccer,pitch,30.4618813,-97.7691334,,,TX,,false,true,false,openstreetmap
A,soccer,pitch,32.9639445,-96.9385191,,,TX,,false,true,false,openstreetmap
A,soccer,pitch,33.0641388,-96.7745738,,,TX,,false,true,false,openstreetmap
Austin FC Training Pitch,soccer,pitch,30.4083734,-97.651409,,,TX,,false,true,false,openstreetmap
Austin FC Training Pitch,soccer,pitch,30.4083885,-97.6506392,,,TX,,false,true,false,openstreetmap
Austin FC Training Pitch,soccer,pitch,30.4083573,-97.653021,,,TX,,false,true,false,openstreetmap
B,soccer,pitch,32.9641237,-96.9394504,,,TX,,false,true,false,openstreetmap
B,soccer,pitch,33.0641269,-96.773635,,,TX,,false,true,false,openstreetmap
BCFS Soccer Field,soccer,pitch,29.3996275,-98.6340689,,,TX,,false,true,false,openstreetmap
BCFS Staff Secure Soccer Field,soccer,pitch,29.4001407,-98.632267,,,TX,,false,true,false,openstreetmap
Berkner Soccer Field,soccer,pitch,32.9343257,-96.6936687,,,TX,,false,true,false,openstreetmap
Betty Lou Mays Soccer Field,soccer,pitch,31.5517853,-97.1091136,,,TX,,false,true,false,openstreetmap
Big REC. Soccer Field,soccer,pitch,31.3950008,-103.5349422,,,TX,,false,true,false,openstreetmap
Briercliff Field #2,soccer,pitch,33.1707269,-97.0924774,,,TX,,false,true,false,openstreetmap
Briercliff field #1,soccer,pitch,33.1703579,-97.0912288,,,TX,,false,true,false,openstreetmap
Brown Road Recreation Complex,soccer,park,34.9811928,-101.9511356,,,TX,,false,true,false,openstreetmap
Brushy Creek Community Center Soccer Field,soccer,pitch,30.4956163,-97.7322318,,,TX,,false,true,false,openstreetmap
Butler Soccer Field 1,soccer,pitch,32.0352072,-102.1421612,,,TX,,false,true,false,openstreetmap
Butler Soccer Field 10,soccer,pitch,32.0352187,-102.1406255,,,TX,,false,true,false,openstreetmap
Butler Soccer Field 11,soccer,pitch,32.0355098,-102.1405229,,,TX,,false,true,false,openstreetmap
Butler Soccer Field 12,soccer,pitch,32.0355441,-102.1403686,,,TX,,false,true,false,openstreetmap
Butler Soccer Field 13,soccer,pitch,32.035364,-102.1404733,,,TX,,false,true,false,openstreetmap
Butler Soccer Field 14,soccer,pitch,32.0353979,-102.1403217,,,TX,,false,true,false,openstreetmap
Butler Soccer Field 15,soccer,pitch,32.0352068,-102.1404178,,,TX,,false,true,false,openstreetmap
Butler Soccer Field 16,soccer,pitch,32.0352403,-102.1402727,,,TX,,false,true,false,openstreetmap
Butler Soccer Field 17,soccer,pitch,32.0353734,-102.1400229,,,TX,,false,true,false,openstreetmap
Butler Soccer Field 18,soccer,pitch,32.0354495,-102.13971,,,TX,,false,true,false,openstreetmap
Butler Soccer Field 19,soccer,pitch,32.0355215,-102.1393948,,,TX,,false,true,false,openstreetmap
Butler Soccer Field 2,soccer,pitch,32.035258,-102.1419318,,,TX,,false,true,false,openstreetmap
Butler Soccer Field 20,soccer,pitch,32.0355911,-102.1390905,,,TX,,false,true,false,openstreetmap
Butler Soccer Field 21,soccer,pitch,32.0357611,-102.1400721,,,TX,,false,true,false,openstreetmap
Butler Soccer Field 22,soccer,pitch,32.0358322,-102.1397515,,,TX,,false,true,false,openstreetmap
Butler Soccer Field 23,soccer,pitch,32.0359045,-102.1394387,,,TX,,false,true,false,openstreetmap
Butler Soccer Field 24,soccer,pitch,32.0359758,-102.1391324,,,TX,,false,true,false,openstreetmap
Butler Soccer Field 25,soccer,pitch,32.0361226,-102.1401872,,,TX,,false,true,false,openstreetmap
Butler Soccer Field 26,soccer,pitch,32.0361951,-102.1398693,,,TX,,false,true,false,openstreetmap
Butler Soccer Field 27,soccer,pitch,32.0362693,-102.1395579,,,TX,,false,true,false,openstreetmap
Butler Soccer Field 28,soccer,pitch,32.0363392,-102.1392436,,,TX,,false,true,false,openstreetmap
Butler Soccer Field 3,soccer,pitch,32.0353074,-102.1417058,,,TX,,false,true,false,openstreetmap
Butler Soccer Field 4,soccer,pitch,32.035359,-102.1414803,,,TX,,false,true,false,openstreetmap
Butler Soccer Field 5,soccer,pitch,32.0354156,-102.1412376,,,TX,,false,true,false,openstreetmap
Butler Soccer Field 6,soccer,pitch,32.0354747,-102.1409844,,,TX,,false,true,false,openstreetmap
Butler Soccer Field 7,soccer,pitch,32.0355344,-102.1407289,,,TX,,false,true,false,openstreetmap
Butler Soccer Field 8,soccer,pitch,32.0351055,-102.1411355,,,TX,,false,true,false,openstreetmap
Butler Soccer Field 9,soccer,pitch,32.0351619,-102.1408823,,,TX,,false,true,false,openstreetmap
C,soccer,pitch,32.9652577,-96.9391107,,,TX,,false,true,false,openstreetmap
C,soccer,pitch,33.0629982,-96.7736609,,,TX,,false,true,false,openstreetmap
Celebration Park Soccer Fields,soccer,pitch,33.1061432,-96.6251808,,,TX,,false,true,false,openstreetmap
Championship Field A,soccer,pitch,29.6357521,-95.395296,,,TX,,false,true,false,openstreetmap
Championship Field B,soccer,pitch,29.6357816,-95.3942787,,,TX,,false,true,false,openstreetmap
Chihuahua Youth Soccer Field,soccer,pitch,29.3510917,-100.9126991,,,TX,,false,true,false,openstreetmap
Children's Lighthouse Learning Center,soccer,pitch,33.0080893,-97.0209249,,,TX,,false,true,false,openstreetmap
Chinn Chapel Soccer Complex,soccer,pitch,33.0733848,-97.0897892,,,TX,,false,true,false,openstreetmap
Chisholm Trail Soccer Field,soccer,pitch,30.5034633,-97.7003945,,,TX,,false,true,false,openstreetmap
Citizens National Bank Soccer Field,soccer,pitch,31.7099529,-98.9948557,,,TX,,false,true,false,openstreetmap
Classics Elite Soccer Academy - McAllister Fields,soccer,pitch,29.5488914,-98.4573018,11600 Starcrest Drive,,TX,78216,false,true,false,openstreetmap
Clint Dempsey Soccer Complex,soccer,sports_centre,31.5967486,-94.6511344,,,TX,,false,true,false,openstreetmap
Columbus Youth Soccer Fields,soccer,sports_centre,29.6992787,-96.5558768,,,TX,,false,true,false,openstreetmap
Compeition Soccer Field,soccer,pitch,29.7027115,-95.5913236,,,TX,,false,true,false,openstreetmap
Cornish Soccer Field,soccer,pitch,32.5629144,-94.3760006,,,TX,,false,true,false,openstreetmap
Cougar Field,soccer,pitch,31.5610481,-97.167125,,,TX,,false,true,false,openstreetmap
Crane Hill Soccer Complex,soccer,pitch,29.2467803,-94.8733664,,,TX,,false,true,false,openstreetmap
Crossroads Soccer Field #1,soccer,pitch,31.1249203,-97.4100246,,,TX,,false,true,false,openstreetmap
Crossroads Soccer Field #2,soccer,pitch,31.125702,-97.4109616,,,TX,,false,true,false,openstreetmap
Crossroads Soccer Field #3,soccer,pitch,31.12633,-97.4096817,,,TX,,false,true,false,openstreetmap
Crossroads Soccer Field #4,soccer,pitch,31.1254572,-97.4083574,,,TX,,false,true,false,openstreetmap
Crossroads Soccer Field #4,soccer,pitch,31.1265826,-97.4081743,,,TX,,false,true,false,openstreetmap
Crossroads Soccer Field #6,soccer,pitch,31.1232327,-97.4098914,,,TX,,false,true,false,openstreetmap
Crossroads Soccer Field #7,soccer,pitch,31.1235197,-97.4109094,,,TX,,false,true,false,openstreetmap
Crossroads Soccer Field #8,soccer,pitch,31.1237826,-97.4118131,,,TX,,false,true,false,openstreetmap
D,soccer,pitch,32.9649337,-96.9383563,,,TX,,false,true,false,openstreetmap
D,soccer,pitch,33.0630134,-96.7745894,,,TX,,false,true,false,openstreetmap
Dash Pitch,soccer,pitch,29.7152786,-95.478841,,,TX,,false,true,false,openstreetmap
Dr. Pink Field,soccer,stadium,33.1561709,-96.836509,,,TX,,false,true,false,openstreetmap
Dynamo Pitch,soccer,pitch,29.7152775,-95.47899,,,TX,,false,true,false,openstreetmap
E,soccer,pitch,32.9656836,-96.9381423,,,TX,,false,true,false,openstreetmap
E,soccer,pitch,33.0647623,-96.7754176,,,TX,,false,true,false,openstreetmap
ENHS Soccer Field,soccer,pitch,26.3328309,-98.1603102,,,TX,,false,true,false,openstreetmap
Eagle Soccer Park,soccer,pitch,30.54902,-97.6705833,,,TX,,false,true,false,openstreetmap
Eanes ISD  Field,soccer,pitch,30.2821565,-97.8191148,,,TX,,false,true,false,openstreetmap
Ellis Field,soccer,pitch,30.6040178,-96.3443411,,,TX,,false,true,false,openstreetmap
Empire of Amenti LARP,soccer,pitch,26.1697085,-98.0552649,,,TX,,false,true,false,openstreetmap
Evea Bainum Memorial Soccer Field,soccer,pitch,32.4000201,-97.3316051,,,TX,,false,true,false,openstreetmap
F,soccer,pitch,33.0650634,-96.7741444,,,TX,,false,true,false,openstreetmap
Field #1,soccer,pitch,33.1399811,-96.7000411,,,TX,,false,true,false,openstreetmap
Field #1,soccer,pitch,32.8875926,-96.7564724,,,TX,,false,true,false,openstreetmap
Field #1,soccer,pitch,29.5653573,-98.2904335,,,TX,,false,true,false,openstreetmap
Field #10,soccer,pitch,33.1438619,-96.6969825,,,TX,,false,true,false,openstreetmap
Field #10,soccer,pitch,29.5676303,-98.2885524,,,TX,,false,true,false,openstreetmap
Field #11,soccer,pitch,33.1426143,-96.6978303,,,TX,,false,true,false,openstreetmap
Field #11,soccer,pitch,29.5671297,-98.2895608,,,TX,,false,true,false,openstreetmap
Field #12,soccer,pitch,33.1426057,-96.6969976,,,TX,,false,true,false,openstreetmap
Field #12,soccer,pitch,29.5657123,-98.287836,,,TX,,false,true,false,openstreetmap
Field #13 - Championship Field,soccer,pitch,33.1423997,-96.7003847,,,TX,,false,true,false,openstreetmap
Field #2,soccer,pitch,33.1410934,-96.7000097,,,TX,,false,true,false,openstreetmap
Field #2,soccer,pitch,32.8877315,-96.7559316,,,TX,,false,true,false,openstreetmap
Field #2,soccer,pitch,32.8873233,-96.7559404,,,TX,,false,true,false,openstreetmap
Field #2,soccer,pitch,29.56568,-98.2897603,,,TX,,false,true,false,openstreetmap
Field #3,soccer,pitch,32.887617,-96.7552496,,,TX,,false,true,false,openstreetmap
Field #3,soccer,pitch,32.8871227,-96.7552702,,,TX,,false,true,false,openstreetmap
Field #3,soccer,pitch,29.5661944,-98.2909837,,,TX,,false,true,false,openstreetmap
Field #3 A-B,soccer,pitch,33.1410713,-96.701639,,,TX,,false,true,false,openstreetmap
Field #4,soccer,pitch,32.8870462,-96.7545362,,,TX,,false,true,false,openstreetmap
Field #4,soccer,pitch,29.5665252,-98.2903107,,,TX,,false,true,false,openstreetmap
