name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
1,soccer,pitch,40.6085856,-111.9879837,,,UT,,false,true,false,openstreetmap
2,soccer,pitch,40.6089278,-111.9879876,,,UT,,false,true,false,openstreetmap
3,soccer,pitch,40.6085929,-111.9876596,,,UT,,false,true,false,openstreetmap
4,soccer,pitch,40.6089042,-111.9876704,,,UT,,false,true,false,openstreetmap
5,soccer,pitch,40.6085996,-111.9873518,,,UT,,false,true,false,openstreetmap
6,soccer,pitch,40.6089097,-111.9873684,,,UT,,false,true,false,openstreetmap
7,soccer,pitch,40.6086303,-111.9870011,,,UT,,false,true,false,openstreetmap
8,soccer,pitch,40.6089504,-111.9870152,,,UT,,false,true,false,openstreetmap
Aggies FC,soccer,pitch,41.8081135,-111.8391075,,,UT,,false,true,false,openstreetmap
Aggies FC,soccer,pitch,41.8081119,-111.8383339,,,UT,,false,true,false,openstreetmap
Aggies FC,soccer,pitch,41.7643718,-111.7986762,,,UT,,false,true,false,openstreetmap
Bonneville High School Soccer Field,soccer,pitch,41.1747744,-111.977454,,,UT,,false,true,false,openstreetmap
C,soccer,pitch,40.6084466,-111.989267,,,UT,,false,true,false,openstreetmap
Chuck & Gloria Bell Soccer Field,soccer,pitch,41.7562813,-111.8084092,,,UT,,false,true,false,openstreetmap
Clyde Field,soccer,pitch,40.2784163,-111.719525,,,UT,,false,true,false,openstreetmap
Cougar Field,soccer,pitch,40.255794,-111.6443106,,,UT,,false,true,false,openstreetmap
Dumke Field,soccer,pitch,40.7311215,-111.8565105,,,UT,,false,true,false,openstreetmap
F,soccer,pitch,40.6030918,-111.987196,,,UT,,false,true,false,openstreetmap
Field 1,soccer,pitch,40.8143066,-111.9468064,,,UT,,false,true,false,openstreetmap
Field 1 A,soccer,pitch,40.2900963,-111.7403843,,,UT,,false,true,false,openstreetmap
Field 1 B,soccer,pitch,40.2903124,-111.7403872,,,UT,,false,true,false,openstreetmap
Field 10,soccer,pitch,40.8096586,-111.9416055,,,UT,,false,true,false,openstreetmap
Field 11,soccer,pitch,40.8103584,-111.9439132,,,UT,,false,true,false,openstreetmap
Field 12,soccer,pitch,40.8106976,-111.9449704,,,UT,,false,true,false,openstreetmap
Field 13,soccer,pitch,40.8118104,-111.9456838,,,UT,,false,true,false,openstreetmap
Field 14,soccer,pitch,40.812869,-111.9458733,,,UT,,false,true,false,openstreetmap
Field 15,soccer,pitch,40.8178794,-111.9461004,,,UT,,false,true,false,openstreetmap
Field 16,soccer,pitch,40.8190065,-111.9457805,,,UT,,false,true,false,openstreetmap
Field 2,soccer,pitch,40.8157874,-111.9470212,,,UT,,false,true,false,openstreetmap
Field 2 A,soccer,pitch,40.2905401,-111.7403895,,,UT,,false,true,false,openstreetmap
Field 2 B,soccer,pitch,40.2907473,-111.7403915,,,UT,,false,true,false,openstreetmap
Field 3,soccer,pitch,40.814658,-111.9443361,,,UT,,false,true,false,openstreetmap
Field 3 A,soccer,pitch,40.2909426,-111.7403934,,,UT,,false,true,false,openstreetmap
Field 3 B,soccer,pitch,40.2911408,-111.7403956,,,UT,,false,true,false,openstreetmap
Field 4,soccer,pitch,40.815987,-111.9446058,,,UT,,false,true,false,openstreetmap
Field 5,soccer,pitch,40.8147714,-111.9432932,,,UT,,false,true,false,openstreetmap
Field 6,soccer,pitch,40.8161004,-111.9435389,,,UT,,false,true,false,openstreetmap
