name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
#1,soccer,pitch,38.8023419,-77.4847989,,,VA,,false,true,false,openstreetmap
#1,soccer,pitch,37.6114831,-77.6596267,,,VA,,false,true,false,openstreetmap
#2,soccer,pitch,38.8032432,-77.486482,,,VA,,false,true,false,openstreetmap
#2,soccer,pitch,37.6104934,-77.6590705,,,VA,,false,true,false,openstreetmap
#3,soccer,pitch,38.8040702,-77.4849193,,,VA,,false,true,false,openstreetmap
#3,soccer,pitch,37.6114886,-77.6601811,,,VA,,false,true,false,openstreetmap
#4,soccer,pitch,38.8035954,-77.4819352,,,VA,,false,true,false,openstreetmap
#4,soccer,pitch,37.6104971,-77.6598426,,,VA,,false,true,false,openstreetmap
#5,soccer,pitch,38.8050138,-77.4813674,,,VA,,false,true,false,openstreetmap
#5,soccer,pitch,37.6114988,-77.6607901,,,VA,,false,true,false,openstreetmap
#6,soccer,pitch,38.8070596,-77.4814739,,,VA,,false,true,false,openstreetmap
#6,soccer,pitch,37.6105045,-77.6606171,,,VA,,false,true,false,openstreetmap
#7,soccer,pitch,37.6115023,-77.6614384,,,VA,,false,true,false,openstreetmap
#8,soccer,pitch,37.6105146,-77.6613962,,,VA,,false,true,false,openstreetmap
15,soccer,pitch,37.3954533,-77.5046856,,,VA,,false,true,false,openstreetmap
A,soccer,pitch,37.6117986,-77.6581822,,,VA,,false,true,false,openstreetmap
Administration Building Soccer Field,soccer,pitch,37.5379399,-77.9151897,3834 Old Buckingham Road,,VA,,false,true,false,openstreetmap
Arlington Public Schools,soccer,pitch,38.8996602,-77.1111294,,,VA,,false,true,false,openstreetmap
Atkins Soccer Field,soccer,pitch,37.1142953,-76.4315319,,,VA,,false,true,false,openstreetmap
Averett University Soccer Field,soccer,pitch,36.596602,-79.4387629,,,VA,,false,true,false,openstreetmap
B,soccer,pitch,37.6118069,-77.6588366,,,VA,,false,true,false,openstreetmap
BB&T Fields,soccer,pitch,38.7179648,-77.8208902,,,VA,,false,true,false,openstreetmap
BWHS Football Practice Field,soccer,pitch,38.9925436,-77.5326925,,,VA,,false,true,false,openstreetmap
Bill Goodell Soccer Field,soccer,pitch,38.8355191,-77.1739385,,,VA,,false,true,false,openstreetmap
Blacksburg Parks and Recreation,soccer,pitch,37.2426828,-80.4125928,,,VA,,false,true,false,openstreetmap
Blacksburg Parks and Recreation,soccer,pitch,37.2421571,-80.4124787,,,VA,,false,true,false,openstreetmap
Bluemont Junction Soccer Field,soccer,pitch,38.8725445,-77.1321039,,,VA,,false,true,false,openstreetmap
Bluffs Circle Community Field,soccer,pitch,37.2504976,-76.6537089,,,VA,,false,true,false,openstreetmap
Botetourt County Parks and Recreation,soccer,pitch,37.3511032,-79.8354531,,,VA,,false,true,false,openstreetmap
Breezyhill Soccer Field,soccer,pitch,39.0474489,-77.5063086,,,VA,,false,true,false,openstreetmap
Bryant Alternative High School Soccer Field,soccer,pitch,38.762416,-77.0800952,,,VA,,false,true,false,openstreetmap
C,soccer,pitch,37.6114831,-77.6581904,,,VA,,false,true,false,openstreetmap
CYA Stringfellow Field 1,soccer,pitch,38.8456366,-77.4016027,,,VA,,false,true,false,openstreetmap
CYA Stringfellow Field 2,soccer,pitch,38.8465757,-77.4013626,,,VA,,false,true,false,openstreetmap
CYA Stringfellow Field 3,soccer,pitch,38.8477235,-77.4011252,,,VA,,false,true,false,openstreetmap
Captains Field - Soccer,soccer,pitch,37.0630547,-76.4994168,,,VA,,false,true,false,openstreetmap
Carr's Hill Field,soccer,pitch,38.0401406,-78.5055314,,,VA,,false,true,false,openstreetmap
Cary Street Field,soccer,pitch,37.5439957,-77.455214,,,VA,,false,true,false,openstreetmap
Charlottesville High School practice field,soccer,pitch,38.0526408,-78.47092,,,VA,,false,true,false,openstreetmap
Chatham Hall Soccer Field,soccer,pitch,36.8239033,-79.3902236,,,VA,,false,true,false,openstreetmap
Chinn Field,soccer,pitch,38.6704231,-77.3278047,,,VA,,false,true,false,openstreetmap
Chinn Field,soccer,pitch,38.6705272,-77.3264709,,,VA,,false,true,false,openstreetmap
Chinn Field,soccer,pitch,38.6708703,-77.3251547,,,VA,,false,true,false,openstreetmap
City: Bekeley Middle Sch,soccer,pitch,37.2732778,-76.7366254,,,VA,,false,true,false,openstreetmap
City: Matthew Whaley,soccer,pitch,37.2751104,-76.7046266,,,VA,,false,true,false,openstreetmap
Country Chevrolet Field,soccer,pitch,38.715727,-77.8211194,,,VA,,false,true,false,openstreetmap
Cupp Stadium,soccer,pitch,37.1393576,-80.543925,,,VA,,false,true,false,openstreetmap
D,soccer,pitch,37.6114923,-77.6588476,,,VA,,false,true,false,openstreetmap
Davenport Field,soccer,pitch,37.578784,-77.5243844,,,VA,,false,true,false,openstreetmap
Dillard Practice Field,soccer,pitch,37.2896797,-76.7300489,,,VA,,false,true,false,openstreetmap
