name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
2 Tennis Courts,tennis,pitch,42.2418055,-71.4468097,,,MA,,false,true,false,openstreetmap
8 Tennis Courts,tennis,pitch,42.0564665,-70.7956812,,,MA,,false,true,false,openstreetmap
Bass River Tennis Club,tennis,sports_centre,42.5719171,-70.8844529,31 Tozer Road,,MA,,false,true,false,openstreetmap
Belmont Hill Club,tennis,pitch,42.4005531,-71.1895904,,,MA,,false,true,false,openstreetmap
Bernon Family Branch Tennis Courts,tennis,pitch,42.0777407,-71.434936,,,MA,,false,true,false,openstreetmap
Biggs Tennis Courts,tennis,pitch,42.6341441,-71.9155757,,,MA,,false,true,false,openstreetmap
Blinn Courts,tennis,pitch,42.0559234,-72.5568478,,,MA,,false,true,false,openstreetmap
Boston Common Tennis Courts,tennis,pitch,42.3537821,-71.066084,,,MA,,false,true,false,openstreetmap
Bowling Green,tennis,pitch,42.6851508,-70.778472,,,MA,,false,true,false,openstreetmap
Brigham Athletic Complex,tennis,pitch,42.586799,-70.8278422,,,MA,,false,true,false,openstreetmap
Center Field Tennis,tennis,sports_centre,42.4468496,-71.2354463,,,MA,,false,true,false,openstreetmap
Charles Watt Tennis Courts,tennis,pitch,42.0598347,-71.08273,,,MA,,false,true,false,openstreetmap
Christian Camp Meeting Tennis Court,tennis,pitch,41.6397464,-70.3346518,,,MA,,false,true,false,openstreetmap
Christian Camp Meeting Tennis Courts,tennis,pitch,41.6394953,-70.3350611,,,MA,,false,true,false,openstreetmap
Christian Camp Meeting Tennis Courts,tennis,pitch,41.6394341,-70.3349177,,,MA,,false,true,false,openstreetmap
Church St Tennis Courts,tennis,pitch,41.4550818,-70.605024,,,MA,,false,true,false,openstreetmap
Clark Tennis Courts,tennis,pitch,41.9694913,-71.1866174,,,MA,,false,true,false,openstreetmap
Crystal Street Tennis Courts,tennis,pitch,42.4630376,-71.0631855,,,MA,,false,true,false,openstreetmap
Dick Norman's Tennis Courts,tennis,pitch,41.6645889,-70.3859906,,,MA,,false,true,false,openstreetmap
East Sandwich Community Tennis Courts,tennis,pitch,41.7331278,-70.4588945,,,MA,,false,true,false,openstreetmap
Gordon Indoor Track,tennis,track,42.3679144,-71.127693,65 North Harvard Street,,MA,,false,true,false,openstreetmap
Hunnewell Tennis Courts,tennis,sports_centre,42.3046956,-71.2825567,,,MA,,false,true,false,openstreetmap
John M. Hansen Tennis Courts,tennis,sports_centre,42.1270963,-72.7898685,,,MA,,false,true,false,openstreetmap
Kings Grant,tennis,pitch,41.6313224,-70.4470269,,,MA,,false,true,false,openstreetmap
