name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
3,tennis,pitch,43.0127164,-86.2094151,,,MI,,false,true,false,openstreetmap
Amasa Tennis Court,tennis,pitch,46.2343659,-88.4524186,,,MI,,false,true,false,openstreetmap
Cherry Park Tennis Court,tennis,pitch,42.9598544,-85.6503545,,,MI,,false,true,false,openstreetmap
City of Alpena,tennis,pitch,45.0717674,-83.4209176,,,MI,,false,true,false,openstreetmap
City of Alpena,tennis,pitch,45.0716637,-83.4210889,,,MI,,false,true,false,openstreetmap
City of Utica,tennis,pitch,42.6317263,-83.0303588,,,MI,,false,true,false,openstreetmap
City of Utica,tennis,pitch,42.6317348,-83.029958,,,MI,,false,true,false,openstreetmap
City of Utica,tennis,pitch,42.6317296,-83.0301578,,,MI,,false,true,false,openstreetmap
Clio Area Schools,tennis,sports_centre,43.1855137,-83.7317953,,,MI,,false,true,false,openstreetmap
Colestock Courts,tennis,sports_centre,43.6331052,-84.2779517,,,MI,,false,true,false,openstreetmap
Craft Tennis Complex,tennis,sports_centre,41.8990115,-84.0672613,,,MI,,false,true,false,openstreetmap
Craft Tennis Complex,tennis,sports_centre,41.8979834,-84.0664785,,,MI,,false,true,false,openstreetmap
DeWitt Tennis Center,tennis,sports_centre,42.7863891,-86.0912622,301 Fairbanks Avenue,,MI,,false,true,false,openstreetmap
Detroit Tennis & Squash Club,tennis,pitch,42.5242169,-83.4000097,,,MI,,false,true,false,openstreetmap
Fraser Public Schools,tennis,pitch,42.5513025,-82.9468284,,,MI,,false,true,false,openstreetmap
Fraser Public Schools,tennis,pitch,42.5513074,-82.9466479,,,MI,,false,true,false,openstreetmap
Fraser Public Schools,tennis,pitch,42.5513126,-82.9464665,,,MI,,false,true,false,openstreetmap
Fraser Public Schools,tennis,pitch,42.5513198,-82.9462869,,,MI,,false,true,false,openstreetmap
Fraser Public Schools,tennis,pitch,42.5513349,-82.9455799,,,MI,,false,true,false,openstreetmap
Fraser Public Schools,tennis,pitch,42.551331,-82.9457569,,,MI,,false,true,false,openstreetmap
Fraser Public Schools,tennis,pitch,42.5513258,-82.9459347,,,MI,,false,true,false,openstreetmap
Fraser Public Schools,tennis,pitch,42.5513209,-82.9461152,,,MI,,false,true,false,openstreetmap
Gates Tennis Center,tennis,sports_centre,47.1103983,-88.5463581,,,MI,,false,true,false,openstreetmap
Gateways of Grand Blanc Tennis Court,tennis,pitch,42.885494,-83.6036232,,,MI,,false,true,false,openstreetmap
Georgtown Commons Tennis Court,tennis,pitch,42.5481157,-82.9234395,,,MI,,false,true,false,openstreetmap
Glen Lake Community Schools Tennis Court,tennis,pitch,44.8498034,-85.9192228,,,MI,,false,true,false,openstreetmap
Hearthside Grove,tennis,pitch,45.4044359,-84.8718215,,,MI,,false,true,false,openstreetmap
Henry Ford II High School,tennis,pitch,42.6035712,-83.0107631,,,MI,,false,true,false,openstreetmap
Henry Ford II High School,tennis,pitch,42.603576,-83.0105879,,,MI,,false,true,false,openstreetmap
Henry Ford II High School,tennis,pitch,42.6035852,-83.0102276,,,MI,,false,true,false,openstreetmap
Henry Ford II High School,tennis,pitch,42.6035804,-83.0104028,,,MI,,false,true,false,openstreetmap
Henry Ford II High School,tennis,pitch,42.6032552,-83.0102045,,,MI,,false,true,false,openstreetmap
Henry Ford II High School,tennis,pitch,42.6032505,-83.010386,,,MI,,false,true,false,openstreetmap
Henry Ford II High School,tennis,pitch,42.603246,-83.0105648,,,MI,,false,true,false,openstreetmap
Henry Ford II High School,tennis,pitch,42.6032413,-83.0107401,,,MI,,false,true,false,openstreetmap
Lakeside Terraces,tennis,pitch,42.6241405,-82.9764359,,,MI,,false,true,false,openstreetmap
Lakeside Terraces,tennis,pitch,42.6241316,-82.976031,,,MI,,false,true,false,openstreetmap
Larry Nykerk Trojan Tennis Center,tennis,sports_centre,44.7689668,-85.5864188,,,MI,,false,true,false,openstreetmap
Loy Norrix High School Tennis Courts,tennis,sports_centre,42.2417534,-85.5716471,,,MI,,false,true,false,openstreetmap
