name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
Alberello Condo Tennis Court,tennis,sports_centre,43.8993097,-121.4340447,,,OR,,false,true,false,openstreetmap
Alex Rovello Memorial Courts,tennis,sports_centre,45.4727032,-122.6230681,,,OR,,false,true,false,openstreetmap
Ashland Talent RV Park,tennis,pitch,42.2472753,-122.7768863,,,OR,,false,true,false,openstreetmap
BOSA Oregon Corporation,tennis,sports_centre,45.5465811,-122.8256634,,,OR,,false,true,false,openstreetmap
Bayshore Beach Club Tennis Court,tennis,pitch,44.4399474,-124.0813826,,,OR,,false,true,false,openstreetmap
Blue River Park Tennis Courts,tennis,pitch,44.1570546,-122.3347554,,,OR,,false,true,false,openstreetmap
Cedar Park Tennis Courts,tennis,sports_centre,45.5066411,-122.7958492,,,OR,,false,true,false,openstreetmap
Charles Point Apartments,tennis,pitch,42.3047089,-122.8448931,,,OR,,false,true,false,openstreetmap
Coiner Park Tennis Courts,tennis,sports_centre,43.796959,-123.0532317,,,OR,,false,true,false,openstreetmap
Conestoga Tennis Courts,tennis,sports_centre,45.4465001,-122.804839,,,OR,,false,true,false,openstreetmap
East Compton Hills Country Club,tennis,sports_centre,45.5110369,-122.8240502,,,OR,,false,true,false,openstreetmap
East Tennis Courts,tennis,sports_centre,45.5149403,-122.5903964,,,OR,,false,true,false,openstreetmap
Fichtner Mainwaring Park,tennis,pitch,42.3112142,-122.8691137,,,OR,,false,true,false,openstreetmap
Fichtner Mainwaring Park,tennis,pitch,42.3111859,-122.8688954,,,OR,,false,true,false,openstreetmap
Fichtner Mainwaring Park,tennis,pitch,42.3111796,-122.8686773,,,OR,,false,true,false,openstreetmap
Fichtner Mainwaring Park,tennis,pitch,42.3111801,-122.8684542,,,OR,,false,true,false,openstreetmap
Fichtner Mainwaring Park,tennis,pitch,42.3116191,-122.8684424,,,OR,,false,true,false,openstreetmap
Fichtner Mainwaring Park,tennis,pitch,42.3116197,-122.8686697,,,OR,,false,true,false,openstreetmap
Fichtner Mainwaring Park,tennis,pitch,42.3116215,-122.8688859,,,OR,,false,true,false,openstreetmap
Fichtner Mainwaring Park,tennis,pitch,42.3115982,-122.8691081,,,OR,,false,true,false,openstreetmap
Five Oaks Tennis Courts,tennis,sports_centre,45.5311663,-122.8495255,,,OR,,false,true,false,openstreetmap
Flanagan Park,tennis,pitch,42.3663542,-122.9220165,,,OR,,false,true,false,openstreetmap
George Fox Tennis Center,tennis,sports_centre,45.3143509,-122.9671705,,,OR,,false,true,false,openstreetmap
Guy Lee Park Tennis Courts,tennis,pitch,44.0672269,-123.0396293,,,OR,,false,true,false,openstreetmap
Hardin Court,tennis,stadium,45.5193089,-122.8369885,,,OR,,false,true,false,openstreetmap
Harry A. Merlo Tennis Center,tennis,sports_centre,45.4852961,-122.771449,,,OR,,false,true,false,openstreetmap
Harry Holt Neighborhood Park Tennis Courts,tennis,pitch,43.9185898,-123.0234439,,,OR,,false,true,false,openstreetmap
Hessler Hills Association,tennis,pitch,45.4885369,-122.6920525,,,OR,,false,true,false,openstreetmap
Hidden Creek East Tennis Courts,tennis,sports_centre,45.5239338,-122.927982,,,OR,,false,true,false,openstreetmap
Highland Park Tennis Courts,tennis,sports_centre,45.469854,-122.8162363,,,OR,,false,true,false,openstreetmap
Howard M. Terpenning Outdoor Tennis Courts,tennis,sports_centre,45.5187579,-122.8368955,,,OR,,false,true,false,openstreetmap
Irving Park Tennis Courts,tennis,sports_centre,45.5461693,-122.6579498,,,OR,,false,true,false,openstreetmap
Lewelling Elementary School Tennis Courts,tennis,sports_centre,45.4524533,-122.609871,,,OR,,false,true,false,openstreetmap
Louisiana Pacific Tennis Center,tennis,sports_centre,45.5714827,-122.728578,,,OR,,false,true,false,openstreetmap
Meadow Park Tennis Courts,tennis,sports_centre,45.516339,-122.8243671,,,OR,,false,true,false,openstreetmap
Meadow Village Courts,tennis,sports_centre,43.8646467,-121.4386295,,,OR,,false,true,false,openstreetmap
Mountain Park Racquet Center,tennis,sports_centre,45.4278291,-122.7165179,,,OR,,false,true,false,openstreetmap
Murrayhill Tennis Courts,tennis,sports_centre,45.4402969,-122.8357635,,,OR,,false,true,false,openstreetmap
Old Tennis Court,tennis,pitch,42.7388481,-124.5103068,,,OR,,false,true,false,openstreetmap
Quelah Condo Owners' Court,tennis,sports_centre,43.8833971,-121.4420411,,,OR,,false,true,false,openstreetmap
Raleigh Park Pickleball & Tennis Courts,tennis,sports_centre,45.4946503,-122.7558393,,,OR,,false,true,false,openstreetmap
Rogue Valley Country Club,tennis,pitch,42.3296054,-122.831868,,,OR,,false,true,false,openstreetmap
Rogue Valley Country Club,tennis,pitch,42.3300285,-122.8317004,,,OR,,false,true,false,openstreetmap
Sladden City Park Tennis Court,tennis,pitch,44.0617412,-123.1067831,,,OR,,false,true,false,openstreetmap
Summit Associates,tennis,pitch,45.4354412,-122.718742,,,OR,,false,true,false,openstreetmap
Sunriver Tennis,tennis,pitch,43.8911849,-121.4398271,,,OR,,false,true,false,openstreetmap
Sunriver Tennis,tennis,pitch,43.8912267,-121.4399986,,,OR,,false,true,false,openstreetmap
Sunset Park Tennis Courts,tennis,sports_centre,45.5264524,-122.8192152,,,OR,,false,true,false,openstreetmap
Swim and Tennis Club Court,tennis,pitch,42.3218508,-122.812781,,,OR,,false,true,false,openstreetmap
Swim and Tennis Club Court,tennis,pitch,42.3218514,-122.8124505,,,OR,,false,true,false,openstreetmap
Swim and Tennis Club Court,tennis,pitch,42.3222547,-122.8124545,,,OR,,false,true,false,openstreetmap
Tennis Court,tennis,pitch,44.4009164,-122.7321828,,,OR,,false,true,false,openstreetmap
