name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
Abraham J. Salaman Tennis Courts,tennis,sports_centre,40.0240332,-75.1901908,,,PA,,false,true,false,openstreetmap
Alpha Tennis & Fitness,tennis,sports_centre,40.5412787,-79.8325665,,,PA,,false,true,false,openstreetmap
Andalusia Mansion Tennis Court,tennis,pitch,40.063323,-74.9587011,,,PA,,false,true,false,openstreetmap
Avon Park,tennis,pitch,40.5109187,-80.0763744,,,PA,,false,true,false,openstreetmap
Barbara and Kathy Jordan's Family Court,tennis,pitch,40.0711467,-75.3527835,,,PA,,false,true,false,openstreetmap
Blue Bell Country Club Tennis Courts,tennis,pitch,40.1819352,-75.290438,,,PA,,false,true,false,openstreetmap
Brady's Run Park Recreation Facility,tennis,sports_centre,40.731729,-80.3366578,121 Brady's Run Road,,PA,15010,false,true,false,openstreetmap
Brady's Run Park Tennis Courts,tennis,pitch,40.7307581,-80.3337379,,,PA,,false,true,false,openstreetmap
Brookside Community Tennis Courts,tennis,pitch,40.2191782,-74.9404224,,,PA,,false,true,false,openstreetmap
Bucks County Racquet Club,tennis,sports_centre,40.2871091,-74.8722154,,,PA,,false,true,false,openstreetmap
Caln Park,tennis,park,39.9969244,-75.7519935,,,PA,,false,true,false,openstreetmap
Charter Chase Tennis Court,tennis,pitch,40.0072498,-75.5737415,,,PA,,false,true,false,openstreetmap
Country Club of the Poconos South,tennis,pitch,41.0670481,-75.1057761,,,PA,,false,true,false,openstreetmap
DSG Tennis Courts,tennis,pitch,40.5065181,-80.2649937,,,PA,,false,true,false,openstreetmap
Desales University Tennis Courts,tennis,sports_centre,40.5341611,-75.3828394,,,PA,,false,true,false,openstreetmap
Dixon Tennis Courts,tennis,pitch,40.05414,-75.3759293,,,PA,,false,true,false,openstreetmap
Drexel Tennis Courts,tennis,pitch,39.9579002,-75.1914094,,,PA,,false,true,false,openstreetmap
Dushore Tennis Court,tennis,pitch,41.5267947,-76.4027014,,,PA,,false,true,false,openstreetmap
Dushore Tennis Court,tennis,pitch,41.5268551,-76.4028637,,,PA,,false,true,false,openstreetmap
Ethel Sergeant Clark Smith Memorial Tennis Courts,tennis,pitch,39.8754876,-75.4439833,,,PA,,false,true,false,openstreetmap
"Everett ""Ace"" Bailey Tennis Courts",tennis,sports_hall,40.1954714,-75.4571063,701,,PA,,false,true,false,openstreetmap
Fairmount Park Tennis Courts,tennis,sports_centre,39.9908643,-75.1879117,,,PA,,false,true,false,openstreetmap
Faith Christian Academy Tennis Courts,tennis,pitch,40.445717,-75.4012838,,,PA,,false,true,false,openstreetmap
Faulkner Tennis Courts,tennis,pitch,39.9029926,-75.355726,,,PA,,false,true,false,openstreetmap
Friends of Chamounix Tennis Courts,tennis,sports_centre,39.9993207,-75.201825,,,PA,,false,true,false,openstreetmap
Garden Court Community Tennis & Garden Facilities,tennis,pitch,39.9531471,-75.2165705,,,PA,,false,true,false,openstreetmap
Garden Court Community Tennis & Garden Facilities,tennis,pitch,39.9531269,-75.2164049,,,PA,,false,true,false,openstreetmap
Gateway Senior High School tennis courts (4),tennis,pitch,40.4306274,-79.756468,,,PA,,false,true,false,openstreetmap
HTP Court,tennis,pitch,40.2752973,-79.5341764,,,PA,,false,true,false,openstreetmap
Hays Tennis Courts,tennis,sports_centre,40.2021278,-77.2033336,,,PA,,false,true,false,openstreetmap
Heacock Meadows Tennis Courts,tennis,pitch,40.2191892,-74.8749528,,,PA,,false,true,false,openstreetmap
Hempfield Park Tennis Courts,tennis,pitch,40.3488641,-79.5566517,,,PA,,false,true,false,openstreetmap
Hershey Racquet Club,tennis,sports_centre,40.2697189,-76.6724797,,,PA,,false,true,false,openstreetmap
High School Tennis Court,tennis,pitch,40.5130346,-75.6946157,,,PA,,false,true,false,openstreetmap
Hoffman Tennis Courts,tennis,pitch,40.6290616,-75.3760144,,,PA,,false,true,false,openstreetmap
Hunt Club Tennis Court,tennis,pitch,40.2111678,-75.2342584,,,PA,,false,true,false,openstreetmap
Janet Swanson Tennis Center,tennis,stadium,40.1743048,-80.2409457,,,PA,,false,true,false,openstreetmap
Lansford Tennis Courts,tennis,pitch,40.82586,-75.8990997,,,PA,,false,true,false,openstreetmap
Legacy Youth Tennis and Education Center,tennis,sports_centre,40.0126241,-75.2029529,,,PA,,false,true,false,openstreetmap
Leopard Courts,tennis,sports_centre,40.6968079,-75.2126156,,,PA,,false,true,false,openstreetmap
Lewis Tennis Center,tennis,sports_centre,40.5812795,-75.35956,,,PA,,false,true,false,openstreetmap
Manheim Tennis Club,tennis,sports_centre,40.1678852,-76.3900545,,,PA,,false,true,false,openstreetmap
Millennium Hall,tennis,pitch,39.9595585,-75.1904652,North 34th Street,,PA,,false,true,false,openstreetmap
Mt. Lebanon Tennis Center,tennis,sports_centre,40.3761167,-80.0553599,,,PA,,false,true,false,openstreetmap
Muhlenberg College,tennis,sports_centre,40.5967792,-75.5051299,,,PA,,false,true,false,openstreetmap
Newtown Crossing Tennis Courts,tennis,park,40.2173946,-74.9549684,,,PA,,false,true,false,openstreetmap
Northwood Racquet & Fitness Club,tennis,sports_centre,40.7096272,-75.2819568,,,PA,,false,true,false,openstreetmap
Old Kaufmann Tennis Court,tennis,pitch,39.7400995,-77.5005531,,,PA,,false,true,false,openstreetmap
Old Kaufmann Tennis Court,tennis,pitch,39.7404503,-77.5001778,,,PA,,false,true,false,openstreetmap
Paddle Tennis Court,tennis,pitch,40.0266927,-75.3646221,,,PA,,false,true,false,openstreetmap
Parkside Tennis Courts,tennis,sports_centre,39.9839849,-75.2263344,,,PA,,false,true,false,openstreetmap
Penn State York,tennis,pitch,39.9526343,-76.7042587,,,PA,,false,true,false,openstreetmap
Penn State York,tennis,pitch,39.952623,-76.7044583,,,PA,,false,true,false,openstreetmap
Penn State York,tennis,pitch,39.9530509,-76.7043038,,,PA,,false,true,false,openstreetmap
Penn State York,tennis,pitch,39.953041,-76.7044719,,,PA,,false,true,false,openstreetmap
Penn State York,tennis,pitch,39.953033,-76.7046414,,,PA,,false,true,false,openstreetmap
Penn State York,tennis,pitch,39.9530231,-76.7048142,,,PA,,false,true,false,openstreetmap
Pennsbury Racquet CLub,tennis,pitch,40.2083097,-74.7977211,,,PA,,false,true,false,openstreetmap
Perkiomen Valley High School Tennis Courts,tennis,pitch,40.2215684,-75.4552442,,,PA,,false,true,false,openstreetmap
Pocono Farms Country Club Association,tennis,pitch,41.1697544,-75.3800205,,,PA,,false,true,false,openstreetmap
Pocono Farms Country Club Association,tennis,pitch,41.1697291,-75.3798489,,,PA,,false,true,false,openstreetmap
Private Tennis Court,tennis,pitch,41.4094604,-74.7451032,,,PA,,false,true,false,openstreetmap
Rainbow,tennis,pitch,40.1855188,-79.9467181,,,PA,,false,true,false,openstreetmap
Raquet Club West,tennis,pitch,40.0434206,-76.3749213,,,PA,,false,true,false,openstreetmap
Saucon Valley Country Club,tennis,sports_centre,40.5476437,-75.3855307,,,PA,,false,true,false,openstreetmap
Saucon Valley Country Club,tennis,sports_centre,40.5469676,-75.385431,,,PA,,false,true,false,openstreetmap
Shadyside Park Tennis,tennis,pitch,39.9645126,-75.7250938,,,PA,,false,true,false,openstreetmap
Springettsbury Park Tennis Courts,tennis,pitch,39.9920489,-76.669469,,,PA,,false,true,false,openstreetmap
Stonecrest Swim Club,tennis,sports_centre,40.609634,-75.5263605,,,PA,,false,true,false,openstreetmap
Sue McLaughlin Tennis Center,tennis,pitch,41.2488257,-80.4859907,,,PA,,false,true,false,openstreetmap
Tapestry Community Tennis Court,tennis,pitch,40.2117997,-74.9648521,,,PA,,false,true,false,openstreetmap
Tennis Courts,tennis,pitch,40.1560088,-76.3118962,,,PA,,false,true,false,openstreetmap
Tennis Courts,tennis,pitch,40.1538735,-76.3016228,,,PA,,false,true,false,openstreetmap
Tennis Courts,tennis,pitch,41.3067652,-76.0111386,,,PA,,false,true,false,openstreetmap
Tennis Courts,tennis,pitch,40.5854024,-79.937829,,,PA,,false,true,false,openstreetmap
Tennis Courts,tennis,sports_centre,40.9288765,-76.1423302,,,PA,,false,true,false,openstreetmap
Thornburgh Tennis Court,tennis,pitch,40.431582,-80.0844406,,,PA,,false,true,false,openstreetmap
Tiger Tennis Center,tennis,pitch,40.4385675,-78.3959604,,,PA,,false,true,false,openstreetmap
Warren Filipone Memorial Park Tennis Courts,tennis,pitch,40.0410887,-75.4042987,,,PA,,false,true,false,openstreetmap
Warren Filipone Memorial Park Tennis Courts,tennis,pitch,40.0410956,-75.4041271,,,PA,,false,true,false,openstreetmap
Warren Filipone Memorial Park Tennis Courts,tennis,pitch,40.0410811,-75.4044717,,,PA,,false,true,false,openstreetmap
Weiss Tennis Courts,tennis,park,40.0927785,-75.1669792,,,PA,,false,true,false,openstreetmap
West Chester University Tennis Courts,tennis,pitch,39.942155,-75.6016604,,,PA,,false,true,false,openstreetmap
West Chester University Tennis Courts,tennis,pitch,39.9422224,-75.6015129,,,PA,,false,true,false,openstreetmap
West Chester University Tennis Courts,tennis,pitch,39.9422892,-75.6013638,,,PA,,false,true,false,openstreetmap
West Chester University Tennis Courts,tennis,pitch,39.9423577,-75.6012167,,,PA,,false,true,false,openstreetmap
West Chester University Tennis Courts,tennis,pitch,39.9424248,-75.6010706,,,PA,,false,true,false,openstreetmap
West Chester University Tennis Courts,tennis,pitch,39.9424929,-75.6009256,,,PA,,false,true,false,openstreetmap
West Chester University Tennis Courts,tennis,pitch,39.9418716,-75.6014382,,,PA,,false,true,false,openstreetmap
West Chester University Tennis Courts,tennis,pitch,39.941939,-75.6012915,,,PA,,false,true,false,openstreetmap
West Chester University Tennis Courts,tennis,pitch,39.9420063,-75.6011486,,,PA,,false,true,false,openstreetmap
West Chester University Tennis Courts,tennis,pitch,39.9420733,-75.6009999,,,PA,,false,true,false,openstreetmap
West Chester University Tennis Courts,tennis,pitch,39.9421421,-75.6008536,,,PA,,false,true,false,openstreetmap
West Chester University Tennis Courts,tennis,pitch,39.9422052,-75.6007068,,,PA,,false,true,false,openstreetmap
Winning Touch Tennis of Lehigh Valley,tennis,fitness_centre,40.6291365,-75.4294793,,,PA,,false,true,false,openstreetmap
Woodford Tennis Club,tennis,sports_centre,40.034493,-75.158855,,,PA,,false,true,false,openstreetmap
Wright Township Public Tennis Courts,tennis,pitch,41.1369911,-75.9076848,,,PA,,false,true,false,openstreetmap
racquetball court,tennis,pitch,40.9952681,-76.0585338,,,PA,,false,true,false,openstreetmap
Tennis Essentials,tennis,pitch,40.0443509,-75.4482922,1018 Lancaster Avenue,Berwyn,PA,19312,false,true,false,openstreetmap
Scranton Tennis Club,tennis,pitch,41.4825818,-75.7161253,1029 Morgan Highway,Clarks Summit,PA,18411,false,true,false,openstreetmap
Cougar Memorial Fields,tennis,pitch,39.8975496,-76.6439122,228 South Charles Street,Dallastown,PA,17313,false,true,false,openstreetmap
Westwood Racquet Club,tennis,pitch,42.0883274,-80.1328592,2660 Zuck Road,Erie,PA,16506,false,true,false,openstreetmap
Brandywine Racquet Club,tennis,sports_centre,39.8604015,-75.5431784,430 Wilmington Pike,Glen Mills,PA,19342,false,true,false,openstreetmap
Julian Krinsky School of Tennis,tennis,sports_centre,40.0789736,-75.3539416,610 South Henderson Road,King of Prussia,PA,19406,false,true,false,openstreetmap
Kingston Indoor Tennis,tennis,pitch,41.2695536,-75.8795585,705 Rutter Avenue,Kingston,PA,18704,false,true,false,openstreetmap
West Shore Tennis Club,tennis,pitch,40.2361008,-77.0060918,150 Silver Spring Road,Mechanicsburg,PA,17050,false,true,false,openstreetmap
