name,sport,place_type,latitude,longitude,address,city,state,zip,indoor,outdoor,verified,source
1,tennis,pitch,35.0204695,-82.4976052,,,SC,,false,true,false,openstreetmap
2,tennis,pitch,35.0205579,-82.4974954,,,SC,,false,true,false,openstreetmap
3,tennis,pitch,35.0206637,-82.4973652,,,SC,,false,true,false,openstreetmap
4,tennis,pitch,35.0207445,-82.4972404,,,SC,,false,true,false,openstreetmap
Aiken Tennis Club,tennis,sports_centre,33.5597178,-81.7209461,,,SC,,false,true,false,openstreetmap
Althea Gibson Club Court,tennis,pitch,32.8614494,-79.9011429,,,SC,,false,true,false,openstreetmap
Ashley Hall Foundation,tennis,pitch,32.7862596,-79.9444295,,,SC,,false,true,false,openstreetmap
Ashley Hall Foundation,tennis,pitch,32.7861304,-79.9443781,,,SC,,false,true,false,openstreetmap
Belton Tennis Association,tennis,pitch,34.5209144,-82.493534,,,SC,,false,true,false,openstreetmap
Belton Tennis Association,tennis,pitch,34.5212906,-82.4937998,,,SC,,false,true,false,openstreetmap
Broome High School tennis court,tennis,pitch,34.9865537,-81.8453984,,,SC,,false,true,false,openstreetmap
CCU Tennis,tennis,pitch,33.8002551,-78.9963556,,,SC,,false,true,false,openstreetmap
Carolina Tennis Center,tennis,sports_centre,33.9853813,-81.0228656,,,SC,,false,true,false,openstreetmap
City of Greer,tennis,pitch,34.9461086,-82.2394843,,,SC,,false,true,false,openstreetmap
Court 1,tennis,pitch,32.8615782,-79.9001121,,,SC,,false,true,false,openstreetmap
Court 10,tennis,pitch,32.8618668,-79.9020224,,,SC,,false,true,false,openstreetmap
Court 11,tennis,pitch,32.8618722,-79.9022601,,,SC,,false,true,false,openstreetmap
Court 12,tennis,pitch,32.8618741,-79.9025216,,,SC,,false,true,false,openstreetmap
Court 13,tennis,pitch,32.861874,-79.9027163,,,SC,,false,true,false,openstreetmap
Court 14,tennis,pitch,32.8622534,-79.9020073,,,SC,,false,true,false,openstreetmap
Court 15,tennis,pitch,32.8622553,-79.9023725,,,SC,,false,true,false,openstreetmap
Court 16,tennis,pitch,32.8622644,-79.9025692,,,SC,,false,true,false,openstreetmap
Court 17,tennis,pitch,32.8626148,-79.9017151,,,SC,,false,true,false,openstreetmap
Court 18,tennis,pitch,32.8626159,-79.9019229,,,SC,,false,true,false,openstreetmap
Court 2,tennis,pitch,32.8615782,-79.9003044,,,SC,,false,true,false,openstreetmap
Court 3,tennis,pitch,32.8617561,-79.9005659,,,SC,,false,true,false,openstreetmap
Court 4,tennis,pitch,32.8617524,-79.9007625,,,SC,,false,true,false,openstreetmap
Court 5,tennis,pitch,32.8611008,-79.9019878,,,SC,,false,true,false,openstreetmap
Court 6,tennis,pitch,32.8611008,-79.9021867,,,SC,,false,true,false,openstreetmap
Court 7,tennis,pitch,32.861099,-79.9025151,,,SC,,false,true,false,openstreetmap
Court 8,tennis,pitch,32.8610935,-79.9027118,,,SC,,false,true,false,openstreetmap
Court 9,tennis,pitch,32.8618668,-79.9018322,,,SC,,false,true,false,openstreetmap
Cox Tennis Complex,tennis,sports_centre,34.7285679,-82.7658154,,,SC,,false,true,false,openstreetmap
Dr Eddie Floyd Florence Tennis Center,tennis,pitch,34.2112117,-79.7901763,1060 N Cashua Dr,,SC,29501,false,true,false,openstreetmap
Earle Tennis Center,tennis,pitch,32.7946346,-79.9608877,,,SC,,false,true,false,openstreetmap
Emmie Evans Rector Tennis Center,tennis,sports_centre,35.0557311,-81.6469802,,,SC,,false,true,false,openstreetmap
Greenville Tennis Club,tennis,sports_centre,34.8018237,-82.2287938,,,SC,,false,true,false,openstreetmap
Hallmark Shores Raquet Club,tennis,pitch,34.0189231,-81.3358398,,,SC,,false,true,false,openstreetmap
Hallmark Shores Raquet Club,tennis,pitch,34.018908,-81.3360224,,,SC,,false,true,false,openstreetmap
Julian Weston Park Tennis Courts,tennis,pitch,32.7842614,-79.8719499,,,SC,,false,true,false,openstreetmap
Knightsbridge Tennis,tennis,pitch,35.0730287,-80.9675805,,,SC,,false,true,false,openstreetmap
Knightsbridge Tennis,tennis,pitch,35.0730387,-80.9674208,,,SC,,false,true,false,openstreetmap
